30-Days-Of-React,26,44.8,6.3,8
500lines,1578,86.0,12.1,56
a1111-sd-webui-tagcomplete,14,100.0,5.5,20
absurd-sql,70,65.4,11.5,4
Administrative-divisions-of-China,21,100.0,8.6,7
adrenaline,13,48.1,4.9,7
aframe,5823,83.0,10.5,100
AgentVerse,1090,33.1,5.2,10
AI-Expert-Roadmap,1,100.0,6.8,9
algorithm-visualizer,22,73.3,8.5,24
aliyundriveDailyCheck,8,100.0,7.0,5
amazeui,1451,85.8,10.2,24
amphtml,7290,84.5,10.0,100
anime,931,85.0,10.3,43
AnotherRedisDesktopManager,15,100.0,7.0,27
anything-llm,38,97.4,10.3,15
aos,30,100.0,9.7,18
apexcharts.js,2391,89.6,7.9,100
atrilabs-engine,3766,80.2,3.8,18
audiobookshelf,1821,83.5,7.7,80
Auto-GPT,2638,46.7,7.5,100
automerge-classic,213,98.2,11.3,60
AutoPiano,394,86.0,9.0,1
ava,52,100.0,10.7,100
Awesome-Design-Tools,44,88.0,8.7,100
awesome-vscode,1,100.0,9.5,100
axios,742,86.6,9.8,100
backend-GPT,16,80.0,4.5,4
beautiful-react-hooks,21,41.2,8.2,48
BioDrop,77,61.6,3.2,100
BITB,33,100.0,4.5,2
bluebird,1664,76.3,12,100
BoostNote-Legacy,394,89.7,8.9,100
BrasilAPI,111,90.2,7.0,64
brave-browser,7,100.0,8.2,86
browser-fingerprinting,42,55.3,8.3,3
browser-sync,1368,89.8,11.4,88
bud,19,95.0,7.6,15
bypass-paywalls-chrome,20,90.9,9.3,51
carbon,139,67.8,8.8,100
carlo,35,89.7,10.2,20
chalk,4,66.7,11,56
chart.xkcd,8,100.0,8.4,15
charts,170,95.0,8.1,48
ChatALL,4,100.0,7.1,27
chatgpt-chrome-extension,2,100.0,6.7,6
chatGPTBox,4,57.1,6.2,20
chinese-independent-blogs,2,100.0,6.2,100
chinese-poetry,24,100.0,7.5,54
chinese-programmer-wrong-pronunciation,29,80.6,8.7,83
ChineseBQB,1095,85.9,5.8,22
ChromeAppHeroes,28247,76.9,8.7,3
Cider,6180,83.8,5.3,96
city-roads,72,100.0,13.0,1
Clash-for-Windows_Chinese,44,88.0,2.0,1
Clash_Chinese_Patch,259,93.2,5.3,3
classnames,18,69.2,10.8,41
cleave.js,19046,63.4,10.0,67
clipboard.js,79,81.4,10.8,53
