Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
optionMatcher,option,True,NOUN,6
optionMatcher,Matcher,True,VERB,7
optionMatcher,option,True,NOUN,6
optionMatcher,Matcher,True,VERB,7
parse,parse,True,VERB,5
_parseVault,parse,True,VERB,5
_parseVault,Vault,True,PROPN,5
_log,log,True,VERB,3
_warn,warn,True,VERB,4
_debug,debug,True,ADV,5
_dotenvKey,dot,True,NOUN,3
_dotenvKey,env,False,NOUN,3
_dotenvKey,Key,True,ADJ,3
_instructions,instructions,True,NOUN,12
_vaultPath,vault,True,NOUN,5
_vaultPath,Path,True,NOUN,4
_resolveHome,resolve,True,VERB,7
_resolveHome,Home,True,NOUN,4
_configVault,config,False,PROPN,6
_configVault,Vault,True,PROPN,5
configDotenv,config,False,PROPN,6
configDotenv,Dot,True,NOUN,3
configDotenv,env,False,NOUN,3
config,config,False,PROPN,6
decrypt,decrypt,True,ADV,7
populate,populate,True,VERB,8
spawn,spawn,True,NOUN,5
options,options,True,NOUN,7
testOption,test,True,NOUN,4
testOption,Option,True,NOUN,6
