Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
configure,1,True,False,True,True,False
set,1,True,True,True,True,False
isStarted,2,True,True,True,True,False
work,1,True,False,True,True,False
start,1,True,True,True,True,False
done,1,True,True,True,True,False
inc,1,True,False,True,True,False
trickle,1,True,True,True,True,False
promise,1,True,True,True,True,False
render,1,True,True,True,True,False
remove,1,True,True,True,True,False
isRendered,2,True,True,True,True,False
getPositioningCSS,3,False,True,True,True,False
isDOM,2,False,False,True,True,False
clamp,1,True,True,True,True,False
toBarPerc,3,False,True,True,True,False
barPositionCSS,3,False,False,True,True,False
next,1,True,False,True,True,False
camelCase,2,True,False,True,True,False
getVendorProp,3,True,True,True,True,False
getStyleProp,3,True,True,True,True,False
applyCss,2,False,True,True,True,False
hasClass,2,True,True,True,True,False
addClass,2,True,True,True,True,False
removeClass,2,True,True,True,True,False
classList,2,True,False,True,True,False
removeElement,2,True,True,True,True,False
