Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
buildId,2,False,True,True,True,False
exports,1,True,False,True,True,False
inspectNode,2,True,True,True,True,False
piecePartials,2,True,False,True,True,False
dataMetrics,2,True,False,True,True,False
charSpans,2,True,False,True,True,False
entryList,2,True,False,True,True,False
characterFromKeyboardEvent,4,True,False,True,True,False
withPreviewCaptionConfig,4,True,False,True,True,False
getCaptionElement,3,True,True,True,True,False
createImageAttachments,3,True,True,True,True,False
insertToolbarButton,3,True,False,True,True,False
getFigure,2,True,True,True,True,False
findElement,2,True,True,True,True,False
cancel,1,True,True,True,True,False
removeCharacters,2,True,True,True,True,False
afterChangeEvent,3,True,True,True,True,False
edit,1,True,True,True,True,False
preventDefault,2,True,True,True,True,False
test,1,True,False,True,True,False
recordInputEvent,3,True,False,True,True,False
performInputTypeUsingExecCommand,6,True,True,True,True,False
createFile,2,True,True,True,True,False
createDataTransfer,3,True,True,True,True,False
createEvent,2,True,True,True,True,False
paste,1,True,False,True,True,False
test,1,True,False,True,True,False
locationRange,2,True,False,True,True,False
selectedRange,2,True,True,True,True,False
textAttributes,2,True,False,True,True,False
blockAttributes,2,True,True,True,True,False
documentHTMLEqual,3,False,False,True,True,False
getHTML,2,False,True,True,True,False
expectDocument,2,True,True,True,True,False
insertString,2,True,False,True,True,False
insertText,2,True,False,True,True,False
insertDocument,2,True,False,True,True,False
insertFile,2,True,True,True,True,False
insertAttachment,2,True,False,True,True,False
insertAttachments,2,True,False,True,True,False
insertImageAttachment,3,True,False,True,True,False
createImageAttachment,3,True,True,True,True,False
replaceDocument,2,True,True,True,True,False
render,1,True,True,True,True,False
createEvent,2,True,True,True,True,False
triggerEvent,2,True,False,True,True,False
createDocument,2,True,True,True,True,False
createCursorTarget,3,True,True,True,True,False
removeWhitespace,2,True,True,True,True,False
eachFixture,2,True,False,True,True,False
extend,1,True,True,True,True,False
after,1,True,False,True,True,False
getTargetRanges,3,True,True,True,True,False
triggerInputEvent,3,True,False,True,True,False
