Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
randomInt,2,True,True,True,True,False
printStats,2,True,False,True,True,False
buildConfig,2,True,True,True,True,False
stepFn,2,False,False,True,True,False
completeFn,2,False,False,True,True,False
errorFn,2,False,False,True,True,False
enableButton,2,True,True,True,True,False
now,1,True,False,True,True,False
n,1,True,False,False,True,False
t,1,True,False,False,True,False
r,1,True,False,False,True,False
a,1,True,False,False,True,False
o,1,True,False,False,True,False
r,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
r,1,True,False,False,True,False
i,1,True,False,False,True,False
c,1,True,False,False,True,False
u,1,True,False,False,True,False
c,1,True,False,False,True,False
n,1,True,False,False,True,False
t,1,True,False,False,True,False
u,1,True,False,False,True,False
r,1,True,False,False,True,False
u,1,True,False,False,True,False
i,1,True,False,False,True,False
c,1,True,False,False,True,False
f,1,True,False,False,True,False
g,1,True,False,False,True,False
p,1,True,False,False,True,False
d,1,True,False,False,True,False
h,1,True,False,False,True,False
v,1,True,False,False,True,False
b,1,True,False,False,True,False
m,1,True,True,False,True,False
s,1,True,False,False,True,False
l,1,True,False,False,True,False
f,1,True,False,False,True,False
g,1,True,False,False,True,False
p,1,True,False,False,True,False
d,1,True,False,False,True,False
h,1,True,False,False,True,False
v,1,True,False,False,True,False
b,1,True,False,False,True,False
m,1,True,True,False,True,False
N,1,True,False,False,False,False
t,1,True,False,False,True,False
doScroll,2,True,True,True,True,False
refresh,1,True,True,True,True,False
checkEmpty,2,True,True,True,True,False
offset,1,True,True,True,True,False
t,1,True,False,False,True,False
trigger,1,True,False,True,True,False
disable,1,True,False,True,True,False
enable,1,True,True,True,True,False
destroy,1,True,True,True,True,False
getWaypointsByElement,5,True,True,True,False,False
g,1,True,False,False,True,False
m,1,True,True,False,True,False
handler,1,True,False,True,True,False
n,1,True,False,False,True,False
r,1,True,False,False,True,False
extend,1,True,True,True,True,False
s,1,True,False,False,True,False
B,1,True,False,False,False,False
db,1,True,True,True,True,False
fb,1,False,False,True,True,False
b,1,True,False,False,True,False
gb,1,False,True,True,True,False
hb,1,False,False,True,True,False
ib,1,False,False,True,True,False
jb,1,False,False,True,True,False
kb,1,True,False,True,True,False
lb,1,True,False,True,True,False
mb,1,True,True,True,True,False
nb,1,True,False,True,True,False
ob,1,True,False,True,True,False
isXML,2,False,True,True,True,False
ID,1,False,False,True,False,False
ID,1,False,False,True,False,False
ID,1,False,False,True,False,False
setDocument,2,True,True,True,True,False
matches,1,True,False,True,True,False
matchesSelector,2,True,False,True,True,False
contains,1,True,True,True,True,False
attr,1,False,False,True,True,False
error,1,True,False,True,True,False
uniqueSort,2,True,False,True,True,False
getText,2,True,True,True,True,False
pb,1,True,False,True,True,False
tokenize,1,True,True,True,True,False
qb,1,False,False,True,True,False
rb,1,True,True,True,True,False
sb,1,True,False,True,True,False
tb,1,True,False,True,True,False
ub,1,False,False,True,True,False
vb,1,True,False,True,True,False
wb,1,False,False,True,True,False
f,1,True,False,False,True,False
xb,1,False,False,True,True,False
compile,1,True,False,True,True,False
select,1,True,False,True,True,False
x,1,True,True,False,True,False
filter,1,True,True,True,True,False
init,1,False,False,True,True,False
D,1,True,False,False,False,False
a,1,True,False,False,True,False
G,1,True,False,False,False,False
j,1,True,False,False,True,False
g,1,True,False,False,True,False
Callbacks,1,True,False,True,False,False
h,1,True,False,False,True,False
ready,1,True,False,True,True,False
I,1,True,False,False,False,False
promise,1,True,True,True,True,False
access,1,True,False,True,True,False
acceptData,2,True,True,True,True,False
K,1,True,False,False,False,False
P,1,True,False,False,False,False
g,1,True,False,False,True,False
h,1,True,False,False,True,False
S,1,True,False,False,False,False
Z,1,True,False,False,False,False
handle,1,True,True,True,True,False
removeEvent,2,True,True,True,True,False
Event,1,True,False,True,False,False
c,1,True,False,False,True,False
jb,1,False,False,True,True,False
kb,1,True,False,True,True,False
lb,1,True,False,True,True,False
mb,1,True,True,True,True,False
nb,1,True,False,True,True,False
ob,1,True,False,True,True,False
pb,1,True,False,True,True,False
a,1,True,False,False,True,False
sb,1,True,False,True,True,False
tb,1,True,False,True,True,False
wb,1,False,False,True,True,False
xb,1,False,False,True,True,False
yb,1,True,False,True,True,False
g,1,True,False,False,True,False
swap,1,True,True,True,True,False
Fb,1,False,False,True,False,False
Gb,1,False,False,True,False,False
Hb,1,False,False,True,False,False
Ib,1,False,False,True,False,False
Jb,1,False,False,True,False,False
Kb,1,True,True,True,False,False
Sb,1,True,False,True,False,False
Tb,1,True,False,True,False,False
Ub,1,False,False,True,False,False
fire,1,True,False,True,True,False
Vb,1,True,False,True,False,False
Wb,1,False,False,True,False,False
