Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
randomInt,random,True,ADJ,6
randomInt,Int,True,VERB,3
printStats,print,True,NOUN,5
printStats,Stats,True,NOUN,5
buildConfig,build,True,VERB,5
buildConfig,Config,False,PROPN,6
stepFn,step,True,NOUN,4
stepFn,Fn,False,PROPN,2
completeFn,complete,True,ADJ,8
completeFn,Fn,False,PROPN,2
errorFn,error,True,NOUN,5
errorFn,Fn,False,PROPN,2
enableButton,enable,True,VERB,6
enableButton,Button,True,PROPN,6
now,now,True,ADV,3
n,n,True,CCONJ,1
t,t,True,NOUN,1
r,r,True,X,1
a,a,True,PRON,1
o,o,True,X,1
r,r,True,X,1
i,i,True,PRON,1
o,o,True,X,1
r,r,True,X,1
i,i,True,PRON,1
c,c,True,NOUN,1
u,u,True,NOUN,1
c,c,True,NOUN,1
n,n,True,CCONJ,1
t,t,True,NOUN,1
u,u,True,NOUN,1
r,r,True,X,1
u,u,True,NOUN,1
i,i,True,PRON,1
c,c,True,NOUN,1
f,f,True,X,1
g,g,True,PROPN,1
p,p,True,NOUN,1
d,d,True,X,1
h,h,True,NOUN,1
v,v,True,X,1
b,b,True,X,1
m,m,True,VERB,1
s,s,True,NOUN,1
l,l,True,NOUN,1
f,f,True,X,1
g,g,True,PROPN,1
p,p,True,NOUN,1
d,d,True,X,1
h,h,True,NOUN,1
v,v,True,X,1
b,b,True,X,1
m,m,True,VERB,1
N,N,True,NOUN,1
t,t,True,NOUN,1
doScroll,do,True,VERB,2
doScroll,Scroll,True,PROPN,6
refresh,refresh,True,VERB,7
checkEmpty,check,True,VERB,5
checkEmpty,Empty,True,ADJ,5
offset,offset,True,VERB,6
t,t,True,NOUN,1
trigger,trigger,True,NOUN,7
disable,disable,True,ADJ,7
enable,enable,True,VERB,6
destroy,destroy,True,VERB,7
getWaypointsByElement,get,True,VERB,3
getWaypointsByElement,Way,True,NOUN,3
getWaypointsByElement,points,True,VERB,6
getWaypointsByElement,By,True,ADP,2
getWaypointsByElement,Element,True,NOUN,7
g,g,True,PROPN,1
m,m,True,VERB,1
handler,handler,True,NOUN,7
n,n,True,CCONJ,1
r,r,True,X,1
extend,extend,True,VERB,6
s,s,True,NOUN,1
