Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
exports,1,True,False,True,True,False
ownKeys,2,True,False,True,True,False
_objectSpread2,3,True,True,False,False,False
_typeof,2,False,True,True,False,False
_defineProperty,2,True,True,True,True,False
_extends,1,True,True,True,True,False
_objectWithoutPropertiesLoose,4,True,False,True,True,False
_objectWithoutProperties,3,True,False,True,True,False
_toConsumableArray,3,True,True,True,True,False
_arrayWithoutHoles,3,True,True,True,True,False
_iterableToArray,3,True,True,True,True,False
_unsupportedIterableToArray,4,True,True,True,True,False
_arrayLikeToArray,4,True,True,True,True,False
_nonIterableSpread,3,False,True,True,True,False
userAgent,2,True,False,True,True,False
on,1,True,False,True,True,False
off,1,True,False,True,True,False
matches,1,True,False,True,True,False
getParentOrHost,4,True,True,True,True,False
closest,1,True,False,True,True,False
toggleClass,2,True,False,True,True,False
css,1,False,False,True,True,False
matrix,1,True,False,True,True,False
find,1,True,True,True,True,False
getWindowScrollingElement,4,True,True,True,True,False
getRect,2,True,True,True,True,False
isScrolledPast,3,True,True,True,True,False
getChild,2,True,True,True,True,False
lastChild,2,True,False,True,True,False
index,1,True,False,True,True,False
getRelativeScrollOffset,4,True,True,True,True,False
indexOfObject,3,True,True,True,True,False
getParentAutoScrollElement,5,True,True,True,True,False
extend,1,True,True,True,True,False
isRectEqual,3,True,True,True,True,False
throttle,1,True,True,True,True,False
cancelThrottle,2,True,True,True,True,False
scrollBy,2,True,False,True,True,False
clone,1,True,True,True,True,False
setRect,2,True,True,True,True,False
unsetRect,2,True,True,True,True,False
captureAnimationState,3,True,False,True,True,False
addAnimationState,3,True,True,True,True,False
removeAnimationState,3,True,True,True,True,False
animateAll,2,True,True,True,True,False
animate,1,True,True,True,True,False
AnimationStateManager,3,True,False,True,False,False
repaint,1,True,False,True,True,False
calculateRealTime,3,True,True,True,True,False
mount,1,True,True,True,True,False
cancel,1,True,True,True,True,False
pluginEvent,2,True,True,True,True,False
initializePlugins,2,True,False,True,True,False
getEventProperties,3,True,True,True,True,False
modifyOption,2,True,True,True,True,False
dispatchEvent,2,True,True,True,True,False
cloneNowHidden,3,True,True,True,True,False
cloneNowShown,3,True,True,True,True,False
dispatchSortableEvent,3,True,True,True,True,False
pluginEvent,2,True,True,True,True,False
pluginEvent,2,True,True,True,True,False
_dispatchEvent,2,True,True,True,True,False
_detectDirection,2,True,True,True,True,False
_detectDirection,2,True,True,True,True,False
_dragElInRowColumn,5,False,True,True,True,False
_dragElInRowColumn,5,False,True,True,True,False
_detectNearestEmptySortable,4,False,True,True,True,False
_detectNearestEmptySortable,4,False,True,True,True,False
toFn,2,False,False,True,True,False
_prepareGroup,2,True,True,True,True,False
_prepareGroup,2,True,True,True,True,False
_hideGhostForTarget,4,True,True,True,True,False
_hideGhostForTarget,4,True,True,True,True,False
_unhideGhostForTarget,4,False,True,True,True,False
_unhideGhostForTarget,4,False,True,True,True,False
nearestEmptyInsertDetectEvent,5,True,True,True,True,False
nearestEmptyInsertDetectEvent,5,True,True,True,True,False
_checkOutsideTargetEl,4,False,True,True,True,False
_checkOutsideTargetEl,4,False,True,True,True,False
direction,1,True,False,True,True,False
setData,2,True,True,True,True,False
Sortable,1,True,False,True,False,False
_isOutsideThisEl,4,False,False,True,True,False
_getDirection,2,True,True,True,True,False
_onTapStart,3,True,True,True,True,False
dragStartFn,3,False,True,True,True,False
_prepareDragStart,3,True,True,True,True,False
_delayedDragTouchMoveHandler,5,True,True,True,True,False
_disableDelayedDrag,3,True,True,True,True,False
_disableDelayedDragEvents,4,True,True,True,True,False
_triggerDragStart,3,True,True,True,True,False
_dragStarted,2,True,True,True,True,False
_emulateDragOver,3,True,True,True,True,False
_onTouchMove,3,True,True,True,True,False
_appendGhost,2,True,True,True,True,False
_onDragStart,3,True,True,True,True,False
onMove,2,True,True,True,True,False
dragOverEvent,3,True,True,True,True,False
capture,1,True,False,True,True,False
completed,1,True,True,True,True,False
changed,1,True,True,True,True,False
_onDragOver,3,True,True,True,True,False
_offMoveEvents,3,True,True,True,True,False
_offUpEvents,3,True,False,True,True,False
_onDrop,2,True,True,True,True,False
_nulling,1,False,True,True,True,False
handleEvent,2,True,True,True,True,False
toArray,2,True,True,True,True,False
sort,1,True,True,True,True,False
save,1,True,True,True,True,False
closest$1,2,True,False,False,False,False
option,1,True,False,True,True,False
destroy,1,True,True,True,True,False
_hideClone,2,True,True,True,True,False
_showClone,2,True,True,True,True,False
_globalDragOver,3,True,True,True,True,False
_onMove,2,True,True,True,True,False
_disableDraggable,2,True,False,True,True,False
_unsilent,1,False,False,True,True,False
_ghostIsFirst,3,True,False,True,True,False
_ghostIsLast,3,True,False,True,True,False
_getSwapDirection,3,True,True,True,True,False
_getInsertDirection,3,True,True,True,True,False
_generateId,2,False,True,True,True,False
_saveInputCheckedState,4,True,True,True,True,False
_nextTick,2,True,True,True,True,False
_cancelNextTick,3,True,True,True,True,False
is,1,True,False,True,True,False
get,1,True,True,True,True,False
mount,1,True,True,True,True,False
create,1,True,True,True,True,False
AutoScroll,2,True,False,True,False,False
dragStarted,2,True,True,True,True,False
dragOverCompleted,3,True,True,True,True,False
drop,1,True,False,True,True,False
nulling,1,False,True,True,True,False
_handleFallbackAutoScroll,4,True,True,True,True,False
_handleAutoScroll,3,True,True,True,True,False
AutoScrollPlugin,3,True,True,True,False,False
clearAutoScrolls,3,True,False,True,True,False
clearPointerElemChangedInterval,5,True,True,True,True,False
drop,1,True,False,True,True,False
drop,1,True,False,True,True,False
Revert,1,True,False,True,False,False
dragStart,2,True,True,True,True,False
onSpill,2,True,True,True,True,False
Remove,1,True,True,True,False,False
onSpill,2,True,True,True,True,False
Swap,1,True,True,True,False,False
dragStart,2,True,True,True,True,False
dragOverValid,3,True,True,True,True,False
drop,1,True,False,True,True,False
nulling,1,False,True,True,True,False
eventProperties,2,True,False,True,True,False
SwapPlugin,2,True,True,True,False,False
swapNodes,2,True,True,True,True,False
setData,2,True,True,True,True,False
MultiDrag,2,True,True,True,False,False
delayStartGlobal,3,False,True,True,True,False
delayEnded,2,True,True,True,True,False
setupClone,2,True,False,True,True,False
clone,1,True,True,True,True,False
showClone,2,True,True,True,True,False
hideClone,2,True,True,True,True,False
dragStartGlobal,3,True,True,True,True,False
dragStarted,2,True,True,True,True,False
dragOver,2,True,True,True,True,False
revert,1,True,False,True,True,False
dragOverCompleted,3,True,True,True,True,False
dragOverAnimationCapture,4,True,True,True,True,False
dragOverAnimationComplete,4,True,True,True,True,False
drop,1,True,False,True,True,False
nullingGlobal,2,False,True,True,True,False
destroyGlobal,2,True,True,True,True,False
_deselectMultiDrag,3,True,True,True,True,False
_checkKeyDown,3,True,True,True,True,False
_checkKeyUp,3,True,True,True,True,False
select,1,True,False,True,True,False
deselect,1,True,True,True,True,False
eventProperties,2,True,False,True,True,False
multiDragKey,3,True,True,True,True,False
MultiDragPlugin,3,True,True,True,False,False
insertMultiDragElements,4,True,True,True,True,False
insertMultiDragClones,4,True,True,True,True,False
removeMultiDragElements,4,True,True,True,True,False
ownKeys,2,True,False,True,True,False
_objectSpread2,3,True,True,False,False,False
_typeof,2,False,True,True,False,False
_defineProperty,2,True,True,True,True,False
_extends,1,True,True,True,True,False
_objectWithoutPropertiesLoose,4,True,False,True,True,False
_objectWithoutProperties,3,True,False,True,True,False
_toConsumableArray,3,True,True,True,True,False
_arrayWithoutHoles,3,True,True,True,True,False
_iterableToArray,3,True,True,True,True,False
_unsupportedIterableToArray,4,True,True,True,True,False
_arrayLikeToArray,4,True,True,True,True,False
_nonIterableSpread,3,False,True,True,True,False
userAgent,2,True,False,True,True,False
on,1,True,False,True,True,False
off,1,True,False,True,True,False
matches,1,True,False,True,True,False
getParentOrHost,4,True,True,True,True,False
closest,1,True,False,True,True,False
toggleClass,2,True,False,True,True,False
css,1,False,False,True,True,False
matrix,1,True,False,True,True,False
find,1,True,True,True,True,False
getWindowScrollingElement,4,True,True,True,True,False
getRect,2,True,True,True,True,False
isScrolledPast,3,True,True,True,True,False
getChild,2,True,True,True,True,False
lastChild,2,True,False,True,True,False
index,1,True,False,True,True,False
getRelativeScrollOffset,4,True,True,True,True,False
indexOfObject,3,True,True,True,True,False
getParentAutoScrollElement,5,True,True,True,True,False
extend,1,True,True,True,True,False
isRectEqual,3,True,True,True,True,False
throttle,1,True,True,True,True,False
cancelThrottle,2,True,True,True,True,False
scrollBy,2,True,False,True,True,False
clone,1,True,True,True,True,False
setRect,2,True,True,True,True,False
unsetRect,2,True,True,True,True,False
