Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
getParts,2,True,True,True,True,False
waitOneSecond,3,True,True,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
less,1,True,False,True,True,False
fn1,2,False,False,False,False,False
fn2,2,False,False,False,False,False
fakeLatency,2,True,False,True,True,False
exports,1,True,False,True,True,False
isFilesArg,3,False,True,True,True,False
logPluginError,3,True,True,True,True,False
BrowserSync,2,True,False,True,False,False
callback,1,True,False,True,True,False
init,1,False,False,True,True,False
executeTask,2,True,True,True,True,False
taskRunner,2,True,False,True,True,False
handleOut,2,True,True,True,True,False
setOptions,2,True,True,True,True,False
tasksComplete,2,True,True,True,True,False
registerPlugin,2,True,True,True,True,False
getUserPlugin,3,True,True,True,True,False
getUserPlugins,3,True,True,True,True,False
getMiddleware,2,True,True,True,True,False
serveFile,2,True,True,True,True,False
_addMiddlewareToStack,4,True,True,True,True,False
addMiddleware,2,True,True,True,True,False
removeMiddleware,2,True,True,True,True,False
getSocketConnector,3,True,True,True,True,False
getExternalSocketConnector,4,True,True,True,True,False
getOption,2,True,True,True,True,False
getOptionIn,3,True,True,True,True,False
getOptions,2,True,True,True,True,False
setOption,2,True,True,True,True,False
setOptionIn,3,True,True,True,True,False
setMany,2,True,True,True,True,False
addRewriteRule,3,True,True,True,True,False
removeRewriteRule,3,True,True,True,True,False
setRewriteRules,3,True,True,True,True,False
resetMiddlewareStack,3,True,True,True,True,False
registerCleanupTask,3,True,True,True,True,False
cleanup,1,True,False,True,True,False
exports,1,True,False,True,True,False
logRecipes,2,True,True,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
getPath,2,True,True,True,True,False
getScriptArgs,3,False,True,True,True,False
fileChanges,2,True,True,True,True,False
applyReloadOperators,3,False,True,True,True,False
applyOperators,2,True,True,True,True,False
getAggregatedDebouncedStream,4,True,True,True,True,False
fn,1,False,False,True,True,False
plugin,1,True,True,True,True,False
watch,1,True,True,True,True,False
methodRequiresInstance,3,True,True,True,True,False
getUrl,2,False,True,True,True,False
middleware,1,True,False,True,True,False
exports,1,True,False,True,True,False
addMapEntry,3,True,True,True,True,False
addSetEntry,3,True,True,True,True,False
apply,1,True,True,True,True,False
arrayEach,2,True,True,True,True,False
arrayFilter,2,True,True,True,True,False
arrayIncludes,2,True,True,True,True,False
arrayIncludesWith,3,True,True,True,True,False
arrayMap,2,True,True,True,True,False
arrayPush,2,True,True,True,True,False
arrayReduce,2,True,True,True,True,False
arraySome,2,True,True,True,True,False
asciiToArray,3,False,True,True,True,False
baseFindIndex,3,True,True,True,True,False
baseIndexOf,3,True,False,True,True,False
baseIsNaN,4,False,False,False,True,False
baseProperty,2,True,False,True,True,False
baseTimes,2,True,False,True,True,False
baseUnary,2,True,False,True,True,False
baseValues,2,True,False,True,True,False
cacheHas,2,True,True,True,True,False
getValue,2,True,True,True,True,False
hasUnicode,2,False,True,True,True,False
iteratorToArray,3,True,True,True,True,False
mapToArray,3,True,True,True,True,False
overArg,2,False,True,True,True,False
setToArray,3,True,True,True,True,False
strictIndexOf,3,True,False,True,True,False
stringToArray,3,True,True,True,True,False
unicodeToArray,3,True,True,True,True,False
lodash,2,True,False,True,False,False
object,1,True,False,True,True,False
Hash,1,True,True,True,False,False
hashClear,2,True,False,True,True,False
hashDelete,2,True,False,True,True,False
hashGet,2,True,True,True,True,False
hashHas,2,True,True,True,True,False
hashSet,2,True,True,True,True,False
ListCache,2,True,False,True,False,False
listCacheClear,3,True,False,True,True,False
