Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
isAuthenticated,2,True,True,True,True,False
isAuthorized,2,True,True,True,True,False
getApi,2,False,True,True,True,False
getFoursquare,2,True,True,True,True,False
getTumblr,2,False,True,True,True,False
getFacebook,2,False,True,True,True,False
getScraping,2,True,True,True,True,False
getGithub,2,False,True,True,True,False
getQuickbooks,3,True,True,True,False,False
getNewYorkTimes,4,False,True,True,True,False
getArtistInfo,3,True,True,True,True,False
getArtistTopTracks,4,True,True,True,True,False
getArtistTopAlbums,4,True,True,True,True,False
getLastfm,3,False,True,True,False,False
makeURL,2,False,True,True,True,False
getPlayerAchievements,3,True,True,True,True,False
getPlayerSummaries,3,True,True,True,True,False
getOwnedGames,3,True,True,True,True,False
getSteam,2,True,True,True,True,False
getStripe,2,True,True,True,True,False
postStripe,2,True,True,True,True,False
getTwilio,3,False,True,True,False,False
postTwilio,3,False,False,True,False,False
getUser,2,True,True,True,True,False
getFollowers,2,True,True,True,True,False
getTwitch,2,True,True,True,True,False
getChart,2,True,True,True,True,False
getPayPal,3,False,True,True,True,False
getPayPalSuccess,4,False,True,True,True,False
getPayPalCancel,4,False,True,True,True,False
getLob,2,True,True,True,True,False
getFileUpload,3,True,True,True,True,False
postFileUpload,3,True,True,True,True,False
getPinterest,3,True,True,False,False,False
postPinterest,3,True,False,False,False,False
getHereMaps,3,True,True,True,True,False
getGoogleMaps,3,False,True,True,True,False
getGoogleDrive,3,False,True,True,True,False
getGoogleSheets,3,True,True,True,True,False
getContact,2,True,True,True,True,False
getValidateReCAPTCHA,4,True,True,True,True,False
postContact,2,True,False,True,True,False
index,1,True,False,True,True,False
sendMail,2,True,True,True,True,False
getLogin,2,True,True,True,True,False
postLogin,2,True,True,True,True,False
logout,1,True,True,True,True,False
getSignup,2,True,True,True,True,False
postSignup,2,True,False,True,True,False
getAccount,2,True,True,True,True,False
postUpdateProfile,3,True,True,True,True,False
postUpdatePassword,3,True,True,True,True,False
postDeleteAccount,3,True,False,True,True,False
getOauthUnlink,3,False,True,True,True,False
getReset,2,True,True,True,True,False
getVerifyEmailToken,4,True,True,True,True,False
setRandomToken,3,True,True,True,True,False
sendVerifyEmail,3,True,True,True,True,False
getVerifyEmail,3,True,True,True,True,False
resetPassword,2,True,True,True,True,False
sendResetPasswordEmail,4,True,True,True,True,False
postReset,2,True,True,True,True,False
getForgot,2,True,True,True,True,False
setRandomToken,3,True,True,True,True,False
sendForgotPasswordEmail,4,True,True,True,True,False
postForgot,2,True,False,True,True,False
save,1,True,True,True,True,False
comparePassword,2,True,True,True,True,False
comparePassword,2,True,True,True,True,False
gravatar,1,True,False,True,True,False
gravatar,1,True,False,True,True,False
