Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
isAuthenticated,is,True,AUX,2
isAuthenticated,Authenticated,True,VERB,13
isAuthorized,is,True,AUX,2
isAuthorized,Authorized,True,VERB,10
getApi,get,True,VERB,3
getApi,Api,False,PROPN,3
getFoursquare,get,True,VERB,3
getFoursquare,Foursquare,True,NOUN,10
getTumblr,get,True,VERB,3
getTumblr,Tumblr,False,PROPN,6
getFacebook,get,True,VERB,3
getFacebook,Facebook,True,PROPN,8
getScraping,get,True,VERB,3
getScraping,Scraping,True,VERB,8
getGithub,get,True,VERB,3
getGithub,Github,False,NOUN,6
getQuickbooks,get,True,VERB,3
getQuickbooks,Quick,True,ADJ,5
getQuickbooks,books,True,NOUN,5
getNewYorkTimes,get,True,VERB,3
getNewYorkTimes,New,True,ADJ,3
getNewYorkTimes,York,True,VERB,4
getNewYorkTimes,Times,True,NOUN,5
getArtistInfo,get,True,VERB,3
getArtistInfo,Artist,True,NOUN,6
getArtistInfo,Info,True,NOUN,4
getArtistTopTracks,get,True,VERB,3
getArtistTopTracks,Artist,True,NOUN,6
getArtistTopTracks,Top,True,ADJ,3
getArtistTopTracks,Tracks,True,NOUN,6
getArtistTopAlbums,get,True,VERB,3
getArtistTopAlbums,Artist,True,NOUN,6
getArtistTopAlbums,Top,True,ADJ,3
getArtistTopAlbums,Albums,True,NOUN,6
getLastfm,get,True,VERB,3
getLastfm,Last,True,ADJ,4
getLastfm,fm,True,ADV,2
makeURL,make,True,VERB,4
makeURL,URL,True,NOUN,3
getPlayerAchievements,get,True,VERB,3
getPlayerAchievements,Player,True,NOUN,6
getPlayerAchievements,Achievements,True,NOUN,12
getPlayerSummaries,get,True,VERB,3
getPlayerSummaries,Player,True,NOUN,6
getPlayerSummaries,Summaries,True,NOUN,9
getOwnedGames,get,True,VERB,3
getOwnedGames,Owned,True,VERB,5
getOwnedGames,Games,True,NOUN,5
getSteam,get,True,VERB,3
getSteam,Steam,True,VERB,5
getStripe,get,True,VERB,3
getStripe,Stripe,True,VERB,6
postStripe,post,True,NOUN,4
postStripe,Stripe,True,VERB,6
getTwilio,get,True,VERB,3
getTwilio,Twil,False,NOUN,4
getTwilio,io,False,NOUN,2
postTwilio,post,True,NOUN,4
postTwilio,Twil,False,NOUN,4
postTwilio,io,False,NOUN,2
getUser,get,True,VERB,3
getUser,User,True,NOUN,4
getFollowers,get,True,VERB,3
