Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
next,1,True,False,True,True,False
build,1,True,True,True,True,False
buildEntry,2,True,True,True,True,False
report,1,True,False,True,True,False
write,1,True,True,True,True,False
getSize,2,True,True,True,True,False
logError,2,True,True,True,True,False
blue,1,True,False,True,True,False
resolve,1,True,True,True,True,False
genConfig,2,True,False,True,True,False
throwNoCurrentInstance,4,True,True,True,True,False
useRouter,2,True,True,True,True,False
useRoute,2,True,True,True,True,False
onBeforeRouteUpdate,4,True,True,True,True,False
isUpdateNavigation,3,True,True,True,True,False
isLeaveNavigation,3,True,True,True,True,False
onBeforeRouteLeave,4,True,True,True,True,False
noop,1,False,False,True,True,False
useFilteredGuard,3,True,True,True,True,False
guardEvent,2,True,True,True,True,False
loop,1,True,False,True,True,False
includesParams,2,False,True,True,True,False
isSameRouteLocationParamsValue,6,False,False,True,True,False
isEquivalentArray,3,True,True,True,True,False
isSameRouteLocationParams,5,False,False,True,True,False
navigate,1,True,True,True,True,False
useLink,2,True,True,True,True,False
assert,1,True,False,True,True,False
warn,1,True,True,True,True,False
extend,1,True,True,True,True,False
encodeReserveReplacer,3,False,True,True,True,False
encode,1,True,False,True,True,False
decode,1,True,False,True,True,False
resolveQuery,2,True,True,True,True,False
castQueryParamValue,4,False,False,True,True,False
parseQuery,2,True,True,True,True,False
stringifyQuery,2,False,True,True,True,False
createRoute,2,True,True,True,True,False
clone,1,True,True,True,True,False
formatMatch,2,True,True,True,True,False
getFullPath,3,True,True,True,True,False
isSameRoute,3,True,False,True,True,False
isObjectEqual,3,True,True,True,True,False
isIncludedRoute,3,True,True,True,True,False
queryIncludes,2,True,True,True,True,False
handleRouteEntered,3,True,True,True,True,False
registerRouteInstance,3,True,True,True,True,False
prepatch,1,False,True,True,True,False
init,1,False,False,True,True,False
render,1,True,True,True,True,False
fillPropsinData,4,True,True,True,False,False
resolveProps,2,True,True,True,True,False
resolvePath,2,True,True,True,True,False
parsePath,2,True,True,True,True,False
cleanPath,2,True,True,True,True,False
parse,1,True,True,True,True,False
compile,1,True,False,True,True,False
encodeURIComponentPretty,4,False,False,True,True,False
encodeAsterisk,2,True,False,True,True,False
tokensToFunction,3,True,False,True,True,False
escapeString,2,True,True,True,True,False
escapeGroup,2,True,True,True,True,False
attachKeys,2,True,True,True,True,False
flags,1,True,False,True,True,False
regexpToRegexp,3,True,False,True,True,False
arrayToRegexp,3,True,True,True,True,False
stringToRegexp,3,True,False,True,True,False
tokensToRegExp,4,False,False,True,True,False
pathToRegexp,3,True,False,True,True,False
fillParams,2,False,True,True,True,False
normalizeLocation,2,True,True,True,True,False
noop,1,False,False,True,True,False
handler,1,True,False,True,True,False
render,1,True,True,True,True,False
guardEvent,2,True,True,True,True,False
findAnchor,2,True,True,True,True,False
isDef,2,True,True,True,True,False
registerInstance,2,True,True,True,True,False
beforeCreate,2,True,True,True,True,False
destroyed,1,True,True,True,True,False
get,1,True,True,True,True,False
get,1,True,True,True,True,False
install,1,True,True,True,True,False
createRouteMap,3,True,True,True,True,False
addRouteRecord,3,True,True,True,True,False
compileRouteRegex,3,True,False,True,True,False
normalizePath,2,True,True,True,True,False
addRoutes,2,True,True,True,True,False
addRoute,2,True,True,True,True,False
getRoutes,2,True,True,True,True,False
match,1,True,True,True,True,False
redirect,1,True,True,True,True,False
alias,1,True,False,True,True,False
_createRoute,2,True,True,True,True,False
createMatcher,2,True,True,True,True,False
matchRoute,2,True,True,True,True,False
resolveRecordPath,3,True,True,True,True,False
genStateKey,3,True,False,True,True,False
getStateKey,3,True,True,True,True,False
setStateKey,3,True,True,True,True,False
setupScroll,2,True,False,True,True,False
handleScroll,2,True,True,True,True,False
saveScrollPosition,3,True,True,True,True,False
handlePopState,3,True,True,True,True,False
getScrollPosition,3,True,True,True,True,False
getElementPosition,3,True,True,True,True,False
isValidPosition,3,True,False,True,True,False
normalizePosition,2,True,True,True,True,False
normalizeOffset,2,True,True,True,True,False
isNumber,2,True,False,True,True,False
scrollToPosition,3,True,False,True,True,False
pushState,2,True,True,True,True,False
replaceState,2,True,True,True,True,False
createNavigationRedirectedError,4,True,True,True,True,False
createNavigationDuplicatedError,4,True,True,True,True,False
createNavigationCancelledError,4,True,True,True,True,False
createNavigationAbortedError,4,True,True,True,True,False
createRouterError,3,True,True,True,True,False
stringifyRoute,2,False,True,True,True,False
isError,2,True,False,True,True,False
isNavigationFailure,3,True,False,True,True,False
step,1,True,False,True,True,False
runQueue,2,True,True,True,True,False
resolveAsyncComponents,3,False,True,True,True,False
flatMapComponents,3,True,False,True,True,False
flatten,1,True,True,True,True,False
isESModule,3,False,False,True,True,False
once,1,True,False,True,True,False
History,1,True,False,True,False,False
History,1,True,False,True,False,False
listen,1,True,True,True,True,False
listen,1,True,True,True,True,False
onReady,2,True,False,True,True,False
onReady,2,True,False,True,True,False
onError,2,True,False,True,True,False
onError,2,True,False,True,True,False
transitionTo,2,True,False,True,True,False
transitionTo,2,True,False,True,True,False
abort,1,True,False,True,True,False
iterator,1,True,False,True,True,False
confirmTransition,2,True,True,True,True,False
confirmTransition,2,True,True,True,True,False
updateRoute,2,True,True,True,True,False
updateRoute,2,True,True,True,True,False
setupListeners,2,True,False,True,True,False
setupListeners,2,True,False,True,True,False
teardown,1,True,True,True,True,False
teardown,1,True,True,True,True,False
normalizeBase,2,True,True,True,True,False
resolveQueue,2,True,True,True,True,False
extractGuards,2,True,True,True,True,False
extractGuard,2,True,True,True,True,False
extractLeaveGuards,3,True,True,True,True,False
extractUpdateHooks,3,True,True,True,True,False
boundRouteGuard,3,True,True,True,True,False
bindGuard,2,True,True,True,True,False
extractEnterGuards,3,True,True,True,True,False
routeEnterGuard,3,True,True,True,True,False
bindEnterGuard,3,True,True,True,True,False
HTML5History,2,True,False,True,False,False
handleRoutingEvent,3,True,True,True,True,False
setupListeners,2,True,False,True,True,False
setupListeners,2,True,False,True,True,False
go,1,True,True,True,True,False
go,1,True,True,True,True,False
push,1,True,True,True,True,False
push,1,True,True,True,True,False
replace,1,True,True,True,True,False
replace,1,True,True,True,True,False
ensureURL,2,False,True,True,True,False
ensureURL,2,False,True,True,True,False
getCurrentLocation,3,True,True,True,True,False
getCurrentLocation,3,True,True,True,True,False
getLocation,2,True,True,True,True,False
HashHistory,2,True,True,True,False,False
handleRoutingEvent,3,True,True,True,True,False
setupListeners,2,True,False,True,True,False
setupListeners,2,True,False,True,True,False
push,1,True,True,True,True,False
push,1,True,True,True,True,False
replace,1,True,True,True,True,False
replace,1,True,True,True,True,False
go,1,True,True,True,True,False
go,1,True,True,True,True,False
