Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
next,next,True,ADV,4
build,build,True,VERB,5
buildEntry,build,True,VERB,5
buildEntry,Entry,True,NOUN,5
report,report,True,NOUN,6
write,write,True,VERB,5
getSize,get,True,VERB,3
getSize,Size,True,NOUN,4
logError,log,True,VERB,3
logError,Error,True,NOUN,5
blue,blue,True,ADJ,4
resolve,resolve,True,VERB,7
genConfig,gen,True,PROPN,3
genConfig,Config,False,PROPN,6
throwNoCurrentInstance,throw,True,VERB,5
throwNoCurrentInstance,No,True,INTJ,2
throwNoCurrentInstance,Current,True,ADJ,7
throwNoCurrentInstance,Instance,True,PROPN,8
useRouter,use,True,VERB,3
useRouter,Router,True,NOUN,6
useRoute,use,True,VERB,3
useRoute,Route,True,NOUN,5
onBeforeRouteUpdate,on,True,ADP,2
onBeforeRouteUpdate,Before,True,ADP,6
onBeforeRouteUpdate,Route,True,NOUN,5
onBeforeRouteUpdate,Update,True,VERB,6
isUpdateNavigation,is,True,AUX,2
isUpdateNavigation,Update,True,VERB,6
isUpdateNavigation,Navigation,True,NOUN,10
isLeaveNavigation,is,True,AUX,2
isLeaveNavigation,Leave,True,VERB,5
isLeaveNavigation,Navigation,True,NOUN,10
onBeforeRouteLeave,on,True,ADP,2
onBeforeRouteLeave,Before,True,ADP,6
onBeforeRouteLeave,Route,True,NOUN,5
onBeforeRouteLeave,Leave,True,VERB,5
noop,noop,False,NOUN,4
useFilteredGuard,use,True,VERB,3
useFilteredGuard,Filtered,True,VERB,8
useFilteredGuard,Guard,True,VERB,5
guardEvent,guard,True,VERB,5
guardEvent,Event,True,NOUN,5
loop,loop,True,NOUN,4
includesParams,includes,True,VERB,8
includesParams,Params,False,NOUN,6
isSameRouteLocationParamsValue,is,True,AUX,2
isSameRouteLocationParamsValue,Same,True,ADJ,4
isSameRouteLocationParamsValue,Route,True,NOUN,5
isSameRouteLocationParamsValue,Location,True,NOUN,8
isSameRouteLocationParamsValue,Params,False,NOUN,6
isSameRouteLocationParamsValue,Value,True,NOUN,5
isEquivalentArray,is,True,AUX,2
isEquivalentArray,Equivalent,True,VERB,10
isEquivalentArray,Array,True,VERB,5
isSameRouteLocationParams,is,True,AUX,2
isSameRouteLocationParams,Same,True,ADJ,4
isSameRouteLocationParams,Route,True,NOUN,5
isSameRouteLocationParams,Location,True,NOUN,8
isSameRouteLocationParams,Params,False,NOUN,6
navigate,navigate,True,VERB,8
useLink,use,True,VERB,3
useLink,Link,True,NOUN,4
assert,assert,True,PROPN,6
warn,warn,True,VERB,4
extend,extend,True,VERB,6
encodeReserveReplacer,encode,True,ADJ,6
encodeReserveReplacer,Reserve,True,VERB,7
encodeReserveReplacer,Replacer,True,PROPN,8
encode,encode,True,ADJ,6
decode,decode,True,PROPN,6
resolveQuery,resolve,True,VERB,7
resolveQuery,Query,True,NOUN,5
castQueryParamValue,cast,True,NOUN,4
castQueryParamValue,Query,True,NOUN,5
castQueryParamValue,Param,False,NOUN,5
castQueryParamValue,Value,True,NOUN,5
parseQuery,parse,True,VERB,5
parseQuery,Query,True,NOUN,5
stringifyQuery,stringify,False,VERB,9
stringifyQuery,Query,True,NOUN,5
createRoute,create,True,VERB,6
createRoute,Route,True,NOUN,5
clone,clone,True,VERB,5
formatMatch,format,True,NOUN,6
formatMatch,Match,True,VERB,5
getFullPath,get,True,VERB,3
getFullPath,Full,True,ADJ,4
getFullPath,Path,True,NOUN,4
isSameRoute,is,True,AUX,2
isSameRoute,Same,True,ADJ,4
isSameRoute,Route,True,NOUN,5
isObjectEqual,is,True,AUX,2
isObjectEqual,Object,True,VERB,6
isObjectEqual,Equal,True,ADJ,5
isIncludedRoute,is,True,AUX,2
isIncludedRoute,Included,True,VERB,8
isIncludedRoute,Route,True,NOUN,5
queryIncludes,query,True,NOUN,5
queryIncludes,Includes,True,VERB,8
handleRouteEntered,handle,True,VERB,6
handleRouteEntered,Route,True,NOUN,5
handleRouteEntered,Entered,True,VERB,7
registerRouteInstance,register,True,VERB,8
registerRouteInstance,Route,True,NOUN,5
registerRouteInstance,Instance,True,PROPN,8
prepatch,prepatch,False,VERB,8
init,init,True,PROPN,4
render,render,True,VERB,6
fillPropsinData,fill,True,VERB,4
fillPropsinData,Props,True,NOUN,5
fillPropsinData,in,True,ADP,2
fillPropsinData,Data,True,NOUN,4
resolveProps,resolve,True,VERB,7
resolveProps,Props,True,NOUN,5
resolvePath,resolve,True,VERB,7
resolvePath,Path,True,NOUN,4
parsePath,parse,True,VERB,5
parsePath,Path,True,NOUN,4
cleanPath,clean,True,VERB,5
cleanPath,Path,True,NOUN,4
parse,parse,True,VERB,5
compile,compile,True,NOUN,7
encodeURIComponentPretty,encode,True,ADJ,6
encodeURIComponentPretty,URI,False,PROPN,3
encodeURIComponentPretty,Component,True,NOUN,9
encodeURIComponentPretty,Pretty,True,ADV,6
encodeAsterisk,encode,True,ADJ,6
encodeAsterisk,Asterisk,True,NOUN,8
tokensToFunction,tokens,True,PROPN,6
tokensToFunction,To,True,PART,2
tokensToFunction,Function,True,NOUN,8
escapeString,escape,True,VERB,6
escapeString,String,True,NOUN,6
escapeGroup,escape,True,VERB,6
escapeGroup,Group,True,PROPN,5
attachKeys,attach,True,VERB,6
attachKeys,Keys,True,NOUN,4
flags,flags,True,NOUN,5
regexpToRegexp,regexp,True,PROPN,6
regexpToRegexp,To,True,PART,2
regexpToRegexp,Regexp,True,PROPN,6
arrayToRegexp,array,True,VERB,5
arrayToRegexp,To,True,PART,2
arrayToRegexp,Regexp,True,PROPN,6
stringToRegexp,string,True,PROPN,6
stringToRegexp,To,True,PART,2
stringToRegexp,Regexp,True,PROPN,6
tokensToRegExp,tokens,True,PROPN,6
tokensToRegExp,To,True,PART,2
tokensToRegExp,Reg,True,NOUN,3
