Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
onmessage,2,True,False,True,False,False
d,1,True,False,False,True,False
onmessage,2,True,False,True,False,False
_onTCPConnectionBound,4,False,True,True,True,False
_onUTPConnectionBound,4,False,True,True,True,False
_onListening,2,True,True,True,True,False
_onTCPError,3,False,False,True,True,False
_onUTPError,3,False,False,True,True,False
onPe3,3,False,False,False,False,False
onHandshake,2,True,True,True,True,False
cleanupPending,2,True,True,True,True,False
noop,1,False,False,True,True,False
_onWire,2,True,False,True,True,False
_onWireHave,3,True,True,True,True,False
_onWireBitfield,4,True,False,True,False,False
_onClose,2,True,True,True,True,False
listener,1,True,False,True,True,False
onmessage,2,True,False,True,False,False
cleanup,1,True,False,True,True,False
onmessage,2,True,False,True,False,False
serve,1,True,True,True,True,False
inflateSync,2,True,True,True,True,False
noop,1,False,False,True,True,False
nextTick,2,True,True,True,True,False
listeners,1,True,False,True,True,False
cwd,1,False,True,True,True,False
umask,2,True,False,False,False,False
binding,1,True,True,True,True,False
chdir,2,False,False,True,False,False
getDownloadPath,3,True,True,True,True,False
maybeDone,2,True,True,True,True,False
maybeDone,2,True,True,True,True,False
assertBlocked,2,True,True,True,True,False
assertReachable,2,True,False,True,True,False
assertList,2,True,False,True,True,False
maybeDone,2,True,True,True,True,False
maybeDone,2,True,True,True,True,False
maybeDone,2,True,True,True,True,False
maybeDone,2,True,True,True,True,False
createServer,2,True,True,True,True,False
maybeDone,2,True,True,True,True,False
maybeDone,2,True,True,True,True,False
magnetDownloadTest,3,True,True,True,True,False
maybeDone,2,True,True,True,True,False
torrentDownloadTest,3,True,True,True,True,False
maybeDone,2,True,True,True,True,False
maybeDone,2,True,True,True,True,False
maybeDone,2,True,True,True,True,False
_read,1,True,True,True,True,False
maybeDone,2,True,True,True,True,False
maybeDone,2,True,True,True,True,False
maybeDone,2,True,True,True,True,False
close,1,True,True,True,True,False
validateInitial,2,True,True,True,True,False
setPiece,2,True,True,True,True,False
addWire,2,True,True,True,True,False
removeWire,2,True,True,True,True,False
