Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
getCommandLineParameter,get,True,VERB,3
getCommandLineParameter,Command,True,NOUN,7
getCommandLineParameter,Line,True,NOUN,4
getCommandLineParameter,Parameter,True,NOUN,9
getServerAddress,get,True,VERB,3
getServerAddress,Server,True,PROPN,6
getServerAddress,Address,True,NOUN,7
getServerConfig,get,True,VERB,3
getServerConfig,Server,True,PROPN,6
getServerConfig,Config,False,PROPN,6
fail,fail,True,VERB,4
exports,exports,True,NOUN,7
loadConfig,load,True,NOUN,4
loadConfig,Config,False,PROPN,6
checkDeprecatedOptions,check,True,VERB,5
checkDeprecatedOptions,Deprecated,True,VERB,10
checkDeprecatedOptions,Options,True,NOUN,7
loadModule,load,True,NOUN,4
loadModule,Module,True,NOUN,6
loadModules,load,True,NOUN,4
loadModules,Modules,True,NOUN,7
cmpVersions,cmp,False,PROPN,3
cmpVersions,Versions,True,NOUN,8
start,start,True,VERB,5
stop,stop,True,VERB,4
App,App,True,PROPN,3
getConfigFile,get,True,VERB,3
getConfigFile,Config,False,PROPN,6
getConfigFile,File,True,VERB,4
checkConfigFile,check,True,VERB,5
checkConfigFile,Config,False,PROPN,6
checkConfigFile,File,True,VERB,4
Class,Class,True,NOUN,5
Class,Class,True,NOUN,5
extend,extend,True,VERB,6
cloneObject,clone,True,VERB,5
cloneObject,Object,True,VERB,6
createWindow,create,True,VERB,6
createWindow,Window,True,NOUN,6
fetch,fetch,True,VERB,5
startModules,start,True,VERB,5
startModules,Modules,True,NOUN,7
getAllModules,get,True,VERB,3
getAllModules,All,True,PRON,3
getAllModules,Modules,True,NOUN,7
getModuleData,get,True,VERB,3
getModuleData,Module,True,NOUN,6
getModuleData,Data,True,NOUN,4
afterLoad,after,True,ADP,5
afterLoad,Load,True,NOUN,4
loadModule,load,True,NOUN,4
loadModule,Module,True,NOUN,6
bootstrapModule,bootstrap,True,NOUN,9
bootstrapModule,Module,True,NOUN,6
onload,on,True,ADP,2
onload,load,True,NOUN,4
onerror,on,True,ADP,2
onerror,error,True,NOUN,5
onload,on,True,ADP,2
onload,load,True,NOUN,4
onerror,on,True,ADP,2
onerror,error,True,NOUN,5
loadFile,load,True,NOUN,4
loadFile,File,True,VERB,4
loadNextModule,load,True,NOUN,4
loadNextModule,Next,True,ADV,4
loadNextModule,Module,True,NOUN,6
key,key,True,ADJ,3
setLogLevel,set,True,VERB,3
setLogLevel,Log,True,VERB,3
setLogLevel,Level,True,VERB,5
setLogLevel,set,True,VERB,3
setLogLevel,Log,True,VERB,3
setLogLevel,Level,True,VERB,5
createDomObjects,create,True,VERB,6
createDomObjects,Dom,True,VERB,3
createDomObjects,Objects,True,NOUN,7
selectWrapper,select,True,ADJ,6
selectWrapper,Wrapper,True,NOUN,7
sendNotification,send,True,VERB,4
sendNotification,Notification,True,NOUN,12
updateDom,update,True,VERB,6
updateDom,Dom,True,VERB,3
updateDomWithContent,update,True,VERB,6
updateDomWithContent,Dom,True,VERB,3
updateDomWithContent,With,True,ADP,4
updateDomWithContent,Content,True,NOUN,7
moduleNeedsUpdate,module,True,NOUN,6
moduleNeedsUpdate,Needs,True,NOUN,5
moduleNeedsUpdate,Update,True,VERB,6
updateModuleContent,update,True,VERB,6
updateModuleContent,Module,True,NOUN,6
updateModuleContent,Content,True,NOUN,7
hideModule,hide,True,VERB,4
hideModule,Module,True,NOUN,6
showModule,show,True,VERB,4
showModule,Module,True,NOUN,6
updateWrapperStates,update,True,VERB,6
updateWrapperStates,Wrapper,True,NOUN,7
updateWrapperStates,States,True,NOUN,6
loadConfig,load,True,NOUN,4
loadConfig,Config,False,PROPN,6
withClass,with,True,ADP,4
withClass,Class,True,NOUN,5
exceptWithClass,except,True,SCONJ,6
exceptWithClass,With,True,ADP,4
exceptWithClass,Class,True,NOUN,5
modulesByClass,modules,True,NOUN,7
modulesByClass,By,True,ADP,2
modulesByClass,Class,True,NOUN,5
exceptModule,except,True,SCONJ,6
exceptModule,Module,True,NOUN,6
enumerate,enumerate,True,NOUN,9
setSelectionMethodsForModules,set,True,VERB,3
setSelectionMethodsForModules,Selection,True,NOUN,9
setSelectionMethodsForModules,Methods,True,NOUN,7
setSelectionMethodsForModules,For,True,ADP,3
setSelectionMethodsForModules,Modules,True,NOUN,7
assign,assign,True,VERB,6
loadNextDependency,load,True,NOUN,4
loadNextDependency,Next,True,ADV,4
loadNextDependency,Dependency,True,NOUN,10
configMerge,config,False,PROPN,6
configMerge,Merge,True,VERB,5
create,create,True,VERB,6
register,register,True,VERB,8
cmpVersions,cmp,False,PROPN,3
cmpVersions,Versions,True,NOUN,8
onevent,on,True,ADP,2
onevent,event,True,NOUN,5
checkFetchStatus,check,True,VERB,5
checkFetchStatus,Fetch,True,VERB,5
checkFetchStatus,Status,True,NOUN,6
checkFetchError,check,True,VERB,5
checkFetchError,Fetch,True,VERB,5
checkFetchError,Error,True,NOUN,5
create,create,True,VERB,6
open,open,True,VERB,4
close,close,True,VERB,5
Server,Server,True,PROPN,6
getConfig,get,True,VERB,3
getConfig,Config,False,PROPN,6
cors,cors,False,NOUN,4
getHeadersToSend,get,True,VERB,3
getHeadersToSend,Headers,True,NOUN,7
getHeadersToSend,To,True,PART,2
getHeadersToSend,Send,True,VERB,4
geExpectedRecievedHeaders,ge,False,PROPN,2
