Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
decodeGlobal,decode,True,PROPN,6
decodeGlobal,Global,True,ADJ,6
decodeGlobal,decode,True,PROPN,6
decodeGlobal,Global,True,ADJ,6
decodePage,decode,True,PROPN,6
decodePage,Page,True,NOUN,4
logNotice,log,True,VERB,3
logNotice,Notice,True,VERB,6
deprecateMethod,deprecate,True,NOUN,9
deprecateMethod,Method,True,PROPN,6
prepare,prepare,True,VERB,7
getter,getter,True,NOUN,6
setter,setter,True,PROPN,6
deprecateField,deprecate,True,NOUN,9
deprecateField,Field,True,NOUN,5
enableDeprecation,enable,True,VERB,6
enableDeprecation,Deprecation,True,NOUN,11
disableDeprecation,disable,True,ADJ,7
disableDeprecation,Deprecation,True,NOUN,11
deprecateRenamedMethod,deprecate,True,NOUN,9
deprecateRenamedMethod,Renamed,True,VERB,7
deprecateRenamedMethod,Method,True,PROPN,6
encodeConfig,encode,True,ADJ,6
encodeConfig,Config,False,PROPN,6
encodeGlobal,encode,True,ADJ,6
encodeGlobal,Global,True,ADJ,6
encodeArticle,encode,True,ADJ,6
encodeArticle,Article,True,NOUN,7
encodeNavigation,encode,True,ADJ,6
encodeNavigation,Navigation,True,NOUN,10
encodePage,encode,True,ADJ,6
encodePage,Page,True,NOUN,4
encodeProgress,encode,True,ADJ,6
encodeProgress,Progress,True,NOUN,8
encodeSummary,encode,True,ADJ,6
encodeSummary,Summary,True,NOUN,7
exports,exports,True,NOUN,7
getBook,get,True,VERB,3
getBook,Book,True,NOUN,4
getOutputFolder,get,True,VERB,3
getOutputFolder,Output,True,NOUN,6
getOutputFolder,Folder,True,PROPN,6
printBook,print,True,NOUN,5
printBook,Book,True,NOUN,4
printMultingualBook,print,True,NOUN,5
printMultingualBook,Multingual,False,PROPN,10
printMultingualBook,Book,True,NOUN,4
waitForCtrlC,wait,True,VERB,4
waitForCtrlC,For,True,ADP,3
waitForCtrlC,Ctrl,False,NOUN,4
waitForCtrlC,C,True,NOUN,1
generateBook,generate,True,VERB,8
generateBook,Book,True,NOUN,4
Server,Server,True,PROPN,6
isRunning,is,True,AUX,2
isRunning,Running,True,VERB,7
stop,stop,True,VERB,4
error,error,True,NOUN,5
redirect,redirect,True,VERB,8
start,start,True,VERB,5
urlTransform,url,False,NOUN,3
urlTransform,Transform,True,VERB,9
watch,watch,True,VERB,5
createFromDependency,create,True,VERB,6
createFromDependency,From,True,ADP,4
createFromDependency,Dependency,True,NOUN,10
validate,validate,True,VERB,8
getFile,get,True,VERB,3
getFile,File,True,VERB,4
fsExists,fs,False,ADV,2
