Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
webpackUniversalModuleDefinition,web,True,NOUN,3
webpackUniversalModuleDefinition,pack,True,VERB,4
webpackUniversalModuleDefinition,Universal,True,ADJ,9
webpackUniversalModuleDefinition,Module,True,NOUN,6
webpackUniversalModuleDefinition,Definition,True,NOUN,10
__webpack_require__,web,True,NOUN,3
__webpack_require__,pack,True,VERB,4
__webpack_require__,require,True,VERB,7
d,d,True,X,1
r,r,True,X,1
t,t,True,NOUN,1
getDefault,get,True,VERB,3
getDefault,Default,True,NOUN,7
getModuleExports,get,True,VERB,3
getModuleExports,Module,True,NOUN,6
getModuleExports,Exports,True,NOUN,7
n,n,True,CCONJ,1
o,o,True,X,1
extend,extend,True,VERB,6
clone,clone,True,VERB,5
keys,keys,True,NOUN,4
values,values,True,NOUN,6
get,get,True,VERB,3
set,set,True,VERB,3
shuffle,shuffle,True,VERB,7
choose,choose,True,VERB,6
isElement,is,True,AUX,2
isElement,Element,True,NOUN,7
isArray,is,True,AUX,2
isArray,Array,True,VERB,5
isFunction,is,True,AUX,2
isFunction,Function,True,NOUN,8
isPlainObject,is,True,AUX,2
isPlainObject,Plain,True,VERB,5
isPlainObject,Object,True,VERB,6
isString,is,True,AUX,2
isString,String,True,NOUN,6
clamp,clamp,True,VERB,5
sign,sign,True,VERB,4
now,now,True,ADV,3
random,random,True,ADJ,6
_seededRandom,seeded,True,VERB,6
_seededRandom,Random,True,ADJ,6
colorToNumber,color,True,NOUN,5
colorToNumber,To,True,PART,2
colorToNumber,Number,True,NOUN,6
log,log,True,VERB,3
info,info,True,NOUN,4
warn,warn,True,VERB,4
warnOnce,warn,True,VERB,4
warnOnce,Once,True,ADV,4
deprecated,deprecated,True,VERB,10
nextId,next,True,ADV,4
nextId,Id,True,PROPN,2
indexOf,index,True,NOUN,5
indexOf,Of,True,ADP,2
map,map,True,NOUN,3
topologicalSort,topological,True,ADJ,11
topologicalSort,Sort,True,ADV,4
_topologicalSort,topological,True,ADJ,11
_topologicalSort,Sort,True,ADV,4
chain,chain,True,NOUN,5
chain,chain,True,NOUN,5
chainPathBefore,chain,True,NOUN,5
chainPathBefore,Path,True,NOUN,4
chainPathBefore,Before,True,ADP,6
chainPathAfter,chain,True,NOUN,5
chainPathAfter,Path,True,NOUN,4
chainPathAfter,After,True,ADP,5
setDecomp,set,True,VERB,3
setDecomp,Decomp,False,NOUN,6
getDecomp,get,True,VERB,3
getDecomp,Decomp,False,NOUN,6
create,create,True,VERB,6
update,update,True,VERB,6
contains,contains,True,VERB,8
overlaps,overlaps,True,ADV,8
translate,translate,True,VERB,9
shift,shift,True,NOUN,5
create,create,True,VERB,6
clone,clone,True,VERB,5
magnitude,magnitude,True,NOUN,9
magnitudeSquared,magnitude,True,NOUN,9
magnitudeSquared,Squared,True,VERB,7
rotate,rotate,True,VERB,6
rotateAbout,rotate,True,VERB,6
rotateAbout,About,True,ADV,5
normalise,normalise,False,NOUN,9
dot,dot,True,NOUN,3
cross,cross,True,VERB,5
cross3,cross,True,VERB,5
cross3,3,True,X,1
add,add,True,VERB,3
sub,sub,True,VERB,3
mult,mult,False,PROPN,4
div,div,True,PROPN,3
perp,perp,False,PROPN,4
neg,neg,True,PROPN,3
angle,angle,True,NOUN,5
create,create,True,VERB,6
fromPath,from,True,ADP,4
fromPath,Path,True,NOUN,4
centre,centre,False,NOUN,6
mean,mean,True,VERB,4
area,area,True,NOUN,4
inertia,inertia,True,VERB,7
translate,translate,True,VERB,9
rotate,rotate,True,VERB,6
contains,contains,True,VERB,8
scale,scale,True,NOUN,5
chamfer,chamfer,True,VERB,7
clockwiseSort,clockwise,True,NOUN,9
clockwiseSort,Sort,True,ADV,4
isConvex,is,True,AUX,2
isConvex,Convex,True,NOUN,6
hull,hull,True,NOUN,4
create,create,True,VERB,6
nextGroup,next,True,ADV,4
nextGroup,Group,True,PROPN,5
nextCategory,next,True,ADV,4
nextCategory,Category,True,NOUN,8
_initProperties,init,True,PROPN,4
_initProperties,Properties,True,NOUN,10
set,set,True,VERB,3
setStatic,set,True,VERB,3
setStatic,Static,True,NOUN,6
setMass,set,True,VERB,3
setMass,Mass,True,NOUN,4
setDensity,set,True,VERB,3
setDensity,Density,True,NOUN,7
setInertia,set,True,VERB,3
setInertia,Inertia,True,NOUN,7
setVertices,set,True,VERB,3
setVertices,Vertices,True,VERB,8
setParts,set,True,VERB,3
setParts,Parts,True,NOUN,5
setCentre,set,True,VERB,3
setCentre,Centre,False,NOUN,6
setPosition,set,True,VERB,3
setPosition,Position,True,NOUN,8
setAngle,set,True,VERB,3
setAngle,Angle,True,PROPN,5
setVelocity,set,True,VERB,3
setVelocity,Velocity,True,NOUN,8
getVelocity,get,True,VERB,3
getVelocity,Velocity,True,NOUN,8
getSpeed,get,True,VERB,3
getSpeed,Speed,True,NOUN,5
setSpeed,set,True,VERB,3
setSpeed,Speed,True,NOUN,5
setAngularVelocity,set,True,VERB,3
setAngularVelocity,Angular,True,ADJ,7
setAngularVelocity,Velocity,True,NOUN,8
getAngularVelocity,get,True,VERB,3
getAngularVelocity,Angular,True,ADJ,7
getAngularVelocity,Velocity,True,NOUN,8
getAngularSpeed,get,True,VERB,3
getAngularSpeed,Angular,True,ADJ,7
getAngularSpeed,Speed,True,NOUN,5
setAngularSpeed,set,True,VERB,3
setAngularSpeed,Angular,True,ADJ,7
setAngularSpeed,Speed,True,NOUN,5
translate,translate,True,VERB,9
rotate,rotate,True,VERB,6
scale,scale,True,NOUN,5
update,update,True,VERB,6
updateVelocities,update,True,VERB,6
updateVelocities,Velocities,True,NOUN,10
applyForce,apply,True,VERB,5
applyForce,Force,True,VERB,5
_totalProperties,total,True,NOUN,5
_totalProperties,Properties,True,NOUN,10
on,on,True,ADP,2
off,off,True,ADV,3
trigger,trigger,True,NOUN,7
create,create,True,VERB,6
setModified,set,True,VERB,3
setModified,Modified,True,VERB,8
add,add,True,VERB,3
remove,remove,True,VERB,6
addComposite,add,True,VERB,3
addComposite,Composite,True,ADJ,9
removeComposite,remove,True,VERB,6
removeComposite,Composite,True,ADJ,9
removeCompositeAt,remove,True,VERB,6
removeCompositeAt,Composite,True,ADJ,9
removeCompositeAt,At,True,ADP,2
addBody,add,True,VERB,3
addBody,Body,True,NOUN,4
removeBody,remove,True,VERB,6
removeBody,Body,True,NOUN,4
removeBodyAt,remove,True,VERB,6
removeBodyAt,Body,True,NOUN,4
removeBodyAt,At,True,ADP,2
addConstraint,add,True,VERB,3
addConstraint,Constraint,True,VERB,10
removeConstraint,remove,True,VERB,6
removeConstraint,Constraint,True,VERB,10
removeConstraintAt,remove,True,VERB,6
removeConstraintAt,Constraint,True,VERB,10
removeConstraintAt,At,True,ADP,2
clear,clear,True,ADJ,5
allBodies,all,True,PRON,3
allBodies,Bodies,True,NOUN,6
allConstraints,all,True,PRON,3
allConstraints,Constraints,True,NOUN,11
allComposites,all,True,PRON,3
allComposites,Composites,True,NOUN,10
get,get,True,VERB,3
move,move,True,VERB,4
rebase,rebase,False,VERB,6
translate,translate,True,VERB,9
rotate,rotate,True,VERB,6
scale,scale,True,NOUN,5
bounds,bounds,True,NOUN,6
update,update,True,VERB,6
afterCollisions,after,True,ADP,5
afterCollisions,Collisions,True,NOUN,10
set,set,True,VERB,3
create,create,True,VERB,6
collides,collides,True,NOUN,8
_overlapAxes,overlap,True,VERB,7
_overlapAxes,Axes,True,NOUN,4
_projectToAxis,project,True,NOUN,7
_projectToAxis,To,True,PART,2
_projectToAxis,Axis,True,VERB,4
_findSupports,find,True,VERB,4
_findSupports,Supports,True,NOUN,8
create,create,True,VERB,6
update,update,True,VERB,6
setActive,set,True,VERB,3
setActive,Active,True,ADJ,6
id,id,True,PROPN,2
create,create,True,VERB,6
preSolveAll,pre,False,VERB,3
preSolveAll,Solve,True,VERB,5
preSolveAll,All,True,PRON,3
solveAll,solve,True,VERB,5
solveAll,All,True,PRON,3
solve,solve,True,VERB,5
postSolveAll,post,True,NOUN,4
postSolveAll,Solve,True,VERB,5
postSolveAll,All,True,PRON,3
pointAWorld,point,True,VERB,5
pointAWorld,A,True,PRON,1
pointAWorld,World,True,NOUN,5
pointBWorld,point,True,VERB,5
pointBWorld,B,True,NOUN,1
pointBWorld,World,True,NOUN,5
fromVertices,from,True,ADP,4
fromVertices,Vertices,True,VERB,8
rotate,rotate,True,VERB,6
rectangle,rectangle,True,VERB,9
trapezoid,trapezoid,True,ADJ,9
circle,circle,True,PROPN,6
polygon,polygon,True,PROPN,7
fromVertices,from,True,ADP,4
fromVertices,Vertices,True,VERB,8
create,create,True,VERB,6
setBodies,set,True,VERB,3
setBodies,Bodies,True,NOUN,6
clear,clear,True,ADJ,5
collisions,collisions,True,NOUN,10
canCollide,can,True,AUX,3
canCollide,Collide,True,VERB,7
_compareBoundsX,compare,True,VERB,7
_compareBoundsX,Bounds,True,NOUN,6
_compareBoundsX,X,True,NOUN,1
mousemove,mouse,True,VERB,5
mousemove,move,True,VERB,4
mousedown,mouse,True,VERB,5
mousedown,down,True,ADV,4
mouseup,mouse,True,VERB,5
mouseup,up,True,ADV,2
mousewheel,mouse,True,VERB,5
mousewheel,wheel,True,NOUN,5
create,create,True,VERB,6
setElement,set,True,VERB,3
setElement,Element,True,NOUN,7
clearSourceEvents,clear,True,ADJ,5
clearSourceEvents,Source,True,NOUN,6
clearSourceEvents,Events,True,NOUN,6
setOffset,set,True,VERB,3
setOffset,Offset,True,VERB,6
setScale,set,True,VERB,3
setScale,Scale,True,NOUN,5
_getRelativeMousePosition,get,True,VERB,3
