Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
sync,1,True,False,True,True,False
redraw,1,True,False,True,True,False
mount,1,True,True,True,True,False
exports,1,True,False,True,True,False
decodeURIComponentSave,4,False,True,True,True,False
reject,1,True,True,True,True,False
loop,1,True,False,True,True,False
resolveRoute,2,True,True,True,True,False
fireAsync,2,False,False,True,True,False
setPath,2,True,True,True,True,False
route,1,True,False,True,True,False
set,1,True,True,True,True,False
get,1,True,True,True,True,False
onclick,2,True,True,True,False,False
param,1,False,True,True,True,False
exports,1,True,False,True,True,False
loop,1,True,False,True,True,False
waitCycles,2,True,True,True,True,False
lock,1,True,True,True,True,False
error,1,True,False,True,True,False
Cmp,1,False,False,True,False,False
lpad,2,True,False,False,False,False
formatElapsed,2,True,True,True,True,False
getElapsedClassName,4,True,True,True,True,False
countClassName,3,True,True,True,True,False
updateQuery,2,True,True,True,True,False
cleanQuery,2,True,True,True,True,False
generateRow,2,True,True,True,True,False
getData,2,True,True,True,True,False
mutations,1,True,False,True,True,False
updateGraph,2,True,True,True,True,False
bytesToSize,3,True,False,True,True,False
MemoryStats,2,True,False,True,False,False
update,1,True,True,True,True,False
rAFloop,3,False,False,False,False,False
RenderRate,2,True,True,True,False,False
update,1,True,True,True,True,False
loadThreads,2,True,False,True,True,False
loadThread,2,True,False,True,True,False
unloadThread,2,True,False,True,True,False
createThread,2,True,True,True,True,False
showReplying,3,True,True,True,False,False
submitComment,2,True,True,True,True,False
m,1,True,True,False,True,False
m,1,True,True,False,True,False
Vnode,2,True,False,False,False,False
normalize,1,True,True,True,True,False
normalizeChildren,2,True,True,True,True,False
hyperscriptVnode,4,True,True,False,False,False
isEmpty,2,True,False,True,True,False
compileSelector,2,True,False,True,True,False
execSelector,2,True,True,True,True,False
hyperscript,2,True,True,True,False,False
trust,1,True,False,True,True,False
fragment,1,True,False,True,True,False
getNameSpace,3,True,True,True,True,False
checkState,2,True,True,True,True,False
callHook,2,True,True,True,True,False
activeElement,2,True,False,True,True,False
createNodes,2,True,True,True,True,False
createNode,2,True,True,True,True,False
createText,2,True,True,True,True,False
createHTML,2,False,True,True,True,False
createFragment,2,True,True,True,True,False
createElement,2,True,True,True,True,False
initComponent,2,False,False,True,True,False
createComponent,2,True,True,True,True,False
updateNodes,2,True,True,True,True,False
updateNode,2,True,True,True,True,False
updateText,2,True,True,True,True,False
updateHTML,2,False,True,True,True,False
updateFragment,2,True,True,True,True,False
updateElement,2,True,True,True,True,False
updateComponent,2,True,True,True,True,False
getKeyMap,3,True,True,True,True,False
makeLisIndices,3,False,True,True,True,False
getNextSibling,3,True,True,True,True,False
moveNodes,2,True,True,True,True,False
moveChildToFrag,4,True,True,True,True,False
insertNode,2,True,False,True,True,False
maybeSetContentEditable,4,True,True,True,True,False
removeNodes,2,True,True,True,True,False
next,1,True,False,True,True,False
next,1,True,False,True,True,False
reallyRemove,2,True,True,True,True,False
removeNode,2,True,True,True,True,False
removeHTML,2,False,True,True,True,False
removeChild,2,True,True,True,True,False
onremove,2,True,True,True,False,False
setAttrs,2,False,True,True,True,False
setAttr,2,False,True,True,True,False
removeAttr,2,False,True,True,True,False
setLateSelectAttrs,4,False,True,True,True,False
updateAttrs,2,False,True,True,True,False
isFormAttribute,3,True,True,True,True,False
isLifecycleMethod,3,True,False,True,True,False
hasPropertyKey,3,True,True,True,True,False
toLowerCase,3,True,False,True,True,False
normalizeKey,2,True,True,True,True,False
updateStyle,2,True,True,True,True,False
EventDict,2,True,True,True,False,False
handleEvent,2,True,True,True,True,False
updateEvent,2,True,True,True,True,False
initLifecycle,2,False,False,True,True,False
updateLifecycle,2,True,True,True,True,False
shouldNotUpdate,3,True,True,True,True,False
_11,1,True,False,True,False,False
sync,1,True,False,True,True,False
redraw,1,True,False,True,True,False
mount,1,True,True,True,True,False
_14,1,True,False,True,False,False
destructure,1,False,False,True,True,False
buildQueryString,3,True,True,True,True,False
buildPathname,3,True,True,True,False,False
PromiseProxy,2,True,True,True,False,False
abort,1,True,False,True,True,False
completeErrorResponse,3,True,False,True,True,False
onreadystatechange,4,True,True,True,False,False
ontimeout,2,True,False,True,False,False
abort,1,True,False,True,True,False
fetch,1,True,True,True,True,False
hasHeader,2,True,True,True,True,False
complete,1,True,False,True,True,False
then,1,True,False,True,True,False
wrap,1,True,True,True,True,False
_17,1,True,False,True,False,False
m,1,True,True,False,True,False
m,1,True,True,False,True,False
decodeURIComponentSave0,5,False,True,False,False,False
parseQueryString,3,True,True,True,True,False
parsePathname,3,True,True,True,False,False
compileTemplate,2,True,False,True,True,False
censor,1,True,False,True,True,False
decodeURIComponentSave,4,False,True,True,True,False
reject,1,True,True,True,True,False
loop,1,True,False,True,True,False
resolveRoute,2,True,True,True,True,False
fireAsync,2,False,False,True,True,False
setPath,2,True,True,True,True,False
route,1,True,False,True,True,False
set,1,True,True,True,True,False
get,1,True,True,True,True,False
onclick,2,True,True,True,False,False
param,1,False,True,True,True,False
_26,1,True,False,True,False,False
e,1,True,False,False,True,False
normalize,1,True,True,True,True,False
normalizeChildren,2,True,True,True,True,False
t,1,True,False,False,True,False
l,1,True,False,False,True,False
i,1,True,False,False,True,False
trust,1,True,False,True,True,False
fragment,1,True,False,True,True,False
l,1,True,False,False,True,False
i,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
c,1,True,False,False,True,False
d,1,True,False,False,True,False
p,1,True,False,False,True,False
h,1,True,False,False,True,False
v,1,True,False,False,True,False
y,1,True,False,False,True,False
e,1,True,False,False,True,False
g,1,True,False,False,True,False
w,1,True,False,False,True,False
b,1,True,False,False,True,False
k,1,True,False,False,True,False
u,1,True,False,False,True,False
c,1,True,False,False,True,False
x,1,True,True,False,True,False
S,1,True,False,False,False,False
E,1,True,False,False,False,False
z,1,True,False,False,True,False
A,1,True,False,False,False,False
j,1,True,False,False,True,False
C,1,True,False,False,False,False
O,1,True,False,False,False,False
L,1,True,False,False,False,False
I,1,True,False,False,False,False
R,1,True,True,False,False,False
P,1,True,False,False,False,False
D,1,True,False,False,False,False
handleEvent,2,True,True,True,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
r,1,True,False,False,True,False
u,1,True,False,False,True,False
f,1,True,False,False,True,False
r,1,True,False,False,True,False
o,1,True,False,False,True,False
abort,1,True,False,True,True,False
u,1,True,False,False,True,False
onreadystatechange,4,True,True,True,False,False
ontimeout,2,True,False,True,False,False
abort,1,True,False,True,True,False
u,1,True,False,False,True,False
then,1,True,False,True,True,False
e,1,True,False,False,True,False
h,1,True,False,False,True,False
m,1,True,True,False,True,False
y,1,True,False,False,True,False
g,1,True,False,False,True,False
w,1,True,False,False,True,False
k,1,True,False,False,True,False
S,1,True,False,False,False,False
h,1,True,False,False,True,False
e,1,True,False,False,True,False
z,1,True,False,False,True,False
A,1,True,False,False,False,False
j,1,True,False,False,True,False
C,1,True,False,False,False,False
set,1,True,True,True,True,False
get,1,True,True,True,True,False
onclick,2,True,True,True,False,False
param,1,False,True,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
test,1,True,False,True,True,False
requestAnimationFrame,3,True,False,True,True,False
cycleRoot,2,True,True,True,True,False
get,1,True,True,True,True,False
app,1,True,False,True,True,False
onload,2,True,False,True,False,False
destructure,1,False,False,True,True,False
exports,1,True,False,True,True,False
decodeURIComponentSave,4,False,True,True,True,False
exports,1,True,False,True,True,False
domFor,2,False,False,True,True,False
exports,1,True,False,True,True,False
isEmpty,2,True,False,True,True,False
compileSelector,2,True,False,True,True,False
execSelector,2,True,True,True,True,False
hyperscript,2,True,True,True,False,False
exports,1,True,False,True,True,False
getNameSpace,3,True,True,True,True,False
checkState,2,True,True,True,True,False
callHook,2,True,True,True,True,False
activeElement,2,True,False,True,True,False
createNodes,2,True,True,True,True,False
createNode,2,True,True,True,True,False
createText,2,True,True,True,True,False
createHTML,2,False,True,True,True,False
createFragment,2,True,True,True,True,False
createElement,2,True,True,True,True,False
