Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
sync,sync,True,NOUN,4
redraw,redraw,True,PROPN,6
mount,mount,True,VERB,5
exports,exports,True,NOUN,7
decodeURIComponentSave,decode,True,PROPN,6
decodeURIComponentSave,URI,False,PROPN,3
decodeURIComponentSave,Component,True,NOUN,9
decodeURIComponentSave,Save,True,VERB,4
reject,reject,True,VERB,6
loop,loop,True,NOUN,4
resolveRoute,resolve,True,VERB,7
resolveRoute,Route,True,NOUN,5
fireAsync,fire,True,NOUN,4
fireAsync,Async,False,PROPN,5
setPath,set,True,VERB,3
setPath,Path,True,NOUN,4
route,route,True,NOUN,5
set,set,True,VERB,3
get,get,True,VERB,3
onclick,on,True,ADP,2
onclick,click,True,VERB,5
param,param,False,VERB,5
exports,exports,True,NOUN,7
loop,loop,True,NOUN,4
waitCycles,wait,True,VERB,4
waitCycles,Cycles,True,NOUN,6
lock,lock,True,VERB,4
error,error,True,NOUN,5
Cmp,Cmp,False,NOUN,3
lpad,l,True,NOUN,1
lpad,pad,True,NOUN,3
formatElapsed,format,True,NOUN,6
formatElapsed,Elapsed,True,VERB,7
getElapsedClassName,get,True,VERB,3
getElapsedClassName,Elapsed,True,VERB,7
getElapsedClassName,Class,True,NOUN,5
getElapsedClassName,Name,True,NOUN,4
countClassName,count,True,VERB,5
countClassName,Class,True,NOUN,5
countClassName,Name,True,NOUN,4
updateQuery,update,True,VERB,6
updateQuery,Query,True,NOUN,5
cleanQuery,clean,True,VERB,5
cleanQuery,Query,True,NOUN,5
generateRow,generate,True,VERB,8
generateRow,Row,True,NOUN,3
getData,get,True,VERB,3
getData,Data,True,NOUN,4
mutations,mutations,True,NOUN,9
updateGraph,update,True,VERB,6
updateGraph,Graph,True,NOUN,5
bytesToSize,bytes,True,NOUN,5
bytesToSize,To,True,PART,2
bytesToSize,Size,True,NOUN,4
MemoryStats,Memory,True,NOUN,6
MemoryStats,Stats,True,NOUN,5
update,update,True,VERB,6
rAFloop,r,True,X,1
rAFloop,AF,True,PROPN,2
rAFloop,loop,True,NOUN,4
RenderRate,Render,True,PROPN,6
RenderRate,Rate,True,VERB,4
update,update,True,VERB,6
loadThreads,load,True,NOUN,4
loadThreads,Threads,True,NOUN,7
loadThread,load,True,NOUN,4
loadThread,Thread,True,PROPN,6
unloadThread,unload,True,NOUN,6
unloadThread,Thread,True,PROPN,6
createThread,create,True,VERB,6
createThread,Thread,True,PROPN,6
showReplying,show,True,VERB,4
showReplying,Rep,True,PROPN,3
showReplying,lying,True,VERB,5
submitComment,submit,True,VERB,6
submitComment,Comment,True,NOUN,7
m,m,True,VERB,1
m,m,True,VERB,1
Vnode,V,True,NOUN,1
Vnode,node,True,PROPN,4
normalize,normalize,True,VERB,9
normalizeChildren,normalize,True,VERB,9
normalizeChildren,Children,True,NOUN,8
hyperscriptVnode,hyper,True,VERB,5
hyperscriptVnode,script,True,NOUN,6
hyperscriptVnode,V,True,NOUN,1
hyperscriptVnode,node,True,PROPN,4
isEmpty,is,True,AUX,2
isEmpty,Empty,True,ADJ,5
compileSelector,compile,True,NOUN,7
compileSelector,Selector,True,NOUN,8
execSelector,exec,True,VERB,4
execSelector,Selector,True,NOUN,8
hyperscript,hyper,True,VERB,5
hyperscript,script,True,NOUN,6
trust,trust,True,NOUN,5
fragment,fragment,True,NOUN,8
getNameSpace,get,True,VERB,3
getNameSpace,Name,True,NOUN,4
getNameSpace,Space,True,NOUN,5
checkState,check,True,VERB,5
checkState,State,True,NOUN,5
callHook,call,True,VERB,4
callHook,Hook,True,VERB,4
activeElement,active,True,ADJ,6
activeElement,Element,True,NOUN,7
createNodes,create,True,VERB,6
createNodes,Nodes,True,NOUN,5
createNode,create,True,VERB,6
createNode,Node,True,NOUN,4
createText,create,True,VERB,6
createText,Text,True,NOUN,4
createHTML,create,True,VERB,6
createHTML,HTML,True,NOUN,4
createFragment,create,True,VERB,6
createFragment,Fragment,True,ADJ,8
createElement,create,True,VERB,6
createElement,Element,True,NOUN,7
initComponent,init,True,PROPN,4
initComponent,Component,True,NOUN,9
createComponent,create,True,VERB,6
createComponent,Component,True,NOUN,9
updateNodes,update,True,VERB,6
updateNodes,Nodes,True,NOUN,5
updateNode,update,True,VERB,6
updateNode,Node,True,NOUN,4
updateText,update,True,VERB,6
updateText,Text,True,NOUN,4
updateHTML,update,True,VERB,6
updateHTML,HTML,True,NOUN,4
updateFragment,update,True,VERB,6
updateFragment,Fragment,True,ADJ,8
updateElement,update,True,VERB,6
updateElement,Element,True,NOUN,7
updateComponent,update,True,VERB,6
updateComponent,Component,True,NOUN,9
getKeyMap,get,True,VERB,3
getKeyMap,Key,True,ADJ,3
getKeyMap,Map,True,PROPN,3
makeLisIndices,make,True,VERB,4
makeLisIndices,Lis,True,INTJ,3
makeLisIndices,Indices,True,NOUN,7
getNextSibling,get,True,VERB,3
getNextSibling,Next,True,ADV,4
getNextSibling,Sibling,True,VERB,7
moveNodes,move,True,VERB,4
moveNodes,Nodes,True,NOUN,5
moveChildToFrag,move,True,VERB,4
moveChildToFrag,Child,True,NOUN,5
moveChildToFrag,To,True,PART,2
moveChildToFrag,Frag,True,NOUN,4
insertNode,insert,True,ADJ,6
insertNode,Node,True,NOUN,4
maybeSetContentEditable,maybe,True,ADV,5
maybeSetContentEditable,Set,True,VERB,3
maybeSetContentEditable,Content,True,NOUN,7
maybeSetContentEditable,Editable,True,ADJ,8
removeNodes,remove,True,VERB,6
