Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
initNavToggles,3,False,False,True,True,False
highlightLowerTab,3,True,True,True,True,False
toggleNav,2,True,False,True,True,False
highlightActiveNavElement,4,True,True,True,True,False
expandPathAndHighlight,4,True,True,True,True,False
collapseBanner,2,True,False,True,True,False
getCookieValue,3,True,True,True,True,False
initLangSelector,3,False,False,True,True,False
initYouTubeVideos,4,False,False,True,True,False
initFeed,2,False,False,True,True,False
initExpandable,2,False,False,True,True,False
initDevSite,3,False,False,True,True,False
init,1,False,False,True,True,False
ca,1,True,False,True,True,False
ia,1,True,False,True,True,False
ha,1,True,False,True,True,False
ja,1,False,False,True,True,False
ka,1,False,False,True,True,False
la,1,True,False,True,True,False
k,1,True,False,False,True,False
next,1,True,False,True,True,False
ma,1,True,False,True,True,False
na,1,True,False,True,True,False
b,1,True,False,False,True,False
a,1,True,False,False,True,False
c,1,True,False,False,True,False
f,1,True,False,False,True,False
set,1,True,True,True,True,False
get,1,True,True,True,True,False
has,1,True,True,True,True,False
c,1,True,False,False,True,False
set,1,True,True,True,True,False
clear,1,True,False,True,True,False
has,1,True,True,True,True,False
get,1,True,True,True,True,False
entries,1,True,False,True,True,False
keys,1,True,False,True,True,False
values,1,True,False,True,True,False
forEach,2,True,False,True,True,False
d,1,True,False,False,True,False
e,1,True,False,False,True,False
f,1,True,False,False,True,False
b,1,True,False,False,True,False
c,1,True,False,False,True,False
Qe,1,False,False,True,False,False
Eh,1,True,False,True,False,False
Re,1,True,False,True,False,False
Zh,1,False,True,True,False,False
Fh,1,False,False,True,False,False
e,1,True,False,False,True,False
a,1,True,False,False,True,False
Ad,1,True,False,True,False,False
Oi,1,True,False,True,False,False
Ni,1,True,False,True,False,False
Rd,1,True,True,True,False,False
ef,1,False,True,True,True,False
Ef,1,False,True,True,False,False
$h,1,True,False,False,True,False
Vi,1,True,False,True,False,False
Wi,1,False,False,True,False,False
c,1,True,False,False,True,False
then,1,True,False,True,True,False
c,1,True,False,False,True,False
Fc,1,False,False,True,False,False
reject,1,True,True,True,True,False
race,1,True,False,True,True,False
f,1,True,False,False,True,False
all,1,True,False,True,True,False
b,1,True,False,False,True,False
a,1,True,False,False,True,False
a,1,True,False,False,True,False
q,1,True,False,False,True,False
r,1,True,False,False,True,False
v,1,True,False,False,True,False
y,1,True,False,False,True,False
za,1,False,False,True,True,False
wb,1,False,False,True,True,False
Aa,1,False,False,True,False,False
Ba,1,True,True,True,False,False
A,1,True,False,False,False,False
Ca,1,True,False,True,False,False
Da,1,False,True,True,False,False
Ea,1,True,False,True,False,False
Ha,1,True,False,True,False,False
Ia,1,True,False,True,False,False
Ja,1,False,False,True,False,False
B,1,True,False,False,False,False
Ka,1,False,False,True,False,False
D,1,True,False,False,False,False
c,1,True,False,False,True,False
vv,1,False,False,True,True,False
E,1,True,False,False,False,False
Oa,1,False,False,True,False,False
Qa,1,False,True,True,False,False
Ra,1,True,True,True,False,False
Sa,1,False,False,True,False,False
Ua,1,False,False,True,False,False
Va,1,True,False,True,False,False
Wa,1,False,False,True,False,False
Ya,1,True,True,True,False,False
Za,1,False,False,True,False,False
ab,1,True,False,True,True,False
cb,1,True,False,True,True,False
db,1,True,True,True,True,False
F,1,True,False,False,False,False
eb,1,False,False,True,True,False
fb,1,False,False,True,True,False
gb,1,False,True,True,True,False
hb,1,False,False,True,True,False
ib,1,False,False,True,True,False
jb,1,False,False,True,True,False
kb,1,True,False,True,True,False
mb,1,True,True,True,True,False
lb,1,True,False,True,True,False
rb,1,True,True,True,True,False
sb,1,True,False,True,True,False
tb,1,True,False,True,True,False
ub,1,False,False,True,True,False
vb,1,True,False,True,True,False
xb,1,False,False,True,True,False
wb,1,False,False,True,True,False
yb,1,True,False,True,True,False
zb,1,False,True,True,True,False
Ab,1,True,True,True,False,False
Bb,1,False,True,True,False,False
Kb,1,True,True,True,False,False
Ob,1,True,False,True,False,False
Mb,1,True,True,True,False,False
Nb,1,True,False,True,False,False
Lb,1,True,True,True,False,False
Qb,1,False,False,True,False,False
Rb,1,True,True,True,False,False
Tb,1,True,False,True,False,False
Sb,1,True,False,True,False,False
Ub,1,False,False,True,False,False
Vb,1,True,False,True,False,False
H,1,True,False,False,False,False
$b,1,True,False,False,True,False
Zb,1,False,False,True,False,False
ac,1,True,False,True,True,False
bc,1,True,True,True,True,False
cc,1,True,False,True,True,False
dc,1,True,True,True,True,False
ec,1,False,False,True,True,False
fc,1,False,True,True,True,False
ne,1,True,False,True,True,False
hi,1,True,True,True,True,False
Cv,1,False,False,True,False,False
Po,1,True,False,True,False,False
Hn,1,False,False,True,False,False
No,1,True,False,True,False,False
To,1,True,False,True,False,False
Ze,1,False,False,True,False,False
Wn,1,False,False,True,False,False
Ek,1,False,False,True,False,False
compare,1,True,True,True,True,False
La,1,True,True,True,False,False
Lb,1,True,True,True,False,False
nc,1,False,False,True,True,False
oc,1,False,True,True,True,False
qc,1,False,False,True,True,False
uc,1,False,False,True,True,False
yb,1,True,False,True,True,False
toString,2,True,False,True,True,False
vc,1,False,False,True,True,False
xc,1,False,False,True,True,False
yb,1,True,False,True,True,False
Hd,1,False,False,True,False,False
toString,2,True,False,True,True,False
yc,1,False,False,True,True,False
Ac,1,True,False,True,False,False
yb,1,True,False,True,True,False
Hd,1,False,False,True,False,False
toString,2,True,False,True,True,False
Bc,1,True,False,True,False,False
Ec,1,False,False,True,False,False
Dc,1,True,False,True,False,False
Gc,1,False,False,True,False,False
yb,1,True,False,True,True,False
toString,2,True,False,True,True,False
Hc,1,False,True,True,False,False
Rc,1,False,False,True,False,False
Kc,1,True,False,True,False,False
Jc,1,False,False,True,False,False
Lc,1,False,False,True,False,False
Qc,1,False,False,True,False,False
Rc,1,False,False,True,False,False
Tc,1,True,True,True,False,False
Uc,1,False,False,True,False,False
c,1,True,False,False,True,False
Wc,1,False,True,True,False,False
yb,1,True,False,True,True,False
toString,2,True,False,True,True,False
Vc,1,False,True,True,False,False
Rc,1,False,False,True,False,False
Zc,1,False,False,True,False,False
Hd,1,False,False,True,False,False
yb,1,True,False,True,True,False
toString,2,True,False,True,True,False
$c,1,True,False,False,True,False
bd,1,False,True,True,True,False
cd,1,True,False,True,True,False
hd,1,False,True,True,True,False
d,1,True,False,False,True,False
gd,1,True,False,True,True,False
ad,1,True,False,True,True,False
Rc,1,False,False,True,False,False
md,1,True,False,True,True,False
nd,1,True,False,True,True,False
od,1,False,False,True,True,False
pd,1,True,False,True,True,False
K,1,True,False,False,False,False
clone,1,True,True,True,True,False
toString,2,True,False,True,True,False
kg,1,True,False,True,True,False
qd,1,False,False,True,True,False
rd,1,True,True,True,True,False
ceil,1,False,False,True,True,False
floor,1,True,False,True,True,False
round,1,True,False,True,True,False
translate,1,True,True,True,True,False
scale,1,True,False,True,True,False
sd,1,False,True,True,True,False
clone,1,True,True,True,True,False
toString,2,True,False,True,True,False
hn,1,False,False,True,True,False
aspectRatio,2,True,False,True,True,False
Ld,1,False,False,True,False,False
ceil,1,False,False,True,True,False
floor,1,True,False,True,True,False
round,1,True,False,True,True,False
scale,1,True,False,True,True,False
vd,1,False,False,True,True,False
xd,1,False,False,True,True,False
wd,1,False,True,True,True,False
zd,1,False,True,True,True,False
Bd,1,False,False,True,False,False
Cd,1,True,False,True,False,False
Fd,1,False,False,True,False,False
Dd,1,True,False,True,False,False
Ed,1,True,False,True,False,False
Hd,1,False,False,True,False,False
Gd,1,True,False,True,False,False
e,1,True,False,False,True,False
Id,1,False,False,True,False,False
Ld,1,False,False,True,False,False
Kd,1,False,False,True,False,False
Ad,1,True,False,True,False,False
Md,1,True,False,True,False,False
Nd,1,True,False,True,False,False
Pd,1,True,False,True,False,False
Od,1,False,True,True,False,False
Qd,1,False,True,True,False,False
ud,1,False,True,True,True,False
Rd,1,True,True,True,False,False
Wd,1,False,True,True,False,False
Xd,1,False,False,True,False,False
Ud,1,False,True,True,False,False
Vd,1,False,False,True,False,False
Zd,1,False,False,True,False,False
Yd,1,True,True,True,False,False
Jd,1,False,False,True,False,False
ae,1,False,False,True,True,False
be,1,True,False,True,True,False
$d,1,True,False,False,True,False
td,1,False,False,True,True,False
g,1,True,False,False,True,False
getElementsByTagName,5,True,True,True,True,False
ua,1,False,False,True,True,False
createElement,2,True,True,True,True,False
createTextNode,3,True,True,True,True,False
appendChild,2,True,True,True,True,False
append,1,True,True,True,True,False
canHaveChildren,3,True,True,True,True,False
Dk,1,False,False,True,False,False
isWindow,2,True,False,True,True,False
ld,1,False,False,True,True,False
de,1,False,False,True,True,False
fe,1,True,False,True,True,False
ge,1,True,False,True,True,False
ee,1,False,False,True,True,False
he,1,True,False,True,True,False
Hb,1,False,False,True,False,False
ie,1,False,False,True,True,False
ra,1,True,False,True,True,False
je,1,False,False,True,True,False
ke,1,False,True,True,True,False
stopPropagation,2,True,True,True,True,False
preventDefault,2,True,True,True,True,False
te,1,True,False,True,True,False
xe,1,True,False,True,True,False
kd,1,False,False,True,True,False
Ae,1,False,False,True,False,False
stopPropagation,2,True,True,True,True,False
preventDefault,2,True,True,True,True,False
Ce,1,True,True,True,False,False
Ee,1,False,False,True,False,False
Fe,1,True,False,True,False,False
Ge,1,True,False,True,False,False
add,1,True,True,True,True,False
remove,1,True,True,True,True,False
Ie,1,False,True,True,False,False
Ce,1,True,True,True,False,False
og,1,False,False,True,True,False
ff,1,True,False,True,True,False
hasListener,2,True,True,True,True,False
He,1,True,False,True,False,False
L,1,True,False,False,False,False
Oe,1,False,False,True,False,False
Qe,1,False,False,True,False,False
Me,1,True,False,True,False,False
Te,1,True,False,True,False,False
Ue,1,False,False,True,False,False
Ve,1,True,True,True,False,False
We,1,True,False,True,False,False
Re,1,True,False,True,False,False
Ye,1,True,False,True,False,False
Xe,1,True,True,True,False,False
Se,1,True,False,True,False,False
Pe,1,False,False,True,False,False
Ze,1,False,False,True,False,False
Ne,1,True,False,True,False,False
M,1,True,False,False,False,False
qg,1,False,False,True,True,False
Ui,1,False,True,True,False,False
addEventListener,3,True,True,True,True,False
removeEventListener,3,True,True,True,True,False
dispatchEvent,2,True,True,True,True,False
ra,1,True,False,True,True,False
T,1,True,False,False,False,False
Ci,1,True,False,True,False,False
tb,1,True,False,True,True,False
af,1,False,False,True,True,False
og,1,False,False,True,True,False
ff,1,True,False,True,True,False
hasListener,2,True,True,True,True,False
$e,1,True,False,False,True,False
bf,1,True,False,True,True,False
get,1,True,True,True,True,False
put,1,True,True,True,True,False
cf,1,True,True,True,True,False
onmessage,2,True,False,True,False,False
onreadystatechange,4,True,True,True,False,False
ef,1,False,True,True,True,False
ff,1,True,False,True,True,False
add,1,True,True,True,True,False
remove,1,True,True,True,True,False
gf,1,False,True,True,True,False
set,1,True,True,True,True,False
reset,1,True,True,True,True,False
nf,1,False,True,True,True,False
kf,1,False,False,True,True,False
of,1,True,False,True,True,False
rf,1,True,False,True,True,False
sf,1,True,False,True,True,False
reset,1,True,True,True,True,False
uf,1,False,False,True,True,False
vf,1,False,False,True,True,False
xf,1,False,False,True,True,False
then,1,True,False,True,True,False
cancel,1,True,True,True,True,False
zf,1,False,False,True,True,False
Df,1,False,False,True,False,False
yf,1,False,False,True,True,False
Zp,1,False,False,True,False,False
$p,1,True,False,False,True,False
pf,1,True,True,True,True,False
g,1,True,False,False,True,False
l,1,True,False,False,True,False
Ef,1,False,True,True,False,False
Cf,1,True,False,True,False,False
Af,1,False,False,True,False,False
Pn,1,False,False,True,False,False
Bf,1,True,True,True,False,False
Gf,1,False,False,True,False,False
Ff,1,True,False,True,False,False
qf,1,False,True,True,True,False
wf,1,False,False,True,True,False
If,1,True,False,True,False,False
Jf,1,False,False,True,False,False
ra,1,True,False,True,True,False
start,1,True,True,True,True,False
stop,1,True,True,True,True,False
fire,1,True,False,True,True,False
Yb,1,True,False,True,False,False
jk,1,False,False,True,True,False
Kf,1,False,False,True,False,False
Lf,1,False,False,True,False,False
Mf,1,False,True,True,False,False
Nf,1,False,True,True,False,False
Of,1,True,False,True,False,False
Pf,1,True,False,True,False,False
Qf,1,False,False,True,False,False
Sf,1,True,True,True,False,False
Tf,1,False,False,True,False,False
T,1,True,False,False,False,False
Ci,1,True,False,True,False,False
Vf,1,False,False,True,False,False
tb,1,True,False,True,True,False
Ce,1,True,True,True,False,False
ra,1,True,False,True,True,False
handleEvent,2,True,True,True,True,False
Yf,1,False,False,True,False,False
Zf,1,False,False,True,False,False
clone,1,True,True,True,True,False
toString,2,True,False,True,True,False
contains,1,True,True,True,True,False
expand,1,True,True,True,True,False
ceil,1,False,False,True,True,False
floor,1,True,False,True,True,False
round,1,True,False,True,True,False
translate,1,True,True,True,True,False
scale,1,True,False,True,True,False
$f,1,True,False,False,True,False
clone,1,True,True,True,True,False
toString,2,True,False,True,True,False
contains,1,True,True,True,True,False
ceil,1,False,False,True,True,False
floor,1,True,False,True,True,False
round,1,True,False,True,True,False
translate,1,True,True,True,True,False
scale,1,True,False,True,True,False
ag,1,True,False,True,True,False
bg,1,False,True,True,True,False
dg,1,False,True,True,True,False
eg,1,False,False,True,True,False
fg,1,False,True,True,True,False
hg,1,True,False,True,True,False
gg,1,False,False,True,True,False
jg,1,True,False,True,True,False
kg,1,True,False,True,True,False
ig,1,False,False,True,True,False
cg,1,True,False,True,True,False
mg,1,True,False,True,True,False
lg,1,True,False,True,True,False
ng,1,False,False,True,True,False
og,1,False,False,True,True,False
pg,1,True,False,True,True,False
rg,1,False,True,True,True,False
sg,1,False,False,True,True,False
tg,1,False,False,True,True,False
vg,1,False,True,True,True,False
wg,1,False,False,True,True,False
xg,1,False,True,True,True,False
Ze,1,False,False,True,False,False
zg,1,False,False,True,True,False
