Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
Lexer,1,True,False,True,False,False
lex,1,False,False,True,True,False
lex,1,False,False,True,True,False
token,1,True,True,True,True,False
InlineLexer,2,True,False,True,False,False
output,1,True,False,True,True,False
output,1,True,False,True,True,False
outputLink,2,True,False,True,True,False
smartypants,1,True,False,True,True,False
mangle,1,True,True,True,True,False
Renderer,1,True,False,True,False,False
code,1,True,False,True,True,False
blockquote,2,True,True,True,False,False
html,1,False,False,True,True,False
heading,1,True,True,True,True,False
hr,1,True,False,True,True,False
list,1,True,False,True,True,False
listitem,2,True,False,True,False,False
paragraph,1,True,False,True,True,False
table,1,True,False,True,True,False
tablerow,2,True,True,True,False,False
tablecell,2,True,False,True,False,False
strong,1,True,False,True,True,False
em,1,True,False,True,True,False
codespan,2,True,False,True,False,False
br,1,True,True,True,True,False
del,1,True,True,True,True,False
link,1,True,True,True,True,False
image,1,True,False,True,True,False
Parser,1,True,False,True,False,False
parse,1,True,True,True,True,False
parse,1,True,True,True,True,False
next,1,True,False,True,True,False
peek,1,True,True,True,True,False
parseText,2,True,True,True,True,False
tok,1,False,False,True,True,False
escape,1,True,True,True,True,False
unescape,1,True,False,True,True,False
self,1,True,False,True,True,False
replace,1,True,True,True,True,False
noop,1,False,False,True,True,False
merge,1,True,True,True,True,False
done,1,True,True,True,True,False
marked,1,True,True,True,True,False
setOptions,2,True,True,True,True,False
setHeader,2,True,True,True,True,False
log,1,True,True,True,True,False
keys,1,True,False,True,True,False
forEach,2,True,False,True,True,False
trim,1,True,True,True,True,False
load,1,True,False,True,True,False
escape,1,True,True,True,True,False
addConfig,2,True,True,True,True,False
getHash,2,True,True,True,True,False
initialize,1,True,False,True,True,False
init_sidebar_section,3,False,False,True,False,True
init_searchbar,3,False,False,True,False,False
searchbar_listener,3,True,False,True,False,False
init_wwads,3,False,False,True,False,False
init_theme_button,3,False,False,True,False,True
init_back_to_top_button,5,False,False,True,False,True
changeTheme,2,True,True,True,True,False
goTop,2,True,True,True,True,False
