Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
Lexer,Lexer,True,PROPN,5
lex,lex,True,PROPN,3
lex,lex,True,PROPN,3
token,token,True,VERB,5
InlineLexer,Inline,True,PROPN,6
InlineLexer,Lexer,True,PROPN,5
output,output,True,NOUN,6
output,output,True,NOUN,6
outputLink,output,True,NOUN,6
outputLink,Link,True,NOUN,4
smartypants,smartypants,True,NOUN,11
mangle,mangle,True,VERB,6
Renderer,Renderer,True,NOUN,8
code,code,True,NOUN,4
blockquote,block,True,VERB,5
blockquote,quote,True,INTJ,5
html,html,False,NOUN,4
heading,heading,True,VERB,7
hr,hr,True,NOUN,2
list,list,True,NOUN,4
listitem,list,True,NOUN,4
listitem,item,True,NOUN,4
paragraph,paragraph,True,NOUN,9
table,table,True,NOUN,5
tablerow,table,True,NOUN,5
tablerow,row,True,VERB,3
tablecell,table,True,NOUN,5
tablecell,cell,True,NOUN,4
strong,strong,True,ADJ,6
em,em,True,PRON,2
codespan,code,True,NOUN,4
codespan,span,True,NOUN,4
br,br,True,VERB,2
del,del,True,VERB,3
link,link,True,VERB,4
image,image,True,NOUN,5
Parser,Parser,True,PROPN,6
parse,parse,True,VERB,5
parse,parse,True,VERB,5
next,next,True,ADV,4
peek,peek,True,VERB,4
parseText,parse,True,VERB,5
parseText,Text,True,NOUN,4
tok,tok,False,NOUN,3
escape,escape,True,VERB,6
unescape,unescape,False,NOUN,8
self,self,True,NOUN,4
replace,replace,True,VERB,7
noop,noop,False,NOUN,4
merge,merge,True,VERB,5
done,done,True,VERB,4
marked,marked,True,VERB,6
setOptions,set,True,VERB,3
setOptions,Options,True,NOUN,7
setHeader,set,True,VERB,3
setHeader,Header,True,NOUN,6
log,log,True,VERB,3
keys,keys,True,NOUN,4
forEach,for,True,ADP,3
forEach,Each,True,PRON,4
trim,trim,True,VERB,4
load,load,True,NOUN,4
escape,escape,True,VERB,6
addConfig,add,True,VERB,3
addConfig,Config,False,PROPN,6
getHash,get,True,VERB,3
getHash,Hash,True,VERB,4
initialize,initialize,True,NOUN,10
init_sidebar_section,init,True,PROPN,4
init_sidebar_section,sidebar,True,NOUN,7
init_sidebar_section,section,True,NOUN,7
init_searchbar,init,True,PROPN,4
init_searchbar,search,True,NOUN,6
init_searchbar,bar,True,NOUN,3
searchbar_listener,search,True,NOUN,6
searchbar_listener,bar,True,NOUN,3
searchbar_listener,listener,True,NOUN,8
init_wwads,init,True,PROPN,4
init_wwads,ww,False,PROPN,2
init_wwads,ads,True,NOUN,3
init_theme_button,init,True,PROPN,4
init_theme_button,theme,True,NOUN,5
init_theme_button,button,True,PROPN,6
init_back_to_top_button,init,True,PROPN,4
init_back_to_top_button,back,True,ADV,4
init_back_to_top_button,to,True,PART,2
init_back_to_top_button,top,True,ADJ,3
init_back_to_top_button,button,True,PROPN,6
changeTheme,change,True,VERB,6
changeTheme,Theme,True,NOUN,5
goTop,go,True,VERB,2
goTop,Top,True,ADJ,3
goSection,go,True,VERB,2
goSection,Section,True,NOUN,7
init_edit_button,init,True,PROPN,4
init_edit_button,edit,True,VERB,4
init_edit_button,button,True,PROPN,6
replace_symbols,replace,True,VERB,7
replace_symbols,symbols,True,NOUN,7
li_create_linkage,li,True,PROPN,2
li_create_linkage,create,True,VERB,6
li_create_linkage,linkage,True,VERB,7
create_banner,create,True,VERB,6
create_banner,banner,True,NOUN,6
create_page_anchors,create,True,VERB,6
create_page_anchors,page,True,NOUN,4
create_page_anchors,anchors,True,NOUN,7
normalize_paths,normalize,True,VERB,9
normalize_paths,paths,True,NOUN,5
show_error,show,True,VERB,4
show_error,error,True,NOUN,5
show_loading,show,True,VERB,4
show_loading,loading,True,VERB,7
statistics,statistics,True,NOUN,10
updateProgress,update,True,VERB,6
updateProgress,Progress,True,NOUN,8
router,router,True,NOUN,6
n,n,True,CCONJ,1
r,r,True,X,1
extend,extend,True,VERB,6
s,s,True,NOUN,1
z,z,True,X,1
bb,bb,False,ADP,2
db,db,True,VERB,2
b,b,True,X,1
eb,eb,False,X,2
fb,fb,False,INTJ,2
gb,gb,False,VERB,2
hb,hb,False,PROPN,2
ib,ib,True,PROPN,2
jb,jb,False,PROPN,2
kb,kb,True,PROPN,2
lb,lb,True,ADV,2
mb,mb,True,VERB,2
isXML,is,True,AUX,2
isXML,XML,True,VERB,3
ID,ID,True,PROPN,2
ID,ID,True,PROPN,2
ID,ID,True,PROPN,2
setDocument,set,True,VERB,3
setDocument,Document,True,NOUN,8
matches,matches,True,NOUN,7
matchesSelector,matches,True,NOUN,7
matchesSelector,Selector,True,NOUN,8
contains,contains,True,VERB,8
attr,attr,False,PROPN,4
error,error,True,NOUN,5
uniqueSort,unique,True,ADJ,6
uniqueSort,Sort,True,ADV,4
getText,get,True,VERB,3
getText,Text,True,NOUN,4
nb,nb,False,ADV,2
ob,ob,True,ADP,2
pb,pb,False,INTJ,2
qb,qb,False,PROPN,2
rb,rb,False,VERB,2
sb,sb,True,PROPN,2
tb,tb,True,ADP,2
ub,ub,False,ADP,2
f,f,True,X,1
vb,vb,True,NOUN,2
compile,compile,True,NOUN,7
wb,wb,False,PROPN,2
xb,xb,False,PUNCT,2
x,x,True,VERB,1
filter,filter,True,VERB,6
init,init,True,PROPN,4
E,E,True,NOUN,1
a,a,True,PRON,1
H,H,True,NOUN,1
j,j,True,NOUN,1
f,f,True,X,1
Callbacks,Callbacks,True,NOUN,9
h,h,True,NOUN,1
ready,ready,True,ADJ,5
J,J,True,PROPN,1
K,K,True,NOUN,1
