Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
engineVersions,2,True,False,True,True,False
title,1,True,False,True,True,False
url,1,False,False,True,True,False
path,1,True,False,True,True,False
visible,1,True,False,True,True,False
exists,1,True,True,True,True,False
click,1,True,True,True,True,False
mousedown,2,True,True,True,False,False
mouseup,2,True,True,True,False,False
mouseover,2,True,True,True,False,False
mouseout,2,True,True,True,False,False
focusSelector,2,True,True,True,True,False
blurSelector,2,True,True,True,True,False
type,1,True,False,True,True,False
insert,1,True,False,True,True,False
check,1,True,True,True,True,False
uncheck,1,True,True,True,True,False
select,1,True,False,True,True,False
back,1,True,False,True,True,False
forward,1,True,False,True,True,False
refresh,1,True,True,True,True,False
wait,1,True,True,True,True,False
waitms,2,True,True,True,False,False
newDone,2,True,True,True,True,False
waitelem,2,True,True,True,False,False
waitDone,2,True,True,True,True,False
tick,1,True,True,True,True,False
waitfn,2,False,True,True,False,False
newDone,2,True,True,True,True,False
evaluate,1,True,True,True,True,False
inject,1,True,True,True,True,False
viewport,2,True,False,True,False,False
useragent,2,True,False,True,False,False
scrollTo,2,True,False,True,True,False
screenshot,1,True,False,True,True,False
html,1,False,False,True,True,False
pdf,1,False,True,True,True,False
get,1,True,True,True,True,False
set,1,True,True,True,True,False
clear,1,True,False,True,True,False
clearAll,2,True,False,True,True,False
authentication,1,True,False,True,True,False
subscribe,1,True,True,True,True,False
unsubscribe,1,True,False,True,True,False
cancelFrame,2,True,True,True,True,False
receiveFrame,2,True,True,True,True,False
requestFrame,2,True,False,True,True,False
FrameManager,2,True,False,True,False,False
emit,1,True,True,True,True,False
call,1,True,True,True,True,False
respondTo,2,True,True,True,True,False
done,1,True,True,True,True,False
progress,1,True,False,True,True,False
IPC,1,False,False,True,False,False
serializeError,2,True,True,True,True,False
unserializeError,2,False,True,True,True,False
noop,1,False,False,True,True,False
onClose,2,True,True,True,True,False
Nightmare,1,True,False,True,False,False
handleExit,2,True,True,True,True,False
endInstance,2,True,False,True,True,False
attachToProcess,3,True,True,True,True,False
detachFromProcess,3,True,False,True,True,False
header,1,True,False,True,True,False
goto,1,False,False,True,True,False
next,1,True,False,True,True,False
after,1,True,False,True,True,False
done,1,True,True,True,True,False
run,1,True,True,True,True,False
evaluate_now,2,True,True,True,False,True
_inject,1,True,True,True,True,False
end,1,True,False,True,True,False
halt,1,True,True,True,True,False
on,1,True,False,True,True,False
once,1,True,False,True,True,False
removeListener,2,True,True,True,True,False
queue,1,True,False,True,True,False
then,1,True,False,True,True,False
catch,1,True,True,True,True,False
use,1,True,True,True,True,False
action,1,True,False,True,True,False
queued,1,True,True,True,True,False
name,1,True,False,True,True,False
action,1,True,False,True,True,False
send,1,True,True,True,True,False
addEventListener,3,True,True,True,True,False
log,1,True,True,True,True,False
warn,1,True,True,True,True,False
error,1,True,False,True,True,False
alert,1,True,False,True,True,False
prompt,1,True,True,True,True,False
confirm,1,True,True,True,True,False
error,1,True,False,True,True,False
handleFailure,2,True,True,True,True,False
handleDetails,2,True,True,True,True,False
handleDomReady,3,False,True,True,True,False
handleFinish,2,True,True,True,True,False
cleanup,1,True,False,True,True,False
canLoadProtocol,3,True,False,True,True,False
startLoading,2,True,True,True,True,False
startLoad,2,True,True,True,True,False
onresponse,2,True,False,True,False,False
onerror,2,True,False,True,False,False
onlog,2,True,True,True,False,False
type,1,True,False,True,True,False
handleCapture,2,True,True,True,True,False
getCookies,2,True,True,True,True,False
isReady,2,True,False,True,True,False
setIsReady,3,True,True,True,True,False
forward,1,True,False,True,True,False
n,1,True,False,False,True,False
r,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
l,1,True,False,False,True,False
c,1,True,False,False,True,False
f,1,True,False,False,True,False
p,1,True,False,False,True,False
d,1,True,False,False,True,False
h,1,True,False,False,True,False
g,1,True,False,False,True,False
m,1,True,True,False,True,False
y,1,True,False,False,True,False
v,1,True,False,False,True,False
b,1,True,False,False,True,False
x,1,True,True,False,True,False
T,1,True,False,False,False,False
w,1,True,False,False,True,False
N,1,True,False,False,False,False
C,1,True,False,False,False,False
k,1,True,False,False,True,False
E,1,True,False,False,False,False
S,1,True,False,False,False,False
A,1,True,False,False,False,False
j,1,True,False,False,True,False
D,1,True,False,False,False,False
o,1,True,False,False,True,False
L,1,True,False,False,False,False
H,1,True,False,False,False,False
M,1,True,False,False,False,False
q,1,True,False,False,True,False
F,1,True,False,False,False,False
O,1,True,False,False,False,False
B,1,True,False,False,False,False
u,1,True,False,False,True,False
P,1,True,False,False,False,False
R,1,True,True,False,False,False
fire,1,True,False,True,True,False
W,1,True,False,False,False,False
I,1,True,False,False,False,False
z,1,True,False,False,True,False
st,1,True,False,True,True,False
bt,1,False,False,True,True,False
xt,1,False,False,True,True,False
extend,1,True,True,True,True,False
i,1,True,False,False,True,False
promise,1,True,True,True,True,False
f,1,True,False,False,True,False
r,1,True,False,False,True,False
Callbacks,1,True,False,True,False,False
l,1,True,False,False,True,False
a,1,True,False,False,True,False
stop,1,True,True,True,True,False
u,1,True,False,False,True,False
handle,1,True,True,True,True,False
Event,1,True,False,True,False,False
r,1,True,False,False,True,False
t,1,True,False,False,True,False
n,1,True,False,False,True,False
r,1,True,False,False,True,False
i,1,True,False,False,True,False
o,1,True,False,False,True,False
a,1,True,False,False,True,False
s,1,True,False,False,True,False
u,1,True,False,False,True,False
l,1,True,False,False,True,False
c,1,True,False,False,True,False
f,1,True,False,False,True,False
p,1,True,False,False,True,False
d,1,True,False,False,True,False
h,1,True,False,False,True,False
g,1,True,False,False,True,False
m,1,True,True,False,True,False
y,1,True,False,False,True,False
s,1,True,False,False,True,False
v,1,True,False,False,True,False
b,1,True,False,False,True,False
x,1,True,True,False,True,False
T,1,True,False,False,False,False
Tt,1,False,True,True,False,False
isXML,2,False,True,True,True,False
ID,1,False,False,True,False,False
ID,1,False,False,True,False,False
ID,1,False,False,True,False,False
ID,1,False,False,True,False,False
