Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
update,update,True,VERB,6
SectionAndNoteFieldText,Section,True,NOUN,7
SectionAndNoteFieldText,And,True,CCONJ,3
SectionAndNoteFieldText,Note,True,VERB,4
SectionAndNoteFieldText,Field,True,NOUN,5
SectionAndNoteFieldText,Text,True,NOUN,4
computeScore,compute,True,VERB,7
computeScore,Score,True,NOUN,5
openRoot,open,True,VERB,4
openRoot,Root,True,VERB,4
openUserProfileAtSecurityTab,open,True,VERB,4
openUserProfileAtSecurityTab,User,True,NOUN,4
openUserProfileAtSecurityTab,Profile,True,VERB,7
openUserProfileAtSecurityTab,At,True,ADP,2
openUserProfileAtSecurityTab,Security,True,NOUN,8
openUserProfileAtSecurityTab,Tab,True,VERB,3
closeProfileDialog,close,True,VERB,5
closeProfileDialog,Profile,True,VERB,7
closeProfileDialog,Dialog,True,NOUN,6
openAccountSettingsTab,open,True,VERB,4
openAccountSettingsTab,Account,True,NOUN,7
openAccountSettingsTab,Settings,True,NOUN,8
openAccountSettingsTab,Tab,True,VERB,3
onclick,on,True,ADP,2
onclick,click,True,VERB,5
fromField,from,True,ADP,4
fromField,Field,True,NOUN,5
fixupViewBody,fixup,False,PROPN,5
fixupViewBody,View,True,NOUN,4
fixupViewBody,Body,True,NOUN,4
clickOnButton,click,True,VERB,5
clickOnButton,On,True,ADP,2
clickOnButton,Button,True,PROPN,6
updatePager,update,True,VERB,6
updatePager,Pager,True,NOUN,5
isEditable,is,True,AUX,2
isEditable,Editable,True,ADJ,8
makeBarcodeInput,make,True,VERB,4
makeBarcodeInput,Barcode,False,PROPN,7
makeBarcodeInput,Input,True,NOUN,5
handleBarcode,handle,True,VERB,6
handleBarcode,Barcode,False,PROPN,7
checkBarcode,check,True,VERB,5
checkBarcode,Barcode,False,PROPN,7
keydownHandler,key,True,ADJ,3
keydownHandler,down,True,ADV,4
keydownHandler,Handler,True,NOUN,7
mobileChromeHandler,mobile,True,NOUN,6
mobileChromeHandler,Chrome,True,NOUN,6
mobileChromeHandler,Handler,True,NOUN,7
onBarcodeScanned,on,True,ADP,2
onBarcodeScanned,Barcode,False,PROPN,7
onBarcodeScanned,Scanned,True,VERB,7
_onBarcodeScanned,on,True,ADP,2
_onBarcodeScanned,Barcode,False,PROPN,7
_onBarcodeScanned,Scanned,True,VERB,7
simulateBarCode,simulate,True,VERB,8
simulateBarCode,Bar,True,VERB,3
simulateBarCode,Code,True,NOUN,4
triggerKeyDown,trigger,True,NOUN,7
triggerKeyDown,Key,True,ADJ,3
triggerKeyDown,Down,True,ADV,4
addEventListener,add,True,VERB,3
addEventListener,Event,True,NOUN,5
addEventListener,Listener,True,PROPN,8
openPreparedView,open,True,VERB,4
openPreparedView,Prepared,True,VERB,8
openPreparedView,View,True,NOUN,4
add,add,True,VERB,3
is,is,True,AUX,2
can,can,True,AUX,3
cannot,cannot,True,AUX,6
transition,transition,True,NOUN,10
jsonp,jsonp,False,PROPN,5
_make_option,make,True,VERB,4
_make_option,option,True,NOUN,6
_from_data,from,True,ADP,4
_from_data,data,True,NOUN,4
dataFilteredQuery,data,True,NOUN,4
dataFilteredQuery,Filtered,True,VERB,8
dataFilteredQuery,Query,True,NOUN,5
item_finder,item,True,NOUN,4
item_finder,finder,True,NOUN,6
updateFieldInformation,update,True,VERB,6
updateFieldInformation,Field,True,NOUN,5
updateFieldInformation,Information,True,NOUN,11
traverse,traverse,True,VERB,8
cmp,cmp,False,PROPN,3
offset_message,offset,True,VERB,6
offset_message,message,True,NOUN,7
offset_by,offset,True,VERB,6
offset_by,by,True,ADP,2
mockRPC,mock,True,ADJ,4
mockRPC,RPC,False,PROPN,3
mockRPC,mock,True,ADJ,4
mockRPC,RPC,False,PROPN,3
mockRPC,mock,True,ADJ,4
mockRPC,RPC,False,PROPN,3
mockRPC,mock,True,ADJ,4
mockRPC,RPC,False,PROPN,3
mockRPC,mock,True,ADJ,4
mockRPC,RPC,False,PROPN,3
mockRPC,mock,True,ADJ,4
mockRPC,RPC,False,PROPN,3
mockRPC,mock,True,ADJ,4
mockRPC,RPC,False,PROPN,3
displayBundleChangedNotification,display,True,NOUN,7
displayBundleChangedNotification,Bundle,True,PROPN,6
displayBundleChangedNotification,Changed,True,VERB,7
displayBundleChangedNotification,Notification,True,NOUN,12
getBundleNotificationDelay,get,True,VERB,3
getBundleNotificationDelay,Bundle,True,PROPN,6
getBundleNotificationDelay,Notification,True,NOUN,12
getBundleNotificationDelay,Delay,True,NOUN,5
onNotification,on,True,ADP,2
onNotification,Notification,True,NOUN,12
send,send,True,VERB,4
handleMessage,handle,True,VERB,6
handleMessage,Message,True,NOUN,7
initializeWorkerConnection,initialize,True,NOUN,10
initializeWorkerConnection,Worker,True,PROPN,6
initializeWorkerConnection,Connection,True,NOUN,10
startWorker,start,True,VERB,5
startWorker,Worker,True,PROPN,6
makeBusServiceToLegacyEnv,make,True,VERB,4
makeBusServiceToLegacyEnv,Bus,True,NOUN,3
makeBusServiceToLegacyEnv,Service,True,NOUN,7
makeBusServiceToLegacyEnv,To,True,PART,2
makeBusServiceToLegacyEnv,Legacy,True,NOUN,6
makeBusServiceToLegacyEnv,Env,False,PROPN,3
makeMultiTabToLegacyEnv,make,True,VERB,4
makeMultiTabToLegacyEnv,Multi,True,VERB,5
makeMultiTabToLegacyEnv,Tab,True,VERB,3
makeMultiTabToLegacyEnv,To,True,PART,2
makeMultiTabToLegacyEnv,Legacy,True,NOUN,6
makeMultiTabToLegacyEnv,Env,False,PROPN,3
onmessage,on,True,ADP,2
onmessage,message,True,NOUN,7
later,later,True,ADV,5
debounce,debounce,False,NOUN,8
patchWebsocketWorkerWithCleanup,patch,True,VERB,5
patchWebsocketWorkerWithCleanup,Websocket,False,NOUN,9
patchWebsocketWorkerWithCleanup,Worker,True,PROPN,6
patchWebsocketWorkerWithCleanup,With,True,ADP,4
patchWebsocketWorkerWithCleanup,Cleanup,True,VERB,7
addModelNamesToFetch,add,True,VERB,3
addModelNamesToFetch,Model,True,PROPN,5
addModelNamesToFetch,Names,True,NOUN,5
addModelNamesToFetch,To,True,PART,2
addModelNamesToFetch,Fetch,True,VERB,5
addFakeModel,add,True,VERB,3
addFakeModel,Fake,True,VERB,4
addFakeModel,Model,True,PROPN,5
insertModelFields,insert,True,ADJ,6
insertModelFields,Model,True,PROPN,5
insertModelFields,Fields,True,NOUN,6
insertRecords,insert,True,ADJ,6
insertRecords,Records,True,NOUN,7
displayCalendarNotification,display,True,NOUN,7
displayCalendarNotification,Calendar,True,NOUN,8
displayCalendarNotification,Notification,True,NOUN,12
getNextCalendarNotif,get,True,VERB,3
getNextCalendarNotif,Next,True,ADV,4
getNextCalendarNotif,Calendar,True,NOUN,8
getNextCalendarNotif,Notif,False,PROPN,5
askRecurrenceUpdatePolicy,ask,True,VERB,3
askRecurrenceUpdatePolicy,Recurrence,True,VERB,10
askRecurrenceUpdatePolicy,Update,True,VERB,6
askRecurrenceUpdatePolicy,Policy,True,NOUN,6
useAskRecurrenceUpdatePolicy,use,True,VERB,3
useAskRecurrenceUpdatePolicy,Ask,True,VERB,3
useAskRecurrenceUpdatePolicy,Recurrence,True,VERB,10
useAskRecurrenceUpdatePolicy,Update,True,VERB,6
useAskRecurrenceUpdatePolicy,Policy,True,NOUN,6
preloadMany2ManyAttendee,preload,False,NOUN,7
preloadMany2ManyAttendee,Many,True,ADJ,4
preloadMany2ManyAttendee,2,True,NUM,1
preloadMany2ManyAttendee,Many,True,ADJ,4
preloadMany2ManyAttendee,Attendee,True,PROPN,8
mockRPC,mock,True,ADJ,4
mockRPC,RPC,False,PROPN,3
mockRPC,mock,True,ADJ,4
mockRPC,RPC,False,PROPN,3
mockRPC,mock,True,ADJ,4
mockRPC,RPC,False,PROPN,3
todayDate,today,True,NOUN,5
todayDate,Date,True,NOUN,4
checkRainbowmanMessage,check,True,VERB,5
checkRainbowmanMessage,Rainbow,True,VERB,7
checkRainbowmanMessage,man,True,NOUN,3
checkRainbowmanMessage,Message,True,NOUN,7
useCheckRainbowman,use,True,VERB,3
useCheckRainbowman,Check,True,VERB,5
useCheckRainbowman,Rainbow,True,VERB,7
useCheckRainbowman,man,True,NOUN,3
forecastDomain,forecast,True,VERB,8
forecastDomain,Domain,True,NOUN,6
onClickGenerateLead,on,True,ADP,2
onClickGenerateLead,Click,True,VERB,5
onClickGenerateLead,Generate,True,VERB,8
onClickGenerateLead,Lead,True,VERB,4
useGenerateLeadsButton,use,True,VERB,3
useGenerateLeadsButton,Generate,True,VERB,8
useGenerateLeadsButton,Leads,True,NOUN,5
useGenerateLeadsButton,Button,True,PROPN,6
corsIgnoredErrorHandler,cors,False,NOUN,4
corsIgnoredErrorHandler,Ignored,True,VERB,7
corsIgnoredErrorHandler,Error,True,NOUN,5
corsIgnoredErrorHandler,Handler,True,NOUN,7
hrPreferencesItem,hr,True,NOUN,2
hrPreferencesItem,Preferences,True,NOUN,11
hrPreferencesItem,Item,True,NOUN,4
useArchiveEmployee,use,True,VERB,3
useArchiveEmployee,Archive,True,NOUN,7
useArchiveEmployee,Employee,True,NOUN,8
getHtmlRenderer,get,True,VERB,3
getHtmlRenderer,Html,False,NOUN,4
getHtmlRenderer,Renderer,True,NOUN,8
getOwlView,get,True,VERB,3
getOwlView,Owl,True,ADJ,3
getOwlView,View,True,NOUN,4
getHtmlView,get,True,VERB,3
getHtmlView,Html,False,NOUN,4
getHtmlView,View,True,NOUN,4
createGreetingMessage,create,True,VERB,6
createGreetingMessage,Greeting,True,VERB,8
createGreetingMessage,Message,True,NOUN,7
useStressDays,use,True,VERB,3
useStressDays,Stress,True,NOUN,6
useStressDays,Days,True,NOUN,4
useLeaveCancelWizard,use,True,VERB,3
useLeaveCancelWizard,Leave,True,VERB,5
useLeaveCancelWizard,Cancel,True,VERB,6
useLeaveCancelWizard,Wizard,True,PROPN,6
useUniquePopover,use,True,VERB,3
useUniquePopover,Unique,True,ADJ,6
useUniquePopover,Popover,True,NOUN,7
_tweak_options,tweak,True,ADJ,5
_tweak_options,options,True,NOUN,7
timesheet_uom,timesheet,False,NOUN,9
timesheet_uom,uom,False,NOUN,3
timesheet_uom,timesheet,False,NOUN,9
timesheet_uom,uom,False,NOUN,3
timesheet_uom_no_toggle,timesheet,False,NOUN,9
timesheet_uom_no_toggle,uom,False,NOUN,3
timesheet_uom_no_toggle,no,True,INTJ,2
timesheet_uom_no_toggle,toggle,True,NOUN,6
timesheet_uom_no_toggle,timesheet,False,NOUN,9
timesheet_uom_no_toggle,uom,False,NOUN,3
timesheet_uom_no_toggle,no,True,INTJ,2
timesheet_uom_no_toggle,toggle,True,NOUN,6
getServerData,get,True,VERB,3
getServerData,Server,True,PROPN,6
getServerData,Data,True,NOUN,4
updateArch,update,True,VERB,6
updateArch,Arch,True,VERB,4
addFieldsInArch,add,True,VERB,3
addFieldsInArch,Fields,True,NOUN,6
addFieldsInArch,In,True,ADP,2
addFieldsInArch,Arch,True,VERB,4
setupTestEnv,setup,True,NOUN,5
setupTestEnv,Test,True,VERB,4
setupTestEnv,Env,False,PROPN,3
patchSessionAndStartServices,patch,True,VERB,5
patchSessionAndStartServices,Session,True,NOUN,7
patchSessionAndStartServices,And,True,CCONJ,3
patchSessionAndStartServices,Start,True,VERB,5
patchSessionAndStartServices,Services,True,NOUN,8
createView,create,True,VERB,6
createView,View,True,NOUN,4
SetupTimesheetUOMWidgetsTestEnvironment,Setup,True,NOUN,5
SetupTimesheetUOMWidgetsTestEnvironment,Timesheet,False,PROPN,9
SetupTimesheetUOMWidgetsTestEnvironment,UOM,False,NOUN,3
SetupTimesheetUOMWidgetsTestEnvironment,Widgets,True,NOUN,7
SetupTimesheetUOMWidgetsTestEnvironment,Test,True,VERB,4
SetupTimesheetUOMWidgetsTestEnvironment,Environment,True,NOUN,11
_testCreateAndEdit,test,True,NOUN,4
_testCreateAndEdit,Create,True,VERB,6
_testCreateAndEdit,And,True,CCONJ,3
_testCreateAndEdit,Edit,True,NOUN,4
useWorkEntry,use,True,VERB,3
useWorkEntry,Work,True,VERB,4
useWorkEntry,Entry,True,NOUN,5
longpolling,long,True,ADV,4
longpolling,polling,True,VERB,7
extractProps,extract,True,VERB,7
extractProps,Props,True,NOUN,5
insufficientCreditHandler,insufficient,True,ADJ,12
insufficientCreditHandler,Credit,True,NOUN,6
insufficientCreditHandler,Handler,True,NOUN,7
displaySuccessIapNotification,display,True,NOUN,7
displaySuccessIapNotification,Success,True,NOUN,7
displaySuccessIapNotification,Iap,False,NOUN,3
displaySuccessIapNotification,Notification,True,NOUN,12
displayFailureIapNotification,display,True,NOUN,7
displayFailureIapNotification,Failure,True,NOUN,7
displayFailureIapNotification,Iap,False,NOUN,3
displayFailureIapNotification,Notification,True,NOUN,12
loadJS,load,True,NOUN,4
loadJS,JS,False,PROPN,2
callable,callable,True,ADJ,8
cancel,cancel,True,VERB,6
clear,clear,True,ADJ,5
CCThrottleFunction,CC,True,NOUN,2
CCThrottleFunction,Throttle,True,PROPN,8
CCThrottleFunction,Function,True,NOUN,8
L10nCoPosPaymentScreen,L10n,False,NOUN,4
L10nCoPosPaymentScreen,Co,True,NOUN,2
L10nCoPosPaymentScreen,Pos,True,PROPN,3
L10nCoPosPaymentScreen,Payment,True,NOUN,7
L10nCoPosPaymentScreen,Screen,True,NOUN,6
L10nCoPosGlobalState,L10n,False,NOUN,4
L10nCoPosGlobalState,Co,True,NOUN,2
L10nCoPosGlobalState,Pos,True,PROPN,3
L10nCoPosGlobalState,Global,True,ADJ,6
L10nCoPosGlobalState,State,True,NOUN,5
L10nCoPosOrder,L10n,False,NOUN,4
L10nCoPosOrder,Co,True,NOUN,2
L10nCoPosOrder,Pos,True,PROPN,3
L10nCoPosOrder,Order,True,NOUN,5
get_drive_error,get,True,VERB,3
get_drive_error,drive,True,VERB,5
get_drive_error,error,True,NOUN,5
action_get_drive_certificate,action,True,NOUN,6
action_get_drive_certificate,get,True,VERB,3
action_get_drive_certificate,drive,True,VERB,5
action_get_drive_certificate,certificate,True,NOUN,11
action_post_sign_invoice,action,True,NOUN,6
action_post_sign_invoice,post,True,NOUN,4
action_post_sign_invoice,sign,True,VERB,4
action_post_sign_invoice,invoice,True,PROPN,7
PosFrCertChrome,Pos,True,PROPN,3
PosFrCertChrome,Fr,True,VERB,2
PosFrCertChrome,Cert,True,NOUN,4
PosFrCertChrome,Chrome,True,NOUN,6
PosFrPaymentScreen,Pos,True,PROPN,3
PosFrPaymentScreen,Fr,True,VERB,2
PosFrPaymentScreen,Payment,True,NOUN,7
PosFrPaymentScreen,Screen,True,NOUN,6
PosFrCertClosePopup,Pos,True,PROPN,3
PosFrCertClosePopup,Fr,True,VERB,2
PosFrCertClosePopup,Cert,True,NOUN,4
PosFrCertClosePopup,Close,True,VERB,5
PosFrCertClosePopup,Popup,True,PROPN,5
L10nFrPosGlobalState,L10n,False,NOUN,4
L10nFrPosGlobalState,Fr,True,VERB,2
L10nFrPosGlobalState,Pos,True,PROPN,3
L10nFrPosGlobalState,Global,True,ADJ,6
L10nFrPosGlobalState,State,True,NOUN,5
L10nFrOrder,L10n,False,NOUN,4
