Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
stripBanner,strip,True,PROPN,5
stripBanner,Banner,True,PROPN,6
getPlugins,get,True,VERB,3
getPlugins,Plugins,True,NOUN,7
extendStatics,extend,True,VERB,6
extendStatics,Statics,True,NOUN,7
nn,nn,False,ADP,2
$A,A,True,PRON,1
a,a,True,PRON,1
$B,B,True,NOUN,1
a,a,True,PRON,1
p,p,True,NOUN,1
r,r,True,X,1
v,v,True,X,1
extend,extend,True,VERB,6
w,w,True,PROPN,1
B,B,True,NOUN,1
I,I,True,PRON,1
aa,aa,True,ADJ,2
ca,ca,True,AUX,2
da,da,False,VERB,2
ga,ga,False,VERB,2
b,b,True,X,1
ha,ha,True,INTJ,2
ia,ia,False,PROPN,2
ja,ja,True,PROPN,2
ka,ka,True,PROPN,2
la,la,True,INTJ,2
ma,ma,True,PROPN,2
na,na,False,ADP,2
oa,oa,False,NOUN,2
pa,pa,True,PROPN,2
qa,qa,False,VERB,2
isXML,is,True,AUX,2
isXML,XML,True,VERB,3
ID,ID,True,PROPN,2
ID,ID,True,PROPN,2
ID,ID,True,PROPN,2
ID,ID,True,PROPN,2
setDocument,set,True,VERB,3
setDocument,Document,True,NOUN,8
matches,matches,True,NOUN,7
matchesSelector,matches,True,NOUN,7
matchesSelector,Selector,True,NOUN,8
contains,contains,True,VERB,8
attr,attr,False,PROPN,4
escape,escape,True,VERB,6
error,error,True,NOUN,5
uniqueSort,unique,True,ADJ,6
uniqueSort,Sort,True,ADV,4
getText,get,True,VERB,3
getText,Text,True,NOUN,4
ra,ra,False,PROPN,2
tokenize,tokenize,False,VERB,8
sa,sa,False,PROPN,2
ta,ta,True,ADP,2
ua,ua,False,INTJ,2
va,va,False,PROPN,2
wa,wa,False,INTJ,2
xa,xa,False,PROPN,2
ya,ya,True,INTJ,2
f,f,True,X,1
za,za,False,PROPN,2
compile,compile,True,NOUN,7
select,select,True,ADJ,6
y,y,True,PROPN,1
z,z,True,X,1
B,B,True,NOUN,1
E,E,True,NOUN,1
filter,filter,True,VERB,6
init,init,True,PROPN,4
K,K,True,NOUN,1
a,a,True,PRON,1
M,M,True,NOUN,1
i,i,True,PRON,1
d,d,True,X,1
Callbacks,Callbacks,True,NOUN,9
N,N,True,NOUN,1
O,O,True,INTJ,1
P,P,True,NOUN,1
j,j,True,NOUN,1
g,g,True,PROPN,1
h,h,True,NOUN,1
exceptionHook,exception,True,NOUN,9
exceptionHook,Hook,True,VERB,4
readyException,ready,True,ADJ,5
readyException,Exception,True,NOUN,9
ready,ready,True,ADJ,5
S,S,True,NOUN,1
T,T,True,NOUN,1
U,U,True,NOUN,1
V,V,True,NOUN,1
g,g,True,PROPN,1
h,h,True,NOUN,1
da,da,False,VERB,2
ea,ea,True,NOUN,2
fa,fa,True,ADV,2
ha,ha,True,INTJ,2
ia,ia,False,PROPN,2
na,na,False,ADP,2
oa,oa,False,NOUN,2
qa,qa,False,VERB,2
va,va,False,PROPN,2
wa,wa,False,INTJ,2
xa,xa,False,PROPN,2
ya,ya,True,INTJ,2
handle,handle,True,VERB,6
removeEvent,remove,True,VERB,6
removeEvent,Event,True,NOUN,5
Event,Event,True,NOUN,5
Ea,Ea,True,PRON,2
Fa,Fa,True,NOUN,2
Ga,Ga,True,NOUN,2
Ha,Ha,True,INTJ,2
Ia,Ia,True,NOUN,2
Ja,Ja,True,NOUN,2
Ka,Ka,True,PROPN,2
a,a,True,PRON,1
Na,Na,True,NOUN,2
b,b,True,X,1
Oa,Oa,False,PROPN,2
Pa,Pa,True,NOUN,2
Wa,Wa,False,ADP,2
Xa,Xa,False,PROPN,2
Ya,Ya,True,VERB,2
Za,Za,False,NOUN,2
$a,a,True,PRON,1
_a,a,True,PRON,1
eb,eb,False,X,2
fb,fb,False,INTJ,2
gb,gb,False,VERB,2
hb,hb,False,PROPN,2
fire,fire,True,NOUN,4
ib,ib,True,PROPN,2
jb,jb,False,PROPN,2
i,i,True,PRON,1
kb,kb,True,PROPN,2
complete,complete,True,ADJ,8
speed,speed,True,NOUN,5
g,g,True,PROPN,1
d,d,True,X,1
b,b,True,X,1
a,a,True,PRON,1
tick,tick,True,VERB,4
timer,timer,True,NOUN,5
start,start,True,VERB,5
stop,stop,True,VERB,4
stop,stop,True,VERB,4
delay,delay,True,NOUN,5
b,b,True,X,1
pb,pb,False,INTJ,2
qb,qb,False,PROPN,2
get,get,True,VERB,3
b,b,True,X,1
c,c,True,NOUN,1
parseXML,parse,True,VERB,5
parseXML,XML,True,VERB,3
Ab,Ab,True,VERB,2
e,e,True,X,1
param,param,False,VERB,5
Mb,Mb,True,VERB,2
g,g,True,PROPN,1
