Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
Pathformer,Path,True,NOUN,4
Pathformer,former,True,ADJ,6
scan,scan,True,PROPN,4
lineToPath,line,True,NOUN,4
lineToPath,To,True,PART,2
lineToPath,Path,True,NOUN,4
rectToPath,rect,True,VERB,4
rectToPath,To,True,PART,2
rectToPath,Path,True,NOUN,4
polylineToPath,polyline,False,VERB,8
polylineToPath,To,True,PART,2
polylineToPath,Path,True,NOUN,4
polygonToPath,polygon,True,PROPN,7
polygonToPath,To,True,PART,2
polygonToPath,Path,True,NOUN,4
ellipseToPath,ellipse,True,NOUN,7
ellipseToPath,To,True,PART,2
ellipseToPath,Path,True,NOUN,4
circleToPath,circle,True,PROPN,6
circleToPath,To,True,PART,2
circleToPath,Path,True,NOUN,4
pathMaker,path,True,NOUN,4
pathMaker,Maker,True,NOUN,5
parseAttr,parse,True,VERB,5
parseAttr,Attr,False,VERB,4
Vivus,Vivus,False,PROPN,5
LINEAR,LINEAR,True,NOUN,6
EASE,EASE,True,NOUN,4
EASE_OUT,EASE,True,NOUN,4
EASE_OUT,OUT,True,ADP,3
EASE_IN,EASE,True,NOUN,4
EASE_IN,IN,True,ADP,2
EASE_OUT_BOUNCE,EASE,True,NOUN,4
EASE_OUT_BOUNCE,OUT,True,ADP,3
EASE_OUT_BOUNCE,BOUNCE,True,PROPN,6
setElement,set,True,VERB,3
setElement,Element,True,NOUN,7
setOptions,set,True,VERB,3
setOptions,Options,True,NOUN,7
setCallback,set,True,VERB,3
setCallback,Callback,True,NOUN,8
mapping,mapping,True,NOUN,7
recalc,recalc,False,NOUN,6
performLineRecalc,perform,True,VERB,7
performLineRecalc,Line,True,NOUN,4
performLineRecalc,Recalc,False,NOUN,6
draw,draw,True,VERB,4
trace,trace,True,NOUN,5
renderPath,render,True,VERB,6
renderPath,Path,True,NOUN,4
init,init,True,PROPN,4
listener,listener,True,NOUN,8
starter,starter,True,NOUN,7
getStatus,get,True,VERB,3
getStatus,Status,True,NOUN,6
reset,reset,True,VERB,5
finish,finish,True,NOUN,6
setFrameProgress,set,True,VERB,3
setFrameProgress,Frame,True,NOUN,5
setFrameProgress,Progress,True,NOUN,8
play,play,True,VERB,4
stop,stop,True,VERB,4
destroy,destroy,True,VERB,7
isInvisible,is,True,AUX,2
isInvisible,Invisible,True,ADJ,9
parseAttr,parse,True,VERB,5
parseAttr,Attr,False,VERB,4
isInViewport,is,True,AUX,2
isInViewport,In,True,ADP,2
isInViewport,View,True,NOUN,4
isInViewport,port,True,NOUN,4
getViewportH,get,True,VERB,3
getViewportH,View,True,NOUN,4
getViewportH,port,True,NOUN,4
getViewportH,H,True,NOUN,1
scrollY,scroll,True,NOUN,6
scrollY,Y,True,NOUN,1
n,n,True,CCONJ,1
i,i,True,PRON,1
scan,scan,True,PROPN,4
lineToPath,line,True,NOUN,4
lineToPath,To,True,PART,2
lineToPath,Path,True,NOUN,4
rectToPath,rect,True,VERB,4
rectToPath,To,True,PART,2
rectToPath,Path,True,NOUN,4
polylineToPath,polyline,False,VERB,8
polylineToPath,To,True,PART,2
polylineToPath,Path,True,NOUN,4
polygonToPath,polygon,True,PROPN,7
