Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
isES6ClassFn,5,False,False,False,False,False
isES6ClassFn,5,False,False,False,False,False
tryFunctionObject,3,True,True,True,True,False
tryFunctionObject,3,True,True,True,True,False
isCallable,2,True,False,True,True,False
isCallable,2,True,False,True,True,False
tryRegexExec,3,True,True,True,True,False
tryRegexExec,3,True,True,True,True,False
isRegex,2,True,False,True,True,False
tryStringObject,3,True,True,True,True,False
tryStringObject,3,True,True,True,True,False
isString,2,True,False,True,True,False
defineProperties,2,True,True,True,True,False
isPrimitive,2,True,True,True,True,False
isPrimitive,2,True,True,True,True,False
ToInteger,2,True,False,True,False,False
ToPrimitive,2,True,True,True,False,False
ToUint32,2,True,False,True,False,False
Empty,1,True,False,True,False,False
Empty,1,True,False,True,False,False
binder,1,True,False,True,True,False
bind,1,True,True,True,True,False
isArray,2,True,True,True,True,False
properlyBoxed,2,True,True,True,True,False
properlyBoxed,2,True,True,True,True,False
forEach,2,True,False,True,True,False
map,1,True,False,True,True,False
filter,1,True,True,True,True,False
every,1,True,False,True,True,False
some,1,True,False,True,True,False
reduce,1,True,True,True,True,False
reduceRight,2,True,True,True,True,False
indexOf,2,True,False,True,True,False
lastIndexOf,3,True,False,True,True,False
splice,1,True,False,True,True,False
splice,1,True,False,True,True,False
splice,1,True,False,True,True,False
join,1,True,True,True,True,False
join,1,True,True,True,True,False
push,1,True,True,True,True,False
push,1,True,True,True,True,False
push,1,True,True,True,True,False
sort,1,True,True,True,True,False
equalsConstructorPrototype,3,True,True,True,True,False
equalsConstructorPrototypeIfNotBuggy,6,True,True,True,True,False
isArguments,2,True,False,True,True,False
isArguments,2,True,False,True,True,False
isArguments,2,True,False,True,True,False
isArguments,2,True,False,True,True,False
keys,1,True,False,True,True,False
keys,1,True,False,True,True,False
daysInMonth,3,True,False,True,True,False
daysInMonth,3,True,False,True,True,False
getFullYear,3,True,True,True,True,False
getMonth,2,True,True,True,True,False
getDate,2,True,True,True,True,False
getUTCFullYear,4,False,True,True,True,False
