Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
webpackUniversalModuleDefinition,web,True,NOUN,3
webpackUniversalModuleDefinition,pack,True,VERB,4
webpackUniversalModuleDefinition,Universal,True,ADJ,9
webpackUniversalModuleDefinition,Module,True,NOUN,6
webpackUniversalModuleDefinition,Definition,True,NOUN,10
__webpack_require__,web,True,NOUN,3
__webpack_require__,pack,True,VERB,4
__webpack_require__,require,True,VERB,7
_defineProperty,define,True,VERB,6
_defineProperty,Property,True,NOUN,8
_toPropertyKey,to,True,PART,2
_toPropertyKey,Property,True,NOUN,8
_toPropertyKey,Key,True,ADJ,3
_toPrimitive,to,True,PART,2
_toPrimitive,Primitive,True,VERB,9
Dispatcher,Dispatcher,True,NOUN,10
register,register,True,VERB,8
register,register,True,VERB,8
unregister,unregister,False,NOUN,10
unregister,unregister,False,NOUN,10
waitFor,wait,True,VERB,4
waitFor,For,True,ADP,3
waitFor,wait,True,VERB,4
waitFor,For,True,ADP,3
dispatch,dispatch,True,VERB,8
dispatch,dispatch,True,VERB,8
isDispatching,is,True,AUX,2
isDispatching,Dispatching,True,PROPN,11
isDispatching,is,True,AUX,2
isDispatching,Dispatching,True,PROPN,11
_invokeCallback,invoke,True,NOUN,6
_invokeCallback,Callback,True,NOUN,8
_invokeCallback,invoke,True,NOUN,6
_invokeCallback,Callback,True,NOUN,8
_startDispatching,start,True,VERB,5
_startDispatching,Dispatching,True,PROPN,11
_startDispatching,start,True,VERB,5
_startDispatching,Dispatching,True,PROPN,11
_stopDispatching,stop,True,VERB,4
_stopDispatching,Dispatching,True,PROPN,11
_stopDispatching,stop,True,VERB,4
_stopDispatching,Dispatching,True,PROPN,11
invariant,invariant,True,ADJ,9
t,t,True,NOUN,1
e,e,True,X,1
s,s,True,NOUN,1
r,r,True,X,1
i,i,True,PRON,1
register,register,True,VERB,8
unregister,unregister,False,NOUN,10
waitFor,wait,True,VERB,4
waitFor,For,True,ADP,3
dispatch,dispatch,True,VERB,8
isDispatching,is,True,AUX,2
isDispatching,Dispatching,True,PROPN,11
_invokeCallback,invoke,True,NOUN,6
_invokeCallback,Callback,True,NOUN,8
_startDispatching,start,True,VERB,5
_startDispatching,Dispatching,True,PROPN,11
_stopDispatching,stop,True,VERB,4
_stopDispatching,Dispatching,True,PROPN,11
e,e,True,X,1
s,s,True,NOUN,1
webpackUniversalModuleDefinition,web,True,NOUN,3
webpackUniversalModuleDefinition,pack,True,VERB,4
webpackUniversalModuleDefinition,Universal,True,ADJ,9
webpackUniversalModuleDefinition,Module,True,NOUN,6
webpackUniversalModuleDefinition,Definition,True,NOUN,10
__webpack_require__,web,True,NOUN,3
__webpack_require__,pack,True,VERB,4
__webpack_require__,require,True,VERB,7
_assertThisInitialized,assert,True,PROPN,6
_assertThisInitialized,This,True,PRON,4
_assertThisInitialized,Initialized,True,VERB,11
_inheritsLoose,inherits,True,NOUN,8
_inheritsLoose,Loose,True,ADJ,5
_setPrototypeOf,set,True,VERB,3
_setPrototypeOf,Prototype,True,NOUN,9
_setPrototypeOf,Of,True,ADP,2
_setPrototypeOf,set,True,VERB,3
_setPrototypeOf,Prototype,True,NOUN,9
_setPrototypeOf,Of,True,ADP,2
ownKeys,own,True,ADJ,3
ownKeys,Keys,True,NOUN,4
_objectSpread,object,True,NOUN,6
_objectSpread,Spread,True,VERB,6
_defineProperty,define,True,VERB,6
_defineProperty,Property,True,NOUN,8
_toPropertyKey,to,True,PART,2
_toPropertyKey,Property,True,NOUN,8
_toPropertyKey,Key,True,ADJ,3
_toPrimitive,to,True,PART,2
_toPrimitive,Primitive,True,VERB,9
getState,get,True,VERB,3
getState,State,True,NOUN,5
getState,get,True,VERB,3
getState,State,True,NOUN,5
getStores,get,True,VERB,3
getStores,Stores,True,NOUN,6
getStores,get,True,VERB,3
getStores,Stores,True,NOUN,6
ContainerClass,Container,True,NOUN,9
ContainerClass,Class,True,NOUN,5
UNSAFE_componentWillReceiveProps,UNSAFE,True,ADJ,6
UNSAFE_componentWillReceiveProps,component,True,NOUN,9
UNSAFE_componentWillReceiveProps,Will,True,AUX,4
UNSAFE_componentWillReceiveProps,Receive,True,VERB,7
UNSAFE_componentWillReceiveProps,Props,True,NOUN,5
UNSAFE_componentWillReceiveProps,UNSAFE,True,ADJ,6
UNSAFE_componentWillReceiveProps,component,True,NOUN,9
UNSAFE_componentWillReceiveProps,Will,True,AUX,4
UNSAFE_componentWillReceiveProps,Receive,True,VERB,7
UNSAFE_componentWillReceiveProps,Props,True,NOUN,5
componentWillUnmount,component,True,NOUN,9
componentWillUnmount,Will,True,AUX,4
componentWillUnmount,Unmount,False,PROPN,7
componentWillUnmount,component,True,NOUN,9
componentWillUnmount,Will,True,AUX,4
componentWillUnmount,Unmount,False,PROPN,7
create,create,True,VERB,6
PureComponent,Pure,True,VERB,4
PureComponent,Component,True,NOUN,9
shouldComponentUpdate,should,True,AUX,6
shouldComponentUpdate,Component,True,NOUN,9
shouldComponentUpdate,Update,True,VERB,6
shouldComponentUpdate,should,True,AUX,6
shouldComponentUpdate,Component,True,NOUN,9
shouldComponentUpdate,Update,True,VERB,6
createPureComponent,create,True,VERB,6
createPureComponent,Pure,True,VERB,4
createPureComponent,Component,True,NOUN,9
enforceInterface,enforce,True,VERB,7
enforceInterface,Interface,True,NOUN,9
FunctionalContainer,Functional,True,ADJ,10
FunctionalContainer,Container,True,NOUN,9
getStores,get,True,VERB,3
getStores,Stores,True,NOUN,6
getStores,get,True,VERB,3
getStores,Stores,True,NOUN,6
calculateState,calculate,True,VERB,9
calculateState,State,True,NOUN,5
calculateState,calculate,True,VERB,9
calculateState,State,True,NOUN,5
render,render,True,VERB,6
render,render,True,VERB,6
createFunctional,create,True,VERB,6
createFunctional,Functional,True,ADJ,10
_defineProperty,define,True,VERB,6
_defineProperty,Property,True,NOUN,8
_toPropertyKey,to,True,PART,2
_toPropertyKey,Property,True,NOUN,8
_toPropertyKey,Key,True,ADJ,3
_toPrimitive,to,True,PART,2
_toPrimitive,Primitive,True,VERB,9
shallowArrayEqual,shallow,True,VERB,7
shallowArrayEqual,Array,True,VERB,5
shallowArrayEqual,Equal,True,ADJ,5
FluxContainerSubscriptions,Flux,True,NOUN,4
FluxContainerSubscriptions,Container,True,NOUN,9
FluxContainerSubscriptions,Subscriptions,True,NOUN,13
setChanged,set,True,VERB,3
setChanged,Changed,True,VERB,7
setChanged,set,True,VERB,3
setChanged,Changed,True,VERB,7
callCallbacks,call,True,VERB,4
callCallbacks,Callbacks,True,NOUN,9
callCallbacks,call,True,VERB,4
callCallbacks,Callbacks,True,NOUN,9
setStores,set,True,VERB,3
setStores,Stores,True,NOUN,6
setStores,set,True,VERB,3
setStores,Stores,True,NOUN,6
addListener,add,True,VERB,3
addListener,Listener,True,PROPN,8
addListener,add,True,VERB,3
addListener,Listener,True,PROPN,8
reset,reset,True,VERB,5
reset,reset,True,VERB,5
_resetTokens,reset,True,VERB,5
_resetTokens,Tokens,True,PROPN,6
_resetTokens,reset,True,VERB,5
_resetTokens,Tokens,True,PROPN,6
_resetStoreGroup,reset,True,VERB,5
_resetStoreGroup,Store,True,NOUN,5
_resetStoreGroup,Group,True,PROPN,5
_resetStoreGroup,reset,True,VERB,5
_resetStoreGroup,Store,True,NOUN,5
_resetStoreGroup,Group,True,PROPN,5
_resetStores,reset,True,VERB,5
_resetStores,Stores,True,NOUN,6
_resetStores,reset,True,VERB,5
_resetStores,Stores,True,NOUN,6
_resetCallbacks,reset,True,VERB,5
_resetCallbacks,Callbacks,True,NOUN,9
_resetCallbacks,reset,True,VERB,5
_resetCallbacks,Callbacks,True,NOUN,9
F,F,True,NOUN,1
F,F,True,NOUN,1
n,n,True,CCONJ,1
e,e,True,X,1
s,s,True,NOUN,1
n,n,True,CCONJ,1
e,e,True,X,1
f,f,True,X,1
_createForOfIteratorHelper,create,True,VERB,6
_createForOfIteratorHelper,For,True,ADP,3
_createForOfIteratorHelper,Of,True,ADP,2
_createForOfIteratorHelper,Iterator,True,NOUN,8
_createForOfIteratorHelper,Helper,True,NOUN,6
_unsupportedIterableToArray,unsupported,True,ADJ,11
_unsupportedIterableToArray,Iterable,False,ADJ,8
_unsupportedIterableToArray,To,True,PART,2
_unsupportedIterableToArray,Array,True,VERB,5
_arrayLikeToArray,array,True,VERB,5
_arrayLikeToArray,Like,True,ADP,4
_arrayLikeToArray,To,True,PART,2
_arrayLikeToArray,Array,True,VERB,5
_defineProperty,define,True,VERB,6
_defineProperty,Property,True,NOUN,8
_toPropertyKey,to,True,PART,2
_toPropertyKey,Property,True,NOUN,8
_toPropertyKey,Key,True,ADJ,3
_toPrimitive,to,True,PART,2
_toPrimitive,Primitive,True,VERB,9
FluxStoreGroup,Flux,True,NOUN,4
FluxStoreGroup,Store,True,NOUN,5
FluxStoreGroup,Group,True,PROPN,5
release,release,True,VERB,7
release,release,True,VERB,7
_getUniformDispatcher,get,True,VERB,3
_getUniformDispatcher,Uniform,True,NOUN,7
_getUniformDispatcher,Dispatcher,True,NOUN,10
invariant,invariant,True,ADJ,9
getIteratorFn,get,True,VERB,3
getIteratorFn,Iterator,True,NOUN,8
getIteratorFn,Fn,False,PROPN,2
setExtraStackFrame,set,True,VERB,3
setExtraStackFrame,Extra,True,ADJ,5
setExtraStackFrame,Stack,True,NOUN,5
setExtraStackFrame,Frame,True,NOUN,5
setExtraStackFrame,set,True,VERB,3
setExtraStackFrame,Extra,True,ADJ,5
setExtraStackFrame,Stack,True,NOUN,5
setExtraStackFrame,Frame,True,NOUN,5
getStackAddendum,get,True,VERB,3
