Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
findPatternIn,find,True,VERB,4
findPatternIn,Pattern,True,NOUN,7
findPatternIn,In,True,ADP,2
buildScanner,build,True,VERB,5
buildScanner,Scanner,True,PROPN,7
createContentURL,create,True,VERB,6
createContentURL,Content,True,NOUN,7
createContentURL,URL,True,NOUN,3
postLink,post,True,NOUN,4
postLink,Link,True,NOUN,4
MdAnchorDirective,Md,True,PROPN,2
MdAnchorDirective,Anchor,True,NOUN,6
MdAnchorDirective,Directive,True,NOUN,9
sortByName,sort,True,VERB,4
sortByName,By,True,ADP,2
sortByName,Name,True,NOUN,4
removeCurrentVersion,remove,True,VERB,6
removeCurrentVersion,Current,True,ADJ,7
removeCurrentVersion,Version,True,NOUN,7
getAllVersions,get,True,VERB,3
getAllVersions,All,True,PRON,3
getAllVersions,Versions,True,NOUN,8
getVersionFullString,get,True,VERB,3
getVersionFullString,Version,True,NOUN,7
getVersionFullString,Full,True,ADJ,4
getVersionFullString,String,True,NOUN,6
getLatest,get,True,VERB,3
getLatest,Latest,True,ADJ,6
getVersion,get,True,VERB,3
getVersion,Version,True,NOUN,7
getCurrentVersion,get,True,VERB,3
getCurrentVersion,Current,True,ADJ,7
getCurrentVersion,Version,True,NOUN,7
getVersionIdFromPath,get,True,VERB,3
getVersionIdFromPath,Version,True,NOUN,7
getVersionIdFromPath,Id,True,PROPN,2
getVersionIdFromPath,From,True,ADP,4
getVersionIdFromPath,Path,True,NOUN,4
matchPage,match,True,VERB,5
matchPage,Page,True,NOUN,4
onLocationChange,on,True,ADP,2
onLocationChange,Location,True,NOUN,8
onLocationChange,Change,True,VERB,6
isSelected,is,True,AUX,2
isSelected,Selected,True,VERB,8
focusSection,focus,True,VERB,5
focusSection,Section,True,NOUN,7
isOpen,is,True,AUX,2
isOpen,Open,True,VERB,4
toggle,toggle,True,NOUN,6
redirectToUrl,redirect,True,VERB,8
redirectToUrl,To,True,PART,2
redirectToUrl,Url,False,NOUN,3
closeMenu,close,True,VERB,5
closeMenu,Menu,True,PROPN,4
openMenu,open,True,VERB,4
openMenu,Menu,True,PROPN,4
path,path,True,NOUN,4
scrollTop,scroll,True,NOUN,6
scrollTop,Top,True,ADJ,3
goHome,go,True,VERB,2
goHome,Home,True,NOUN,4
openPage,open,True,VERB,4
openPage,Page,True,NOUN,4
focusMainContent,focus,True,VERB,5
focusMainContent,Main,True,ADJ,4
focusMainContent,Content,True,NOUN,7
isSelected,is,True,AUX,2
isSelected,Selected,True,VERB,8
isSectionSelected,is,True,AUX,2
isSectionSelected,Section,True,NOUN,7
isSectionSelected,Selected,True,VERB,8
isOpen,is,True,AUX,2
isOpen,Open,True,VERB,4
toggleOpen,toggle,True,NOUN,6
toggleOpen,Open,True,VERB,4
layoutAlign,layout,True,PROPN,6
layoutAlign,Align,True,VERB,5
toggleContentSize,toggle,True,NOUN,6
toggleContentSize,Content,True,NOUN,7
toggleContentSize,Size,True,NOUN,4
updateState,update,True,VERB,6
updateState,State,True,NOUN,5
setScroll,set,True,VERB,3
setScroll,Scroll,True,PROPN,6
getScroll,get,True,VERB,3
getScroll,Scroll,True,PROPN,6
handleRouteChangeStart,handle,True,VERB,6
handleRouteChangeStart,Route,True,NOUN,5
handleRouteChangeStart,Change,True,VERB,6
handleRouteChangeStart,Start,True,VERB,5
handleRouteChangeSuccess,handle,True,VERB,6
handleRouteChangeSuccess,Route,True,NOUN,5
handleRouteChangeSuccess,Change,True,VERB,6
handleRouteChangeSuccess,Success,True,NOUN,7
editOnCodepen,edit,True,VERB,4
editOnCodepen,On,True,ADP,2
editOnCodepen,Code,True,NOUN,4
editOnCodepen,pen,True,NOUN,3
buildForm,build,True,VERB,5
buildForm,Form,True,VERB,4
escapeJsonQuotes,escape,True,VERB,6
escapeJsonQuotes,Json,False,NOUN,4
escapeJsonQuotes,Quotes,True,NOUN,6
Codepen,Code,True,NOUN,4
Codepen,pen,True,NOUN,3
translate,translate,True,VERB,9
processHtml,process,True,NOUN,7
processHtml,Html,False,NOUN,4
appendLicenseFor,append,True,VERB,6
appendLicenseFor,License,True,NOUN,7
appendLicenseFor,For,True,ADP,3
appendLicenses,append,True,VERB,6
appendLicenses,Licenses,True,NOUN,8
processJs,process,True,NOUN,7
processJs,Js,False,PROPN,2
mergeFiles,merge,True,VERB,5
mergeFiles,Files,True,NOUN,5
applyAngularAttributesToParentElement,apply,True,VERB,5
applyAngularAttributesToParentElement,Angular,True,ADJ,7
applyAngularAttributesToParentElement,Attributes,True,NOUN,10
applyAngularAttributesToParentElement,To,True,PART,2
applyAngularAttributesToParentElement,Parent,True,NOUN,6
applyAngularAttributesToParentElement,Element,True,NOUN,7
insertTemplatesAsScriptTags,insert,True,ADJ,6
insertTemplatesAsScriptTags,Templates,True,NOUN,9
insertTemplatesAsScriptTags,As,True,ADP,2
insertTemplatesAsScriptTags,Script,True,NOUN,6
insertTemplatesAsScriptTags,Tags,True,NOUN,4
htmlEscapeAmpersand,html,False,NOUN,4
htmlEscapeAmpersand,Escape,True,VERB,6
htmlEscapeAmpersand,Ampersand,True,VERB,9
replaceDemoModuleWithCodepenModule,replace,True,VERB,7
replaceDemoModuleWithCodepenModule,Demo,True,NOUN,4
replaceDemoModuleWithCodepenModule,Module,True,NOUN,6
replaceDemoModuleWithCodepenModule,With,True,ADP,4
replaceDemoModuleWithCodepenModule,Code,True,NOUN,4
replaceDemoModuleWithCodepenModule,pen,True,NOUN,3
replaceDemoModuleWithCodepenModule,Module,True,NOUN,6
CodepenDataAdapter,Code,True,NOUN,4
CodepenDataAdapter,pen,True,NOUN,3
CodepenDataAdapter,Data,True,NOUN,4
CodepenDataAdapter,Adapter,True,PROPN,7
DocsCssApiTableDirective,Docs,True,NOUN,4
DocsCssApiTableDirective,Css,False,INTJ,3
DocsCssApiTableDirective,Api,False,PROPN,3
DocsCssApiTableDirective,Table,True,NOUN,5
DocsCssApiTableDirective,Directive,True,NOUN,9
DocsCssSelectorDirective,Docs,True,NOUN,4
DocsCssSelectorDirective,Css,False,INTJ,3
DocsCssSelectorDirective,Selector,True,NOUN,8
DocsCssSelectorDirective,Directive,True,NOUN,9
addFile,add,True,VERB,3
addFile,File,True,VERB,4
editOnCodepen,edit,True,VERB,4
editOnCodepen,On,True,ADP,2
editOnCodepen,Code,True,NOUN,4
editOnCodepen,pen,True,NOUN,3
convertName,convert,True,VERB,7
convertName,Name,True,NOUN,4
DocsDemoCtrl,Docs,True,NOUN,4
DocsDemoCtrl,Demo,True,NOUN,4
DocsDemoCtrl,Ctrl,False,NOUN,4
postLink,post,True,NOUN,4
postLink,Link,True,NOUN,4
compile,compile,True,NOUN,7
handleDemoIndexFile,handle,True,VERB,6
handleDemoIndexFile,Demo,True,NOUN,4
handleDemoIndexFile,Index,True,NOUN,5
handleDemoIndexFile,File,True,VERB,4
handleDemoStyles,handle,True,VERB,6
handleDemoStyles,Demo,True,NOUN,4
handleDemoStyles,Styles,True,NOUN,6
handleDemoTemplates,handle,True,VERB,6
handleDemoTemplates,Demo,True,NOUN,4
handleDemoTemplates,Templates,True,NOUN,9
postLink,post,True,NOUN,4
postLink,Link,True,NOUN,4
render,render,True,VERB,6
d,d,True,X,1
v,v,True,X,1
p,p,True,NOUN,1
l,l,True,NOUN,1
e,e,True,X,1
M,M,True,NOUN,1
i,i,True,PRON,1
s,s,True,NOUN,1
o,o,True,X,1
a,a,True,PRON,1
n,n,True,CCONJ,1
m,m,True,VERB,1
u,u,True,NOUN,1
s,s,True,NOUN,1
l,l,True,NOUN,1
e,e,True,X,1
r,r,True,X,1
C,C,True,NOUN,1
O,O,True,INTJ,1
B,B,True,NOUN,1
c,c,True,NOUN,1
o,o,True,X,1
u,u,True,NOUN,1
s,s,True,NOUN,1
c,c,True,NOUN,1
o,o,True,X,1
S,S,True,NOUN,1
s,s,True,NOUN,1
configure,configure,True,NOUN,9
initHighlightingOnLoad,init,True,PROPN,4
initHighlightingOnLoad,Highlighting,True,VERB,12
initHighlightingOnLoad,On,True,ADP,2
initHighlightingOnLoad,Load,True,NOUN,4
registerLanguage,register,True,VERB,8
registerLanguage,Language,True,NOUN,8
listLanguages,list,True,NOUN,4
listLanguages,Languages,True,NOUN,9
COMMENT,COMMENT,True,VERB,7
s,s,True,NOUN,1
b,b,True,X,1
allAngularScripts,all,True,PRON,3
allAngularScripts,Angular,True,ADJ,7
allAngularScripts,Scripts,True,NOUN,7
fullPathToScript,full,True,ADJ,4
fullPathToScript,Path,True,NOUN,4
fullPathToScript,To,True,PART,2
fullPathToScript,Script,True,NOUN,6
DemoAngularScripts,Demo,True,NOUN,4
DemoAngularScripts,Angular,True,ADJ,7
DemoAngularScripts,Scripts,True,NOUN,7
process,process,True,NOUN,7
getSHA,get,True,VERB,3
getSHA,SHA,True,PROPN,3
getCommitDate,get,True,VERB,3
getCommitDate,Commit,True,VERB,6
getCommitDate,Date,True,NOUN,4
buildConfigProcessor,build,True,VERB,5
buildConfigProcessor,Config,False,PROPN,6
buildConfigProcessor,Processor,True,NOUN,9
buildConfigProcessor,build,True,VERB,5
buildConfigProcessor,Config,False,PROPN,6
buildConfigProcessor,Processor,True,NOUN,9
publicDocData,public,True,ADJ,6
publicDocData,Doc,True,VERB,3
publicDocData,Data,True,NOUN,4
coreServiceData,core,True,NOUN,4
coreServiceData,Service,True,NOUN,7
coreServiceData,Data,True,NOUN,4
buildDocData,build,True,VERB,5
buildDocData,Doc,True,VERB,3
buildDocData,Data,True,NOUN,4
process,process,True,NOUN,7
componentsGenerateProcessor,components,True,NOUN,10
componentsGenerateProcessor,Generate,True,VERB,8
componentsGenerateProcessor,Processor,True,NOUN,9
componentsGenerateProcessor,components,True,NOUN,10
componentsGenerateProcessor,Generate,True,VERB,8
componentsGenerateProcessor,Processor,True,NOUN,9
contentProcessor,content,True,NOUN,7
contentProcessor,Processor,True,NOUN,9
contentProcessor,content,True,NOUN,7
contentProcessor,Processor,True,NOUN,9
process,process,True,NOUN,7
indexPageProcessor,index,True,NOUN,5
indexPageProcessor,Page,True,NOUN,4
indexPageProcessor,Processor,True,NOUN,9
indexPageProcessor,index,True,NOUN,5
indexPageProcessor,Page,True,NOUN,4
indexPageProcessor,Processor,True,NOUN,9
transformCss,transform,True,VERB,9
transformCss,Css,False,INTJ,3
generateDemos,generate,True,VERB,8
generateDemos,Demos,True,PROPN,5
stubHttpRequestsForImages,stub,True,NOUN,4
stubHttpRequestsForImages,Http,False,PROPN,4
stubHttpRequestsForImages,Requests,True,NOUN,8
stubHttpRequestsForImages,For,True,ADP,3
stubHttpRequestsForImages,Images,True,NOUN,6
getBuildMode,get,True,VERB,3
getBuildMode,Build,True,VERB,5
getBuildMode,Mode,True,NOUN,4
task,task,True,NOUN,4
task,task,True,NOUN,4
exec,exec,True,VERB,4
task,task,True,NOUN,4
task,task,True,NOUN,4
task,task,True,NOUN,4
getPaths,get,True,VERB,3
getPaths,Paths,True,NOUN,5
task,task,True,NOUN,4
task,task,True,NOUN,4
getLatestTag,get,True,VERB,3
getLatestTag,Latest,True,ADJ,6
getLatestTag,Tag,True,VERB,3
getShortSha,get,True,VERB,3
getShortSha,Short,True,ADJ,5
getShortSha,Sha,False,PROPN,3
disallowedIndex,disallowed,True,ADJ,10
disallowedIndex,Index,True,NOUN,5
checkFile,check,True,VERB,5
checkFile,File,True,VERB,4
repeat,repeat,True,NOUN,6
task,task,True,NOUN,4
task,task,True,NOUN,4
task,task,True,NOUN,4
task,task,True,NOUN,4
task,task,True,NOUN,4
task,task,True,NOUN,4
task,task,True,NOUN,4
task,task,True,NOUN,4
task,task,True,NOUN,4
task,task,True,NOUN,4
task,task,True,NOUN,4
deployMaterialMocks,deploy,True,VERB,6
deployMaterialMocks,Material,True,NOUN,8
deployMaterialMocks,Mocks,True,NOUN,5
buildJs,build,True,VERB,5
buildJs,Js,False,PROPN,2
minifyCss,minify,True,VERB,6
minifyCss,Css,False,INTJ,3
splitStream,split,True,VERB,5
splitStream,Stream,True,VERB,6
buildMin,build,True,VERB,5
buildMin,Min,True,PROPN,3
buildBower,build,True,VERB,5
buildBower,Bower,True,VERB,5
buildModuleJs,build,True,VERB,5
buildModuleJs,Module,True,NOUN,6
buildModuleJs,Js,False,PROPN,2
buildModuleStyles,build,True,VERB,5
buildModuleStyles,Module,True,NOUN,6
buildModuleStyles,Styles,True,NOUN,6
buildModule,build,True,VERB,5
buildModule,Module,True,NOUN,6
readModuleArg,read,True,VERB,4
readModuleArg,Module,True,NOUN,6
readModuleArg,Arg,True,VERB,3
filterLayoutAttrFiles,filter,True,VERB,6
filterLayoutAttrFiles,Layout,True,NOUN,6
filterLayoutAttrFiles,Attr,False,VERB,4
filterLayoutAttrFiles,Files,True,NOUN,5
filterNonCodeFiles,filter,True,VERB,6
filterNonCodeFiles,Non,True,PROPN,3
filterNonCodeFiles,Code,True,NOUN,4
filterNonCodeFiles,Files,True,NOUN,5
themeBuildStream,theme,True,NOUN,5
themeBuildStream,Build,True,VERB,5
themeBuildStream,Stream,True,VERB,6
validateProp,validate,True,VERB,8
validateProp,Prop,True,PROPN,4
dedupeCss,dedupe,False,PROPN,6
dedupeCss,Css,False,INTJ,3
build,build,True,VERB,5
err,err,True,PROPN,3
validate,validate,True,VERB,8
checkoutVersionBranch,checkout,True,NOUN,8
checkoutVersionBranch,Version,True,NOUN,7
checkoutVersionBranch,Branch,True,NOUN,6
updateVersion,update,True,VERB,6
updateVersion,Version,True,NOUN,7
createChangelog,create,True,VERB,6
createChangelog,Changelog,False,PROPN,9
clear,clear,True,ADJ,5
parseVersion,parse,True,VERB,5
parseVersion,Version,True,NOUN,7
getVersionString,get,True,VERB,3
getVersionString,Version,True,NOUN,7
getVersionString,String,True,NOUN,6
increment,increment,True,NOUN,9
addRC,add,True,VERB,3
addRC,RC,True,PROPN,2
getVersionOptions,get,True,VERB,3
getVersionOptions,Version,True,NOUN,7
getVersionOptions,Options,True,NOUN,7
getNewVersion,get,True,VERB,3
getNewVersion,New,True,ADJ,3
getNewVersion,Version,True,NOUN,7
tagRelease,tag,True,VERB,3
tagRelease,Release,True,VERB,7
commitChanges,commit,True,VERB,6
commitChanges,Changes,True,NOUN,7
cloneRepo,clone,True,VERB,5
cloneRepo,Repo,False,NOUN,4
writeScript,write,True,VERB,5
writeScript,Script,True,NOUN,6
updateBowerVersion,update,True,VERB,6
updateBowerVersion,Bower,True,VERB,5
updateBowerVersion,Version,True,NOUN,7
getRewrite,get,True,VERB,3
