Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
get,1,True,True,True,True,False
get,1,True,True,True,True,False
defineProperties,2,True,True,True,True,False
_possibleConstructorReturn,3,True,True,True,True,False
_inherits,1,True,False,True,True,False
_classCallCheck,3,True,True,True,True,False
noop,1,False,False,True,True,False
isFunction,2,True,False,True,True,False
isString,2,True,False,True,True,False
find,1,True,True,True,True,False
parseHTML,2,False,True,True,True,False
onReady,2,True,False,True,True,False
Init,1,False,False,True,False,False
cash,1,True,False,True,True,False
extend,1,True,True,True,True,False
each,1,True,False,True,True,False
matches,1,True,False,True,True,False
getCompareFunction,3,True,True,True,True,False
unique,1,True,False,True,True,False
getDataCache,3,True,True,True,True,False
setData,2,True,True,True,True,False
getData,2,True,True,True,True,False
removeData,2,True,True,True,True,False
getClasses,2,True,True,True,True,False
hasClass,2,True,True,True,True,False
addClass,2,True,True,True,True,False
removeClass,2,True,True,True,True,False
compute,1,True,True,True,True,False
lower,1,True,False,True,True,False
registerEvent,2,True,True,True,True,False
removeEvent,2,True,True,True,True,False
encode,1,True,False,True,True,False
getSelectMultiple_,3,True,True,True,True,False
getSelectSingle_,3,True,True,True,True,False
getValue,2,True,True,True,True,False
insertElement,2,True,False,True,True,False
insertContent,2,True,False,True,True,False
Component,1,True,False,True,False,False
init,1,False,False,True,True,False
docHandleKeydown,4,True,True,True,False,False
docHandleKeyup,4,True,True,True,False,False
docHandleFocus,3,True,True,True,True,False
docHandleBlur,3,True,True,True,True,False
pluginName,2,True,True,True,True,False
initializeJqueryWrapper,3,False,False,True,True,False
AutoInit,2,False,False,True,False,False
objectSelectorString,3,True,False,True,True,False
s4,2,True,False,False,False,False
escapeHash,2,True,True,True,True,False
elementOrParentIsFixed,5,True,True,True,True,False
checkWithinContainer,3,True,True,True,True,False
checkPossibleAlignments,3,True,True,True,True,False
getOverflowParent,3,True,True,True,True,False
getIdFromTrigger,4,False,True,True,True,False
getDocumentScrollTop,4,True,True,True,True,False
getDocumentScrollLeft,4,True,True,True,True,False
later,1,True,False,True,True,False
throttle,1,True,True,True,True,False
getGlobal,2,True,True,True,True,False
initSymbol,2,False,False,True,True,False
initSymbol,2,False,False,True,True,False
Symbol,1,True,False,True,False,False
initSymbolIterator,3,False,False,True,True,False
initSymbolIterator,3,False,False,True,True,False
arrayIterator,2,True,True,True,True,False
iteratorPrototype,2,True,False,True,True,False
next,1,True,False,True,True,False
iteratorFromArray,3,True,True,True,True,False
polyfill,3,True,True,False,False,False
e,1,True,False,False,True,False
r,1,True,False,False,True,False
p,1,True,False,False,True,False
m,1,True,True,False,True,False
u,1,True,False,False,True,False
C,1,True,False,False,False,False
D,1,True,False,False,False,False
z,1,True,False,False,True,False
T,1,True,False,False,False,False
c,1,True,False,False,True,False
U,1,True,False,False,False,False
y,1,True,False,False,True,False
V,1,True,False,False,False,False
I,1,True,False,False,False,False
E,1,True,False,False,False,False
J,1,True,False,False,False,False
X,1,True,False,False,False,False
K,1,True,False,False,False,False
L,1,True,False,False,False,False
F,1,True,False,False,False,False
M,1,True,False,False,False,False
N,1,True,False,False,False,False
d,1,True,False,False,True,False
Y,1,True,False,False,False,False
O,1,True,False,False,False,False
P,1,True,False,False,False,False
Z,1,True,False,False,False,False
aa,1,False,False,True,True,False
ba,1,True,True,True,True,False
ca,1,True,False,True,True,False
da,1,False,True,True,True,False
ea,1,True,False,True,True,False
R,1,True,True,False,False,False
fa,1,True,False,True,True,False
c,1,True,False,False,True,False
d,1,True,False,False,True,False
b,1,True,False,False,True,False
f,1,True,False,False,True,False
e,1,True,False,False,True,False
k,1,True,False,False,True,False
reset,1,True,True,True,True,False
tick,1,True,True,True,True,False
seek,1,True,True,True,True,False
pause,1,True,True,True,True,False
play,1,True,True,True,True,False
reverse,1,True,True,True,True,False
restart,1,True,False,True,True,False
q,1,True,False,False,True,False
a,1,True,False,False,True,False
a,1,True,False,False,True,False
a,1,True,False,False,True,False
c,1,True,False,False,True,False
remove,1,True,True,True,True,False
path,1,True,False,True,True,False
setDashoffset,3,True,True,True,False,False
add,1,True,True,True,True,False
timeline,1,True,False,True,True,False
random,1,True,False,True,True,False
Collapsible,1,True,False,True,False,False
destroy,1,True,True,True,True,False
_setupEventHandlers,3,True,False,True,True,False
_removeEventHandlers,3,True,True,True,True,False
_handleCollapsibleClick,3,True,True,True,True,False
_handleCollapsibleKeydown,4,True,True,True,False,False
_animateIn,2,True,True,True,True,False
_animateOut,2,True,True,True,True,False
open,1,True,True,True,True,False
close,1,True,True,True,True,False
init,1,False,False,True,True,False
getInstance,2,True,True,True,True,False
Dropdown,2,True,True,True,False,False
destroy,1,True,True,True,True,False
_setupEventHandlers,3,True,False,True,True,False
_removeEventHandlers,3,True,True,True,True,False
_setupTemporaryEventHandlers,4,True,False,True,True,False
_removeTemporaryEventHandlers,4,True,True,True,True,False
_handleClick,2,True,True,True,True,False
_handleMouseEnter,3,True,True,True,True,False
_handleMouseLeave,3,True,True,True,True,False
_handleDocumentClick,3,True,True,True,True,False
_handleTriggerKeydown,4,True,True,True,False,False
_handleDocumentTouchmove,4,True,True,True,False,False
_handleDropdownClick,4,False,True,True,False,False
_handleDropdownKeydown,5,False,True,True,False,False
_resetFilterQuery,3,True,True,True,True,False
_resetDropdownStyles,4,False,True,True,False,False
_makeDropdownFocusable,4,True,True,True,False,False
_focusFocusedItem,3,True,True,True,True,False
_getDropdownPosition,4,False,True,True,False,False
_animateIn,2,True,True,True,True,False
_animateOut,2,True,True,True,True,False
_placeDropdown,3,True,True,True,False,False
open,1,True,True,True,True,False
close,1,True,True,True,True,False
recalculateDimensions,2,True,True,True,True,False
init,1,False,False,True,True,False
getInstance,2,True,True,True,True,False
Modal,1,True,False,True,False,False
destroy,1,True,True,True,True,False
_setupEventHandlers,3,True,False,True,True,False
_removeEventHandlers,3,True,True,True,True,False
_handleTriggerClick,3,True,True,True,True,False
_handleOverlayClick,3,True,True,True,True,False
_handleModalCloseClick,4,True,True,True,True,False
_handleKeydown,3,True,True,True,False,False
_handleFocus,2,True,True,True,True,False
_animateIn,2,True,True,True,True,False
_animateOut,2,True,True,True,True,False
open,1,True,True,True,True,False
close,1,True,True,True,True,False
init,1,False,False,True,True,False
getInstance,2,True,True,True,True,False
Materialbox,2,True,False,True,False,False
destroy,1,True,True,True,True,False
_setupEventHandlers,3,True,False,True,True,False
_removeEventHandlers,3,True,True,True,True,False
_handleMaterialboxClick,4,True,True,True,False,False
