Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
get,get,True,VERB,3
get,get,True,VERB,3
defineProperties,define,True,VERB,6
defineProperties,Properties,True,NOUN,10
_possibleConstructorReturn,possible,True,ADJ,8
_possibleConstructorReturn,Constructor,True,NOUN,11
_possibleConstructorReturn,Return,True,VERB,6
_inherits,inherits,True,NOUN,8
_classCallCheck,class,True,NOUN,5
_classCallCheck,Call,True,VERB,4
_classCallCheck,Check,True,VERB,5
noop,noop,False,NOUN,4
isFunction,is,True,AUX,2
isFunction,Function,True,NOUN,8
isString,is,True,AUX,2
isString,String,True,NOUN,6
find,find,True,VERB,4
parseHTML,parse,True,VERB,5
parseHTML,HTML,True,NOUN,4
onReady,on,True,ADP,2
onReady,Ready,True,ADJ,5
Init,Init,True,NOUN,4
cash,cash,True,NOUN,4
extend,extend,True,VERB,6
each,each,True,PRON,4
matches,matches,True,NOUN,7
getCompareFunction,get,True,VERB,3
getCompareFunction,Compare,True,VERB,7
getCompareFunction,Function,True,NOUN,8
unique,unique,True,ADJ,6
getDataCache,get,True,VERB,3
getDataCache,Data,True,NOUN,4
getDataCache,Cache,True,PROPN,5
setData,set,True,VERB,3
setData,Data,True,NOUN,4
getData,get,True,VERB,3
getData,Data,True,NOUN,4
removeData,remove,True,VERB,6
removeData,Data,True,NOUN,4
getClasses,get,True,VERB,3
getClasses,Classes,True,NOUN,7
hasClass,has,True,VERB,3
hasClass,Class,True,NOUN,5
addClass,add,True,VERB,3
addClass,Class,True,NOUN,5
removeClass,remove,True,VERB,6
removeClass,Class,True,NOUN,5
compute,compute,True,VERB,7
lower,lower,True,ADV,5
registerEvent,register,True,VERB,8
registerEvent,Event,True,NOUN,5
removeEvent,remove,True,VERB,6
removeEvent,Event,True,NOUN,5
encode,encode,True,ADJ,6
getSelectMultiple_,get,True,VERB,3
getSelectMultiple_,Select,True,PROPN,6
getSelectMultiple_,Multiple,True,ADJ,8
getSelectSingle_,get,True,VERB,3
getSelectSingle_,Select,True,PROPN,6
getSelectSingle_,Single,True,ADJ,6
getValue,get,True,VERB,3
getValue,Value,True,NOUN,5
insertElement,insert,True,ADJ,6
insertElement,Element,True,NOUN,7
insertContent,insert,True,ADJ,6
insertContent,Content,True,NOUN,7
Component,Component,True,NOUN,9
init,init,True,PROPN,4
docHandleKeydown,doc,True,PROPN,3
docHandleKeydown,Handle,True,VERB,6
docHandleKeydown,Key,True,ADJ,3
docHandleKeydown,down,True,ADV,4
docHandleKeyup,doc,True,PROPN,3
docHandleKeyup,Handle,True,VERB,6
docHandleKeyup,Key,True,ADJ,3
docHandleKeyup,up,True,ADV,2
docHandleFocus,doc,True,PROPN,3
docHandleFocus,Handle,True,VERB,6
docHandleFocus,Focus,True,PROPN,5
docHandleBlur,doc,True,PROPN,3
docHandleBlur,Handle,True,VERB,6
docHandleBlur,Blur,True,PROPN,4
pluginName,plugin,True,VERB,6
pluginName,Name,True,NOUN,4
