Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
exports,exports,True,NOUN,7
sum,sum,True,VERB,3
delay,delay,True,NOUN,5
fetchUsers,fetch,True,VERB,5
fetchUsers,Users,True,NOUN,5
fetchPosts,fetch,True,VERB,5
fetchPosts,Posts,True,NOUN,5
createPost,create,True,VERB,6
createPost,Post,True,NOUN,4
set,set,True,VERB,3
validateEnvironmentVariables,validate,True,VERB,8
validateEnvironmentVariables,Environment,True,NOUN,11
validateEnvironmentVariables,Variables,True,NOUN,9
normalize,normalize,True,VERB,9
combine,combine,True,VERB,7
resolveExtensions,resolve,True,VERB,7
resolveExtensions,Extensions,True,NOUN,10
isPrimitive,is,True,AUX,2
isPrimitive,Primitive,True,VERB,9
isLikeSelector,is,True,AUX,2
isLikeSelector,Like,True,ADP,4
isLikeSelector,Selector,True,NOUN,8
selectComparable,select,True,ADJ,6
selectComparable,Comparable,True,ADJ,10
distinctArray,distinct,True,ADJ,8
distinctArray,Array,True,VERB,5
sortNumbersAscending,sort,True,VERB,4
sortNumbersAscending,Numbers,True,NOUN,7
sortNumbersAscending,Ascending,True,VERB,9
parseNumber,parse,True,VERB,5
parseNumber,Number,True,NOUN,6
removeAllWhitespace,remove,True,VERB,6
removeAllWhitespace,All,True,PRON,3
removeAllWhitespace,Whitespace,False,PROPN,10
range,range,True,NOUN,5
parseLineNumbers,parse,True,VERB,5
parseLineNumbers,Line,True,NOUN,4
parseLineNumbers,Numbers,True,NOUN,7
splitPatternAndLineNumbers,split,True,VERB,5
splitPatternAndLineNumbers,Pattern,True,NOUN,7
splitPatternAndLineNumbers,And,True,CCONJ,3
splitPatternAndLineNumbers,Line,True,NOUN,4
splitPatternAndLineNumbers,Numbers,True,NOUN,7
getApplicableLineNumbers,get,True,VERB,3
getApplicableLineNumbers,Applicable,True,ADJ,10
getApplicableLineNumbers,Line,True,NOUN,4
getApplicableLineNumbers,Numbers,True,NOUN,7
requireTrueValue,require,True,VERB,7
requireTrueValue,True,True,ADJ,4
requireTrueValue,Value,True,NOUN,5
normalize,normalize,True,VERB,9
deriveFromObject,derive,True,VERB,6
deriveFromObject,From,True,ADP,4
deriveFromObject,Object,True,VERB,6
deriveFromArray,derive,True,VERB,6
deriveFromArray,From,True,ADP,4
deriveFromArray,Array,True,VERB,5
moduleTypes,module,True,NOUN,6
moduleTypes,Types,True,NOUN,5
beautifyStack,beautify,True,VERB,8
beautifyStack,Stack,True,NOUN,5
formatSerializedError,format,True,NOUN,6
formatSerializedError,Serialized,True,VERB,10
formatSerializedError,Error,True,NOUN,5
buildMessage,build,True,VERB,5
buildMessage,Message,True,NOUN,7
prefixTitle,prefix,True,VERB,6
prefixTitle,Title,True,NOUN,5
flush,flush,True,NOUN,5
track,track,True,VERB,5
ext,ext,True,PROPN,3
passes,passes,True,VERB,6
title,title,True,NOUN,5
withTemporaryFixture,with,True,ADP,4
withTemporaryFixture,Temporary,True,ADJ,9
withTemporaryFixture,Fixture,True,NOUN,7
id,id,True,PROPN,2
randomDelay,random,True,ADJ,6
randomDelay,Delay,True,NOUN,5
id,id,True,PROPN,2
matchAll,match,True,VERB,5
matchAll,All,True,PRON,3
getSnapshotIds,get,True,VERB,3
getSnapshotIds,Snapshot,True,NOUN,8
getSnapshotIds,Ids,True,PROPN,3
randomDelay,random,True,ADJ,6
randomDelay,Delay,True,NOUN,5
countMatches,count,True,VERB,5
countMatches,Matches,True,NOUN,7
countStringMatches,count,True,VERB,5
countStringMatches,String,True,NOUN,6
countStringMatches,Matches,True,NOUN,7
f,f,True,X,1
fixColors,fix,True,VERB,3
fixColors,Colors,True,NOUN,6
ava,ava,False,CCONJ,3
pass,pass,True,VERB,4
fail,fail,True,VERB,4
macro,macro,True,VERB,5
title,title,True,NOUN,5
