Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
log,log,True,VERB,3
sortClasses,sort,True,VERB,4
sortClasses,Classes,True,NOUN,7
runChecks,run,True,VERB,3
runChecks,Checks,True,NOUN,6
log,log,True,VERB,3
iterate,iterate,True,NOUN,7
deferredForEach,deferred,True,VERB,8
deferredForEach,For,True,ADP,3
deferredForEach,Each,True,PRON,4
onload,on,True,ADP,2
onload,load,True,NOUN,4
runSuite,run,True,VERB,3
runSuite,Suite,True,PROPN,5
classNames,class,True,NOUN,5
classNames,Names,True,NOUN,5
StorageObject,Storage,True,NOUN,7
StorageObject,Object,True,VERB,6
_parseArray,parse,True,VERB,5
_parseArray,Array,True,VERB,5
_parseNumber,parse,True,VERB,5
_parseNumber,Number,True,NOUN,6
_parseObject,parse,True,VERB,5
_parseObject,Object,True,VERB,6
_parseString,parse,True,VERB,5
_parseString,String,True,NOUN,6
_parse,parse,True,VERB,5
_classNames,class,True,NOUN,5
_classNames,Names,True,NOUN,5
classNames,class,True,NOUN,5
classNames,Names,True,NOUN,5
Class1,Class,True,NOUN,5
Class1,1,True,NUM,1
Class2,Class,True,NOUN,5
Class2,2,True,NUM,1
toString,to,True,PART,2
toString,String,True,NOUN,6
Class1,Class,True,NOUN,5
Class1,1,True,NUM,1
Class2,Class,True,NOUN,5
Class2,2,True,NUM,1
toString,to,True,PART,2
toString,String,True,NOUN,6
Class1,Class,True,NOUN,5
Class1,1,True,NUM,1
Class2,Class,True,NOUN,5
Class2,2,True,NUM,1
toString,to,True,PART,2
toString,String,True,NOUN,6
