Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
isDataView,3,True,False,True,True,False
normalizeName,2,True,True,True,True,False
normalizeValue,2,True,True,True,True,False
iteratorFor,2,True,False,True,True,False
Headers,1,True,False,True,False,False
append,1,True,True,True,True,False
get,1,True,True,True,True,False
has,1,True,True,True,True,False
set,1,True,True,True,True,False
forEach,2,True,False,True,True,False
keys,1,True,False,True,True,False
values,1,True,False,True,True,False
entries,1,True,False,True,True,False
consumed,1,True,True,True,True,False
onload,2,True,False,True,False,False
onerror,2,True,False,True,False,False
fileReaderReady,3,True,True,True,True,False
readBlobAsArrayBuffer,5,True,True,True,True,False
readBlobAsText,4,True,True,True,True,False
readArrayBufferAsText,5,True,True,True,True,False
bufferClone,2,True,True,True,True,False
_initBody,2,False,False,True,True,False
blob,1,True,False,True,True,False
arrayBuffer,2,True,True,True,True,False
text,1,True,False,True,True,False
formData,2,True,True,True,True,False
json,1,False,False,True,True,False
Body,1,True,False,True,False,False
normalizeMethod,2,True,True,True,True,False
Request,1,True,False,True,False,False
clone,1,True,True,True,True,False
decode,1,True,False,True,True,False
parseHeaders,2,True,True,True,True,False
Response,1,True,False,True,False,False
clone,1,True,True,True,True,False
error,1,True,False,True,True,False
redirect,1,True,True,True,True,False
abortXhr,2,False,False,True,True,False
onload,2,True,False,True,False,False
onerror,2,True,False,True,False,False
ontimeout,2,True,False,True,False,False
onabort,2,True,False,True,False,False
fixUrl,2,False,True,True,True,False
onreadystatechange,4,True,True,True,False,False
fetch,1,True,True,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
onload,2,True,False,True,False,False
onerror,2,True,False,True,False,False
readBlobAsText,4,True,True,True,True,False
onload,2,True,False,True,False,False
onerror,2,True,False,True,False,False
readBlobAsBytes,4,True,True,True,True,False
arrayBufferFromText,4,True,True,True,True,False
readArrayBufferAsText,5,True,True,True,True,False
featureDependent,2,True,False,True,True,False
testBodyExtract,3,True,False,True,True,False
run,1,True,True,True,True,False
title,1,True,False,True,True,False
reporter,1,True,False,True,True,False
