Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
main,1,True,False,True,True,False
benchmark,1,True,False,True,True,False
main,1,True,False,True,True,False
createObj,2,True,True,True,True,False
main,1,True,False,True,True,False
benchmark,1,True,False,True,True,False
main,1,True,False,True,True,False
run,1,True,True,True,True,False
main,1,True,False,True,True,False
main,1,True,False,True,True,False
runBenchmark,2,True,True,True,True,False
runInAsyncScopes,4,False,True,True,True,False
main,1,True,False,True,True,False
runBenchmark,2,True,True,True,True,False
runStores,2,True,True,True,True,False
main,1,True,False,True,True,False
runStores,2,True,True,True,True,False
runBenchmark,2,True,True,True,True,False
main,1,True,False,True,True,False
runStores,2,True,True,True,True,False
runBenchmark,2,True,True,True,True,False
main,1,True,False,True,True,False
run,1,True,True,True,True,False
main,1,True,False,True,True,False
getCLS,2,False,True,True,True,False
setCLS,2,False,True,True,True,False
init,1,False,False,True,True,False
close,1,True,True,True,True,False
buildCurrentResource,3,True,True,True,True,False
getCLS,2,False,True,True,True,False
setCLS,2,False,True,True,True,False
init,1,False,False,True,True,False
destroy,1,True,True,True,True,False
close,1,True,True,True,True,False
buildDestroy,2,True,True,True,True,False
getCLS,2,False,True,True,True,False
setCLS,2,False,True,True,True,False
close,1,True,True,True,True,False
buildAsyncLocalStorage,4,False,True,True,True,False
serve,1,True,True,True,True,False
getServeAwait,3,True,True,True,True,False
serve,1,True,True,True,True,False
getServeCallbacks,3,True,True,True,True,False
main,1,True,False,True,True,False
endAfterGC,3,False,False,True,True,False
main,1,True,False,True,True,False
main,1,True,False,True,True,False
run,1,True,True,True,True,False
main,1,True,False,True,True,False
run,1,True,True,True,True,False
main,1,True,False,True,True,False
run,1,True,True,True,True,False
main,1,True,False,True,True,False
main,1,True,False,True,True,False
main,1,True,False,True,True,False
main,1,True,False,True,True,False
main,1,True,False,True,True,False
getInput,2,True,True,True,True,False
main,1,True,False,True,True,False
main,1,True,False,True,True,False
compareUsingSlice,3,True,True,True,True,False
compareUsingOffset,3,True,True,True,True,False
main,1,True,False,True,True,False
main,1,True,False,True,True,False
main,1,True,False,True,True,False
main,1,True,False,True,True,False
main,1,True,False,True,True,False
main,1,True,False,True,True,False
main,1,True,False,True,True,False
main,1,True,False,True,True,False
main,1,True,False,True,True,False
main,1,True,False,True,True,False
main,1,True,False,True,True,False
main,1,True,False,True,True,False
main,1,True,False,True,True,False
benchFor,2,True,False,True,True,False
benchForOf,3,True,False,True,True,False
benchIterator,2,True,False,True,True,False
main,1,True,False,True,True,False
main,1,True,False,True,True,False
main,1,True,False,True,True,False
main,1,True,False,True,True,False
main,1,True,False,True,True,False
swap,1,True,True,True,True,False
htons,1,False,False,True,True,False
htons,1,False,False,True,True,False
htonl,1,False,False,True,True,False
htonl,1,False,False,True,True,False
htonll,1,False,False,True,True,False
htonll,1,False,False,True,True,False
createBuffer,2,True,True,True,True,False
