Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
newOpen,2,True,True,True,True,False
Class,1,True,False,True,False,False
log,1,True,True,True,True,False
logStart,2,True,True,True,True,False
logEnd,2,True,True,True,True,False
bind,1,True,True,True,True,False
ctor,2,True,False,False,False,False
extend,1,True,True,True,True,False
Console,1,True,False,True,False,False
createHtmltag,3,False,True,True,False,False
checkTextIsBottom,4,True,True,True,True,False
toColor,2,True,False,True,True,False
formatLine,2,True,False,True,True,False
addLines,2,True,True,True,True,False
loadConsoleText,3,True,False,True,True,False
close,1,True,True,True,True,False
open,1,True,True,True,True,False
onOpened,2,True,True,True,True,False
onClosed,2,True,True,True,True,False
cleanup,1,True,False,True,True,False
stopDragY,3,True,True,False,True,False
changeFilter,2,True,True,True,True,False
handleTabClick,3,True,True,True,True,False
Menu,1,True,False,True,False,False
show,1,True,True,True,True,False
hide,1,True,True,True,True,False
addItem,2,True,True,True,True,False
log,1,True,True,True,True,False
startsWith,2,True,True,True,True,False
endsWith,2,True,True,True,True,False
capitalize,1,True,True,True,True,False
repeat,1,True,False,True,True,False
isEmpty,2,True,False,True,True,False
RateLimit,2,True,True,True,False,False
calculateScrollerHeight,3,False,True,True,True,False
moveScroller,2,False,True,True,True,False
startDrag,2,True,True,True,True,False
stopDrag,2,True,True,True,True,False
scrollBarScroll,3,True,True,True,True,False
updateHeight,2,True,True,True,True,False
createScroller,2,False,True,True,True,False
initScrollable,2,False,False,True,True,False
bind,1,True,True,True,True,False
ctor,2,True,False,False,False,False
extend,1,True,True,True,True,False
Sidebar,1,True,False,True,False,False
initFixbutton,3,False,True,True,False,False
resized,1,True,True,True,True,False
startDrag,2,True,True,True,True,False
waitMove,2,True,True,True,True,False
moved,1,True,True,True,True,False
setSiteInfo,3,True,True,True,True,False
createHtmltag,3,False,True,True,False,False
updateHtmlTag,3,False,True,True,True,False
setHtmlTag,3,False,True,True,True,False
animDrag,2,False,True,True,True,False
stopDrag,2,True,True,True,True,False
stopDragX,3,True,True,False,True,False
sign,1,True,True,True,True,False
publish,1,True,True,True,True,False
handleSiteDeleteClick,4,True,True,True,True,False
onOpened,2,True,True,True,True,False
close,1,True,True,True,True,False
onClosed,2,True,True,True,True,False
loadGlobe,2,True,False,True,True,False
displayGlobe,2,True,False,True,True,False
unloadGlobe,2,True,False,True,True,False
s,1,True,False,False,True,False
e,1,True,False,False,True,False
noop,1,False,False,True,True,False
morphAttrs,2,False,True,True,True,False
moveChildren,2,True,True,True,True,False
removeNodeHelper,3,True,True,True,True,False
walkDiscardedChildNodes,4,True,True,True,True,False
removeNode,2,True,True,True,True,False
morphEl,2,False,True,True,True,False
morphdom,3,False,False,True,False,False
s,1,True,False,False,True,False
e,1,True,False,False,True,False
noop,1,False,False,True,True,False
morphAttrs,2,False,True,True,True,False
moveChildren,2,True,True,True,True,False
removeNodeHelper,3,True,True,True,True,False
walkDiscardedChildNodes,4,True,True,True,True,False
removeNode,2,True,True,True,True,False
morphEl,2,False,True,True,True,False
morphdom,3,False,False,True,False,False
calculateScrollerHeight,3,False,True,True,True,False
moveScroller,2,False,True,True,True,False
startDrag,2,True,True,True,True,False
stopDrag,2,True,True,True,True,False
scrollBarScroll,3,True,True,True,True,False
updateHeight,2,True,True,True,True,False
createScroller,2,False,True,True,True,False
initScrollable,2,False,False,True,True,False
to,1,True,False,True,True,False
start,1,True,True,True,True,False
stop,1,True,True,True,True,False
delay,1,True,False,True,True,False
easing,1,True,True,True,True,False
chain,1,True,False,True,True,False
onUpdate,2,True,True,True,True,False
onComplete,2,True,True,True,True,False
update,1,True,True,True,True,False
Tween,1,True,False,True,False,False
EaseNone,2,True,False,True,False,False
EaseIn,2,True,False,True,False,False
EaseOut,2,True,False,True,False,False
EaseInOut,3,True,False,True,False,False
EaseIn,2,True,False,True,False,False
EaseOut,2,True,False,True,False,False
EaseInOut,3,True,False,True,False,False
EaseIn,2,True,False,True,False,False
EaseOut,2,True,False,True,False,False
EaseInOut,3,True,False,True,False,False
EaseIn,2,True,False,True,False,False
EaseOut,2,True,False,True,False,False
EaseInOut,3,True,False,True,False,False
EaseIn,2,True,False,True,False,False
EaseOut,2,True,False,True,False,False
EaseInOut,3,True,False,True,False,False
EaseIn,2,True,False,True,False,False
EaseOut,2,True,False,True,False,False
EaseInOut,3,True,False,True,False,False
EaseIn,2,True,False,True,False,False
EaseOut,2,True,False,True,False,False
EaseInOut,3,True,False,True,False,False
EaseIn,2,True,False,True,False,False
EaseOut,2,True,False,True,False,False
EaseInOut,3,True,False,True,False,False
EaseIn,2,True,False,True,False,False
EaseOut,2,True,False,True,False,False
EaseInOut,3,True,False,True,False,False
EaseIn,2,True,False,True,False,False
EaseOut,2,True,False,True,False,False
EaseInOut,3,True,False,True,False,False
init,1,False,False,True,True,False
addData,2,True,True,True,True,False
createPoints,2,True,True,True,True,False
addPoint,2,True,True,True,True,False
onMouseDown,3,True,False,True,True,False
onMouseMove,3,True,True,True,True,False
onMouseUp,3,True,False,True,True,False
onMouseOut,3,True,False,True,True,False
onMouseWheel,3,True,False,True,True,False
onDocumentKeyDown,4,True,False,True,True,False
onWindowResize,3,True,False,True,True,False
zoom,1,True,True,True,True,False
animate,1,True,True,True,True,False
render,1,True,True,True,True,False
unload,1,True,False,True,True,False
Globe,1,True,False,True,False,False
sign,1,True,True,True,True,False
UVMapping,2,False,False,True,False,False
CubeReflectionMapping,3,True,False,True,False,False
CubeRefractionMapping,3,True,False,True,False,False
SphericalReflectionMapping,3,True,False,True,False,False
SphericalRefractionMapping,3,True,False,True,False,False
Color,1,True,False,True,False,False
d,1,True,False,False,True,False
Quaternion,1,False,False,True,False,False
slerp,2,False,False,False,False,False
Vector2,2,True,False,False,False,False
Vector3,2,True,False,False,False,False
Vector4,2,True,False,False,False,False
Euler,1,True,False,True,False,False
Line3,2,True,False,False,False,False
Box2,2,True,False,False,False,False
Box3,2,True,False,False,False,False
Matrix3,2,True,True,False,False,False
Matrix4,2,True,True,False,False,False
Ray,1,True,False,True,False,False
Sphere,1,True,False,True,False,False
Frustum,1,True,False,True,False,False
Plane,1,True,False,True,False,False
b,1,True,False,False,True,False
initFromArray,3,False,True,True,True,False
getPoint,2,True,True,True,True,False
getControlPointsArray,4,True,True,True,True,False
getLength,2,True,True,True,True,False
reparametrizeByArcLength,4,False,True,True,True,False
Spline,1,True,False,True,False,False
Triangle,1,True,False,True,False,False
Clock,1,True,True,True,False,False
EventDispatcher,2,True,False,True,False,False
Raycaster,2,True,False,True,False,False
b,1,True,False,False,True,False
c,1,True,False,False,True,False
Object3D,2,True,True,True,False,False
c,1,True,False,False,True,False
e,1,True,False,False,True,False
f,1,True,False,False,True,False
projectVector,2,True,False,True,True,False
unprojectVector,2,False,False,True,True,False
pickingRay,2,True,True,True,True,False
Projector,1,True,False,True,False,False
Face3,2,True,True,False,False,False
Face4,2,True,True,False,False,False
BufferAttribute,2,True,True,True,False,False
Int8Attribute,2,True,True,True,False,False
Uint8Attribute,2,True,True,True,False,False
Uint8ClampedAttribute,3,True,True,True,False,False
Int16Attribute,2,True,True,True,False,False
Uint16Attribute,2,True,True,True,False,False
Int32Attribute,2,True,True,True,False,False
Uint32Attribute,2,True,True,True,False,False
Float32Attribute,2,True,True,True,False,False
Float64Attribute,2,True,True,True,False,False
BufferGeometry,2,True,False,True,False,False
a,1,True,False,False,True,False
b,1,True,False,False,True,False
Geometry,1,True,False,True,False,False
a,1,True,False,False,True,False
b,1,True,False,False,True,False
c,1,True,False,False,True,False
d,1,True,False,False,True,False
Camera,1,True,False,True,False,False
clone,1,True,True,True,True,False
updateCubeMap,3,True,True,True,True,False
CubeCamera,2,True,False,True,False,False
OrthographicCamera,2,True,False,True,False,False
updateProjectionMatrix,3,True,True,True,True,False
clone,1,True,True,True,True,False
PerspectiveCamera,2,True,False,True,False,False
setLens,2,True,True,True,True,False
setViewOffset,3,True,True,True,True,False
updateProjectionMatrix,3,True,True,True,True,False
clone,1,True,True,True,True,False
Light,1,True,False,True,False,False
clone,1,True,True,True,True,False
