Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
processOpenOptions,process,True,NOUN,7
processOpenOptions,Open,True,VERB,4
processOpenOptions,Options,True,NOUN,7
open,open,True,VERB,4
isValidProject,is,True,AUX,2
isValidProject,Valid,True,ADJ,5
isValidProject,Project,True,NOUN,7
processRunOptions,process,True,NOUN,7
processRunOptions,Run,True,VERB,3
processRunOptions,Options,True,NOUN,7
run,run,True,VERB,3
throwInvalidOptionError,throw,True,VERB,5
throwInvalidOptionError,Invalid,True,PROPN,7
throwInvalidOptionError,Option,True,NOUN,6
throwInvalidOptionError,Error,True,NOUN,5
processTestingType,process,True,NOUN,7
processTestingType,Testing,True,VERB,7
processTestingType,Type,True,NOUN,4
checkConfigFile,check,True,VERB,5
checkConfigFile,Config,False,PROPN,6
checkConfigFile,File,True,VERB,4
isGarbageLineWarning,is,True,AUX,2
isGarbageLineWarning,Garbage,True,NOUN,7
isGarbageLineWarning,Line,True,NOUN,4
isGarbageLineWarning,Warning,True,VERB,7
isPlatform,is,True,AUX,2
isPlatform,Platform,True,NOUN,8
needsStderrPiped,needs,True,VERB,5
needsStderrPiped,Stderr,False,VERB,6
needsStderrPiped,Piped,True,VERB,5
needsEverythingPipedDirectly,needs,True,VERB,5
needsEverythingPipedDirectly,Everything,True,PRON,10
needsEverythingPipedDirectly,Piped,True,VERB,5
needsEverythingPipedDirectly,Directly,True,ADV,8
getStdio,get,True,VERB,3
getStdio,Stdio,True,PROPN,5
resolveOn,resolve,True,VERB,7
resolveOn,On,True,ADP,2
spawn,spawn,True,NOUN,5
spawnInXvfb,spawn,True,NOUN,5
spawnInXvfb,In,True,ADP,2
spawnInXvfb,Xvfb,False,PROPN,4
userFriendlySpawn,user,True,NOUN,4
userFriendlySpawn,Friendly,True,ADV,8
userFriendlySpawn,Spawn,True,PROPN,5
getVersions,get,True,VERB,3
getVersions,Versions,True,NOUN,8
logLevel,log,True,VERB,3
logLevel,Level,True,VERB,5
error,error,True,NOUN,5
warn,warn,True,VERB,4
log,log,True,VERB,3
always,always,True,ADV,6
logLines,log,True,VERB,3
logLines,Lines,True,NOUN,5
print,print,True,NOUN,5
reset,reset,True,VERB,5
getSize,get,True,VERB,3
getSize,Size,True,NOUN,4
_getBinaryUrlFromBuildInfo,get,True,VERB,3
_getBinaryUrlFromBuildInfo,Binary,True,ADJ,6
_getBinaryUrlFromBuildInfo,Url,False,NOUN,3
_getBinaryUrlFromBuildInfo,From,True,ADP,4
_getBinaryUrlFromBuildInfo,Build,True,VERB,5
_getBinaryUrlFromBuildInfo,Info,True,NOUN,4
alreadyInstalledMsg,already,True,ADV,7
alreadyInstalledMsg,Installed,True,VERB,9
alreadyInstalledMsg,Msg,False,NOUN,3
displayCompletionMsg,display,True,NOUN,7
