Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
presets,presets,True,NOUN,7
plugins,plugins,True,NOUN,7
enterTranslation,enter,True,VERB,5
enterTranslation,Translation,True,NOUN,11
createAndTranslate,create,True,VERB,6
createAndTranslate,And,True,CCONJ,3
createAndTranslate,Translate,True,VERB,9
updateTranslation,update,True,VERB,6
updateTranslation,Translation,True,NOUN,11
assertTranslation,assert,True,PROPN,6
assertTranslation,Translation,True,NOUN,11
createEntryTranslateAndPublish,create,True,VERB,6
createEntryTranslateAndPublish,Entry,True,NOUN,5
createEntryTranslateAndPublish,Translate,True,VERB,9
createEntryTranslateAndPublish,And,True,CCONJ,3
createEntryTranslateAndPublish,Publish,True,PROPN,7
createEntryTranslateAndSave,create,True,VERB,6
createEntryTranslateAndSave,Entry,True,NOUN,5
createEntryTranslateAndSave,Translate,True,VERB,9
createEntryTranslateAndSave,And,True,CCONJ,3
createEntryTranslateAndSave,Save,True,VERB,4
uploadMediaFile,upload,True,VERB,6
uploadMediaFile,Media,True,NOUN,5
uploadMediaFile,File,True,VERB,4
assertImagesInLibrary,assert,True,PROPN,6
assertImagesInLibrary,Images,True,NOUN,6
assertImagesInLibrary,In,True,ADP,2
assertImagesInLibrary,Library,True,NOUN,7
assertNoImagesInLibrary,assert,True,PROPN,6
assertNoImagesInLibrary,No,True,INTJ,2
assertNoImagesInLibrary,Images,True,NOUN,6
assertNoImagesInLibrary,In,True,ADP,2
assertNoImagesInLibrary,Library,True,NOUN,7
deleteImage,delete,True,VERB,6
deleteImage,Image,True,NOUN,5
chooseSelectedMediaFile,choose,True,VERB,6
chooseSelectedMediaFile,Selected,True,VERB,8
chooseSelectedMediaFile,Media,True,NOUN,5
chooseSelectedMediaFile,File,True,VERB,4
chooseAnImage,choose,True,VERB,6
chooseAnImage,An,True,PRON,2
chooseAnImage,Image,True,NOUN,5
waitForEntryToLoad,wait,True,VERB,4
waitForEntryToLoad,For,True,ADP,3
waitForEntryToLoad,Entry,True,NOUN,5
waitForEntryToLoad,To,True,PART,2
waitForEntryToLoad,Load,True,NOUN,4
matchImageSnapshot,match,True,VERB,5
matchImageSnapshot,Image,True,NOUN,5
matchImageSnapshot,Snapshot,True,NOUN,8
newPostAndUploadImage,new,True,ADJ,3
newPostAndUploadImage,Post,True,NOUN,4
newPostAndUploadImage,And,True,CCONJ,3
newPostAndUploadImage,Upload,True,NOUN,6
newPostAndUploadImage,Image,True,NOUN,5
newPostWithImage,new,True,ADJ,3
newPostWithImage,Post,True,NOUN,4
newPostWithImage,With,True,ADP,4
newPostWithImage,Image,True,NOUN,5
publishPostWithImage,publish,True,VERB,7
publishPostWithImage,Post,True,NOUN,4
publishPostWithImage,With,True,ADP,4
publishPostWithImage,Image,True,NOUN,5
closeMediaLibrary,close,True,VERB,5
closeMediaLibrary,Media,True,NOUN,5
closeMediaLibrary,Library,True,NOUN,7
switchToGridView,switch,True,VERB,6
switchToGridView,To,True,PART,2
switchToGridView,Grid,True,PROPN,4
switchToGridView,View,True,NOUN,4
assertGridEntryImage,assert,True,PROPN,6
assertGridEntryImage,Grid,True,PROPN,4
assertGridEntryImage,Entry,True,NOUN,5
assertGridEntryImage,Image,True,NOUN,5
inSidebar,in,True,ADP,2
inSidebar,Sidebar,True,NOUN,7
inGrid,in,True,ADP,2
inGrid,Grid,True,PROPN,4
codeBlockRaw,code,True,NOUN,4
codeBlockRaw,Block,True,VERB,5
codeBlockRaw,Raw,True,ADJ,3
codeBlock,code,True,NOUN,4
codeBlock,Block,True,VERB,5
replaceMod,replace,True,VERB,7
replaceMod,Mod,True,PROPN,3
filter,filter,True,VERB,6
assertEntriesCount,assert,True,PROPN,6
assertEntriesCount,Entries,True,NOUN,7
assertEntriesCount,Count,True,NOUN,5
assertInEntries,assert,True,PROPN,6
assertInEntries,In,True,ADP,2
assertInEntries,Entries,True,NOUN,7
assertNotInEntries,assert,True,PROPN,6
assertNotInEntries,Not,True,PART,3
assertNotInEntries,In,True,ADP,2
assertNotInEntries,Entries,True,NOUN,7
group,group,True,NOUN,5
assertGroupsCount,assert,True,PROPN,6
assertGroupsCount,Groups,True,NOUN,6
assertGroupsCount,Count,True,NOUN,5
assertEachGroupCount,assert,True,PROPN,6
assertEachGroupCount,Each,True,PRON,4
assertEachGroupCount,Group,True,PROPN,5
assertEachGroupCount,Count,True,NOUN,5
assertEntriesCount,assert,True,PROPN,6
assertEntriesCount,Entries,True,NOUN,7
assertEntriesCount,Count,True,NOUN,5
assertInEntries,assert,True,PROPN,6
assertInEntries,In,True,ADP,2
assertInEntries,Entries,True,NOUN,7
exports,exports,True,NOUN,7
setupTestBackend,setup,True,NOUN,5
setupTestBackend,Test,True,VERB,4
setupTestBackend,Backend,False,VERB,7
copyBackendFiles,copy,True,NOUN,4
copyBackendFiles,Backend,False,VERB,7
copyBackendFiles,Files,True,NOUN,5
updateConfig,update,True,VERB,6
updateConfig,Config,False,PROPN,6
switchVersion,switch,True,VERB,6
switchVersion,Version,True,NOUN,7
start,start,True,VERB,5
stop,stop,True,VERB,4
retrieveRecordedExpectations,retrieve,True,NOUN,8
retrieveRecordedExpectations,Recorded,True,VERB,8
retrieveRecordedExpectations,Expectations,True,NOUN,12
resetMockServerState,reset,True,VERB,5
resetMockServerState,Mock,True,ADJ,4
resetMockServerState,Server,True,PROPN,6
resetMockServerState,State,True,NOUN,5
escapeRegExp,escape,True,VERB,6
escapeRegExp,Reg,True,NOUN,3
escapeRegExp,Exp,True,PROPN,3
login,login,True,VERB,5
assertNotification,assert,True,PROPN,6
assertNotification,Notification,True,NOUN,12
assertion,assertion,True,NOUN,9
assertColorOn,assert,True,PROPN,6
assertColorOn,Color,True,NOUN,5
assertColorOn,On,True,ADP,2
exitEditor,exit,True,NOUN,4
exitEditor,Editor,True,NOUN,6
goToWorkflow,go,True,VERB,2
goToWorkflow,To,True,PART,2
goToWorkflow,Workflow,True,VERB,8
goToCollections,go,True,VERB,2
goToCollections,To,True,PART,2
goToCollections,Collections,True,NOUN,11
goToMediaLibrary,go,True,VERB,2
goToMediaLibrary,To,True,PART,2
goToMediaLibrary,Media,True,NOUN,5
goToMediaLibrary,Library,True,NOUN,7
assertUnpublishedEntryInEditor,assert,True,PROPN,6
assertUnpublishedEntryInEditor,Unpublished,True,VERB,11
assertUnpublishedEntryInEditor,Entry,True,NOUN,5
assertUnpublishedEntryInEditor,In,True,ADP,2
assertUnpublishedEntryInEditor,Editor,True,NOUN,6
