Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
lookupClass,lookup,True,PROPN,6
lookupClass,Class,True,NOUN,5
addClass,add,True,VERB,3
addClass,Class,True,NOUN,5
rmClass,rm,True,PROPN,2
rmClass,Class,True,NOUN,5
o,o,True,X,1
r,r,True,X,1
lookupClass,lookup,True,PROPN,6
lookupClass,Class,True,NOUN,5
addClass,add,True,VERB,3
addClass,Class,True,NOUN,5
rmClass,rm,True,PROPN,2
rmClass,Class,True,NOUN,5
isContainer,is,True,AUX,2
isContainer,Container,True,NOUN,9
events,events,True,NOUN,6
eventualMovements,eventual,True,ADJ,8
eventualMovements,Movements,True,NOUN,9
movements,movements,True,NOUN,9
destroy,destroy,True,VERB,7
preventGrabbed,prevent,True,VERB,7
preventGrabbed,Grabbed,True,VERB,7
grab,grab,True,VERB,4
startBecauseMouseMoved,start,True,VERB,5
startBecauseMouseMoved,Because,True,SCONJ,7
startBecauseMouseMoved,Mouse,True,NOUN,5
startBecauseMouseMoved,Moved,True,VERB,5
canStart,can,True,AUX,3
canStart,Start,True,VERB,5
canMove,can,True,AUX,3
canMove,Move,True,VERB,4
manualStart,manual,True,NOUN,6
manualStart,Start,True,VERB,5
start,start,True,VERB,5
invalidTarget,invalid,True,ADJ,7
invalidTarget,Target,True,VERB,6
end,end,True,NOUN,3
ungrab,ungrab,False,NOUN,6
release,release,True,VERB,7
drop,drop,True,NOUN,4
remove,remove,True,VERB,6
cancel,cancel,True,VERB,6
cleanup,cleanup,True,NOUN,7
isInitialPlacement,is,True,AUX,2
isInitialPlacement,Initial,True,ADJ,7
isInitialPlacement,Placement,True,NOUN,9
accepted,accepted,True,VERB,8
findDropTarget,find,True,VERB,4
findDropTarget,Drop,True,VERB,4
findDropTarget,Target,True,VERB,6
moved,moved,True,VERB,5
over,over,True,ADP,4
out,out,True,ADV,3
drag,drag,True,VERB,4
spillOver,spill,True,NOUN,5
spillOver,Over,True,ADP,4
spillOut,spill,True,NOUN,5
spillOut,Out,True,ADV,3
renderMirrorImage,render,True,VERB,6
renderMirrorImage,Mirror,True,NOUN,6
renderMirrorImage,Image,True,NOUN,5
removeMirrorImage,remove,True,VERB,6
removeMirrorImage,Mirror,True,NOUN,6
removeMirrorImage,Image,True,NOUN,5
getImmediateChild,get,True,VERB,3
getImmediateChild,Immediate,True,ADJ,9
getImmediateChild,Child,True,NOUN,5
outside,outside,True,ADV,7
inside,inside,True,ADP,6
resolve,resolve,True,VERB,7
getReference,get,True,VERB,3
getReference,Reference,True,NOUN,9
isCopy,is,True,AUX,2
isCopy,Copy,True,VERB,4
dragula,dragula,False,VERB,7
touchy,touchy,True,ADJ,6
whichMouseButton,which,True,PRON,5
whichMouseButton,Mouse,True,NOUN,5
whichMouseButton,Button,True,PROPN,6
getOffset,get,True,VERB,3
getOffset,Offset,True,VERB,6
getScroll,get,True,VERB,3
getScroll,Scroll,True,PROPN,6
getElementBehindPoint,get,True,VERB,3
getElementBehindPoint,Element,True,NOUN,7
getElementBehindPoint,Behind,True,ADP,6
getElementBehindPoint,Point,True,VERB,5
never,never,True,ADV,5
always,always,True,ADV,6
getRectWidth,get,True,VERB,3
getRectWidth,Rect,True,VERB,4
getRectWidth,Width,True,PROPN,5
getRectHeight,get,True,VERB,3
getRectHeight,Rect,True,VERB,4
getRectHeight,Height,True,NOUN,6
getParent,get,True,VERB,3
getParent,Parent,True,NOUN,6
isInput,is,True,AUX,2
isInput,Input,True,NOUN,5
isEditable,is,True,AUX,2
isEditable,Editable,True,ADJ,8
manually,manually,True,ADV,8
nextEl,next,True,ADV,4
nextEl,El,True,NOUN,2
getEventHost,get,True,VERB,3
getEventHost,Event,True,NOUN,5
getEventHost,Host,True,NOUN,4
getCoord,get,True,VERB,3
getCoord,Coord,False,NOUN,5
atoa,atoa,False,VERB,4
atoa,atoa,False,VERB,4
run,run,True,VERB,3
debounce,debounce,False,NOUN,8
debounce,debounce,False,NOUN,8
on,on,True,ADP,2
once,once,True,ADV,4
off,off,True,ADV,3
emit,emit,True,VERB,4
emitter,emitter,True,NOUN,7
emitterSnapshot,emitter,True,NOUN,7
emitterSnapshot,Snapshot,True,NOUN,8
emitter,emitter,True,NOUN,7
emitter,emitter,True,NOUN,7
addEventEasy,add,True,VERB,3
addEventEasy,Event,True,NOUN,5
addEventEasy,Easy,True,ADJ,4
addEventHard,add,True,VERB,3
addEventHard,Event,True,NOUN,5
addEventHard,Hard,True,ADV,4
removeEventEasy,remove,True,VERB,6
removeEventEasy,Event,True,NOUN,5
removeEventEasy,Easy,True,ADJ,4
removeEventHard,remove,True,VERB,6
removeEventHard,Event,True,NOUN,5
removeEventHard,Hard,True,ADV,4
makeClassicEvent,make,True,VERB,4
makeClassicEvent,Classic,True,VERB,7
makeClassicEvent,Event,True,NOUN,5
makeCustomEvent,make,True,VERB,4
makeCustomEvent,Custom,True,NOUN,6
makeCustomEvent,Event,True,NOUN,5
fabricateEvent,fabricate,True,VERB,9
fabricateEvent,Event,True,NOUN,5
preventDefault,prevent,True,VERB,7
preventDefault,Default,True,NOUN,7
stopPropagation,stop,True,VERB,4
stopPropagation,Propagation,True,NOUN,11
wrapper,wrapper,True,NOUN,7
wrapperFactory,wrapper,True,NOUN,7
wrapperFactory,Factory,True,NOUN,7
wrap,wrap,True,VERB,4
unwrap,unwrap,True,NOUN,6
find,find,True,VERB,4
useNative,use,True,VERB,3
useNative,Native,True,ADJ,6
CustomEvent,Custom,True,NOUN,6
CustomEvent,Event,True,NOUN,5
CustomEvent,Custom,True,NOUN,6
CustomEvent,Event,True,NOUN,5
defaultSetTimout,default,True,NOUN,7
defaultSetTimout,Set,True,VERB,3
defaultSetTimout,Tim,True,PROPN,3
defaultSetTimout,out,True,ADV,3
defaultClearTimeout,default,True,NOUN,7
defaultClearTimeout,Clear,True,ADJ,5
defaultClearTimeout,Timeout,True,NOUN,7
runTimeout,run,True,VERB,3
runTimeout,Timeout,True,NOUN,7
runClearTimeout,run,True,VERB,3
runClearTimeout,Clear,True,ADJ,5
runClearTimeout,Timeout,True,NOUN,7
cleanUpNextTick,clean,True,VERB,5
cleanUpNextTick,Up,True,ADV,2
cleanUpNextTick,Next,True,ADV,4
cleanUpNextTick,Tick,True,VERB,4
drainQueue,drain,True,VERB,5
drainQueue,Queue,True,NOUN,5
nextTick,next,True,ADV,4
nextTick,Tick,True,VERB,4
Item,Item,True,NOUN,4
run,run,True,VERB,3
noop,noop,False,NOUN,4
listeners,listeners,True,NOUN,9
binding,binding,True,VERB,7
cwd,cwd,False,VERB,3
chdir,ch,True,NOUN,2
chdir,dir,True,PROPN,3
umask,u,True,NOUN,1
umask,mask,True,NOUN,4
setTimeout,set,True,VERB,3
setTimeout,Timeout,True,NOUN,7
setInterval,set,True,VERB,3
setInterval,Interval,True,NOUN,8
clearInterval,clear,True,ADJ,5
clearInterval,Interval,True,NOUN,8
Timeout,Timeout,True,NOUN,7
ref,ref,True,PROPN,3
close,close,True,VERB,5
enroll,enroll,True,VERB,6
unenroll,unenroll,False,VERB,8
onTimeout,on,True,ADP,2
onTimeout,Timeout,True,NOUN,7
active,active,True,ADJ,6
onNextTick,on,True,ADP,2
onNextTick,Next,True,ADV,4
onNextTick,Tick,True,VERB,4
c,c,True,NOUN,1
o,o,True,X,1
u,u,True,NOUN,1
U,U,True,NOUN,1
K,K,True,NOUN,1
z,z,True,X,1
H,H,True,NOUN,1
V,V,True,NOUN,1
G,G,True,NOUN,1
J,J,True,PROPN,1
Q,Q,True,VERB,1
e,e,True,X,1
W,W,True,NOUN,1
Z,Z,True,PROPN,1
ee,ee,False,PROPN,2
invalid,invalid,True,ADJ,7
u,u,True,NOUN,1
c,c,True,NOUN,1
a,a,True,PRON,1
b,b,True,X,1
T,T,True,NOUN,1
E,E,True,NOUN,1
x,x,True,VERB,1
S,S,True,NOUN,1
C,C,True,NOUN,1
O,O,True,INTJ,1
I,I,True,PRON,1
N,N,True,NOUN,1
X,X,True,NOUN,1
L,L,True,NOUN,1
Y,Y,True,NOUN,1
A,A,True,PRON,1
B,B,True,NOUN,1
a,a,True,PRON,1
P,P,True,NOUN,1
D,D,True,PROPN,1
n,n,True,CCONJ,1
F,F,True,NOUN,1
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
on,on,True,ADP,2
once,once,True,ADV,4
off,off,True,ADV,3
emit,emit,True,VERB,4
emitterSnapshot,emitter,True,NOUN,7
emitterSnapshot,Snapshot,True,NOUN,8
exports,exports,True,NOUN,7
e,e,True,X,1
t,t,True,NOUN,1
l,l,True,NOUN,1
i,i,True,PRON,1
u,u,True,NOUN,1
c,c,True,NOUN,1
d,d,True,X,1
m,m,True,VERB,1
v,v,True,X,1
p,p,True,NOUN,1
nextTick,next,True,ADV,4
nextTick,Tick,True,VERB,4
run,run,True,VERB,3
listeners,listeners,True,NOUN,9
binding,binding,True,VERB,7
cwd,cwd,False,VERB,3
chdir,ch,True,NOUN,2
chdir,dir,True,PROPN,3
umask,u,True,NOUN,1
umask,mask,True,NOUN,4
c,c,True,NOUN,1
setTimeout,set,True,VERB,3
setTimeout,Timeout,True,NOUN,7
setInterval,set,True,VERB,3
setInterval,Interval,True,NOUN,8
clearInterval,clear,True,ADJ,5
clearInterval,Interval,True,NOUN,8
ref,ref,True,PROPN,3
close,close,True,VERB,5
enroll,enroll,True,VERB,6
unenroll,unenroll,False,VERB,8
active,active,True,ADJ,6
isContainer,is,True,AUX,2
isContainer,Container,True,NOUN,9
events,events,True,NOUN,6
eventualMovements,eventual,True,ADJ,8
eventualMovements,Movements,True,NOUN,9
movements,movements,True,NOUN,9
destroy,destroy,True,VERB,7
preventGrabbed,prevent,True,VERB,7
preventGrabbed,Grabbed,True,VERB,7
grab,grab,True,VERB,4
startBecauseMouseMoved,start,True,VERB,5
startBecauseMouseMoved,Because,True,SCONJ,7
startBecauseMouseMoved,Mouse,True,NOUN,5
startBecauseMouseMoved,Moved,True,VERB,5
canStart,can,True,AUX,3
canStart,Start,True,VERB,5
canMove,can,True,AUX,3
canMove,Move,True,VERB,4
manualStart,manual,True,NOUN,6
manualStart,Start,True,VERB,5
start,start,True,VERB,5
invalidTarget,invalid,True,ADJ,7
invalidTarget,Target,True,VERB,6
end,end,True,NOUN,3
ungrab,ungrab,False,NOUN,6
release,release,True,VERB,7
drop,drop,True,NOUN,4
remove,remove,True,VERB,6
cancel,cancel,True,VERB,6
cleanup,cleanup,True,NOUN,7
isInitialPlacement,is,True,AUX,2
isInitialPlacement,Initial,True,ADJ,7
isInitialPlacement,Placement,True,NOUN,9
accepted,accepted,True,VERB,8
findDropTarget,find,True,VERB,4
findDropTarget,Drop,True,VERB,4
findDropTarget,Target,True,VERB,6
moved,moved,True,VERB,5
over,over,True,ADP,4
out,out,True,ADV,3
drag,drag,True,VERB,4
spillOver,spill,True,NOUN,5
spillOver,Over,True,ADP,4
spillOut,spill,True,NOUN,5
spillOut,Out,True,ADV,3
renderMirrorImage,render,True,VERB,6
renderMirrorImage,Mirror,True,NOUN,6
renderMirrorImage,Image,True,NOUN,5
removeMirrorImage,remove,True,VERB,6
removeMirrorImage,Mirror,True,NOUN,6
removeMirrorImage,Image,True,NOUN,5
getImmediateChild,get,True,VERB,3
getImmediateChild,Immediate,True,ADJ,9
getImmediateChild,Child,True,NOUN,5
outside,outside,True,ADV,7
inside,inside,True,ADP,6
resolve,resolve,True,VERB,7
getReference,get,True,VERB,3
getReference,Reference,True,NOUN,9
isCopy,is,True,AUX,2
isCopy,Copy,True,VERB,4
dragula,dragula,False,VERB,7
touchy,touchy,True,ADJ,6
whichMouseButton,which,True,PRON,5
whichMouseButton,Mouse,True,NOUN,5
whichMouseButton,Button,True,PROPN,6
getOffset,get,True,VERB,3
getOffset,Offset,True,VERB,6
getScroll,get,True,VERB,3
getScroll,Scroll,True,PROPN,6
getElementBehindPoint,get,True,VERB,3
getElementBehindPoint,Element,True,NOUN,7
getElementBehindPoint,Behind,True,ADP,6
getElementBehindPoint,Point,True,VERB,5
never,never,True,ADV,5
always,always,True,ADV,6
getRectWidth,get,True,VERB,3
getRectWidth,Rect,True,VERB,4
getRectWidth,Width,True,PROPN,5
getRectHeight,get,True,VERB,3
getRectHeight,Rect,True,VERB,4
getRectHeight,Height,True,NOUN,6
getParent,get,True,VERB,3
getParent,Parent,True,NOUN,6
isInput,is,True,AUX,2
isInput,Input,True,NOUN,5
isEditable,is,True,AUX,2
isEditable,Editable,True,ADJ,8
manually,manually,True,ADV,8
nextEl,next,True,ADV,4
nextEl,El,True,NOUN,2
getEventHost,get,True,VERB,3
getEventHost,Event,True,NOUN,5
getEventHost,Host,True,NOUN,4
getCoord,get,True,VERB,3
getCoord,Coord,False,NOUN,5
clickHandler,click,True,VERB,5
clickHandler,Handler,True,NOUN,7
s,s,True,NOUN,1
e,e,True,X,1
clickHandler,click,True,VERB,5
clickHandler,Handler,True,NOUN,7
useNative,use,True,VERB,3
useNative,Native,True,ADJ,6
CustomEvent,Custom,True,NOUN,6
CustomEvent,Event,True,NOUN,5
CustomEvent,Custom,True,NOUN,6
CustomEvent,Event,True,NOUN,5
addEventEasy,add,True,VERB,3
addEventEasy,Event,True,NOUN,5
addEventEasy,Easy,True,ADJ,4
addEventHard,add,True,VERB,3
addEventHard,Event,True,NOUN,5
addEventHard,Hard,True,ADV,4
removeEventEasy,remove,True,VERB,6
removeEventEasy,Event,True,NOUN,5
removeEventEasy,Easy,True,ADJ,4
removeEventHard,remove,True,VERB,6
removeEventHard,Event,True,NOUN,5
removeEventHard,Hard,True,ADV,4
makeClassicEvent,make,True,VERB,4
makeClassicEvent,Classic,True,VERB,7
makeClassicEvent,Event,True,NOUN,5
makeCustomEvent,make,True,VERB,4
makeCustomEvent,Custom,True,NOUN,6
makeCustomEvent,Event,True,NOUN,5
fabricateEvent,fabricate,True,VERB,9
fabricateEvent,Event,True,NOUN,5
