Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
createConfig,2,True,True,True,True,False
exports,1,True,False,True,True,False
isCommonJS,3,False,False,True,True,False
getDistLocation,3,True,True,True,True,False
isReactNativeRequire,4,False,True,True,True,False
isReactNativeModule,4,False,True,True,True,False
exports,1,True,False,True,True,False
Icon,1,True,False,True,False,False
createIcon,2,True,True,True,True,False
createPlatformLength,3,True,True,True,True,False
setFontSize,3,True,True,True,True,False
Dot,1,True,False,True,False,False
Dot,1,True,False,True,False,False
Dot,1,True,False,True,False,False
Dot,1,True,False,True,False,False
View,1,True,False,True,False,False
Dot,1,True,False,True,False,False
View,1,True,False,True,False,False
createTestBlock,3,True,True,True,True,False
emptyFunction,2,True,False,True,True,False
hasPointerEvent,3,True,True,True,True,False
pointerCaptureFn,3,False,True,True,True,False
setPointerEvent,3,True,True,True,True,False
getBoundingClientRect,4,True,True,True,True,False
createEventTarget,3,True,True,True,True,False
describeWithPointerEvent,4,True,True,True,True,False
testWithPointerType,4,True,False,True,True,False
addTouch,2,True,True,True,True,False
updateTouch,2,True,True,True,True,False
removeTouch,2,True,True,True,True,False
getTouches,2,True,True,True,True,False
getTargetTouches,3,True,True,True,True,False
clear,1,True,False,True,True,False
NoopComponent,2,False,False,True,False,False
MountedStateComponent,3,True,True,True,False,False
NoopComponent,2,False,False,True,False,False
getApplicationStyles,3,True,True,True,True,False
RootComponent,2,True,True,True,False,False
AlternativeComponent,2,True,True,True,False,False
handler,1,True,False,True,True,False
findCheckbox,2,True,True,True,True,False
createElement,2,True,True,True,True,False
getAttribute,2,True,True,True,True,False
getProperty,2,True,True,True,True,False
Custom,1,True,False,True,False,False
findNodeHandle,3,True,True,True,True,False
findImage,2,True,True,True,True,False
expectToBeCalledOnce,5,True,True,True,True,False
createSequenceTask,3,True,True,True,True,False
bigAsyncTest,3,False,True,True,True,False
expectToBeCalledOnce,5,True,True,True,True,False
clearTaskQueue,3,True,False,True,True,False
createSequenceTask,3,True,True,True,True,False
findSelect,2,True,True,True,True,False
TestCase,2,True,True,True,False,False
TestCase,2,True,True,True,False,False
platformSpecific,2,True,False,True,True,False
hydrate,1,True,True,True,True,False
render,1,True,True,True,True,False
hydrateLegacy,2,True,True,True,True,False
renderLegacy,2,True,True,True,True,False
insertStyleElement,3,True,False,True,True,False
removeStyleElement,3,True,True,True,True,False
findCheckbox,2,True,True,True,True,False
findSwitchTrack,3,True,True,True,True,False
findSwitchThumb,3,True,True,True,True,False
findInput,2,True,True,True,True,False
findTextArea,3,True,True,True,True,False
testIfDocumentIsFocused,5,True,True,True,True,False
createEvent,2,True,True,True,True,False
createKeyboardEvent,3,True,True,True,True,False
keydown,2,True,False,True,False,False
onSelectionChange,3,True,True,True,True,False
onSubmitEditing,3,True,True,True,True,False
Position,1,True,False,True,False,False
destructor,1,True,False,True,True,False
getRect,2,True,True,True,True,False
measureLayout,2,True,False,True,True,False
createStyledNode,3,True,True,True,True,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
createProps,2,True,True,True,True,False
testFocusableRole,3,True,False,True,True,False
dismissKeyboard,2,True,True,True,True,False
functionRef,2,True,True,True,True,False
Component,1,True,False,True,False,False
dangerousStyleValue,3,True,False,True,True,False
setValueForStyles,4,True,True,True,True,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
componentInit,2,False,False,True,True,False
Component,1,True,False,True,False,False
componentInit,2,False,False,True,True,False
Component,1,True,False,True,False,False
componentInit,2,False,False,True,True,False
Component,1,True,False,True,False,False
componentInit,2,False,False,True,True,False
Component,1,True,False,True,False,False
componentInit,2,False,False,True,True,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
componentInit,2,False,False,True,True,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
Component,1,True,False,True,False,False
