Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
createConfig,create,True,VERB,6
createConfig,Config,False,PROPN,6
exports,exports,True,NOUN,7
isCommonJS,is,True,AUX,2
isCommonJS,Common,True,ADJ,6
isCommonJS,JS,False,PROPN,2
getDistLocation,get,True,VERB,3
getDistLocation,Dist,True,NOUN,4
getDistLocation,Location,True,NOUN,8
isReactNativeRequire,is,True,AUX,2
isReactNativeRequire,React,True,VERB,5
isReactNativeRequire,Native,True,ADJ,6
isReactNativeRequire,Require,True,VERB,7
isReactNativeModule,is,True,AUX,2
isReactNativeModule,React,True,VERB,5
isReactNativeModule,Native,True,ADJ,6
isReactNativeModule,Module,True,NOUN,6
exports,exports,True,NOUN,7
Icon,Icon,True,NOUN,4
createIcon,create,True,VERB,6
createIcon,Icon,True,NOUN,4
createPlatformLength,create,True,VERB,6
createPlatformLength,Platform,True,NOUN,8
createPlatformLength,Length,True,NOUN,6
setFontSize,set,True,VERB,3
setFontSize,Font,True,PROPN,4
setFontSize,Size,True,NOUN,4
Dot,Dot,True,NOUN,3
Dot,Dot,True,NOUN,3
Dot,Dot,True,NOUN,3
Dot,Dot,True,NOUN,3
View,View,True,NOUN,4
Dot,Dot,True,NOUN,3
View,View,True,NOUN,4
createTestBlock,create,True,VERB,6
createTestBlock,Test,True,VERB,4
createTestBlock,Block,True,VERB,5
emptyFunction,empty,True,ADJ,5
emptyFunction,Function,True,NOUN,8
hasPointerEvent,has,True,VERB,3
hasPointerEvent,Pointer,True,NOUN,7
hasPointerEvent,Event,True,NOUN,5
pointerCaptureFn,pointer,True,NOUN,7
pointerCaptureFn,Capture,True,VERB,7
pointerCaptureFn,Fn,False,PROPN,2
setPointerEvent,set,True,VERB,3
setPointerEvent,Pointer,True,NOUN,7
setPointerEvent,Event,True,NOUN,5
getBoundingClientRect,get,True,VERB,3
getBoundingClientRect,Bounding,True,VERB,8
getBoundingClientRect,Client,True,NOUN,6
getBoundingClientRect,Rect,True,VERB,4
createEventTarget,create,True,VERB,6
createEventTarget,Event,True,NOUN,5
createEventTarget,Target,True,VERB,6
describeWithPointerEvent,describe,True,VERB,8
describeWithPointerEvent,With,True,ADP,4
describeWithPointerEvent,Pointer,True,NOUN,7
