Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
installPlugin,install,True,VERB,7
installPlugin,Plugin,True,VERB,6
checkIsArrayPluginsObject,check,True,VERB,5
checkIsArrayPluginsObject,Is,True,AUX,2
checkIsArrayPluginsObject,Array,True,VERB,5
checkIsArrayPluginsObject,Plugins,True,NOUN,7
checkIsArrayPluginsObject,Object,True,VERB,6
addPluginToServerlessFile,add,True,VERB,3
addPluginToServerlessFile,Plugin,True,VERB,6
addPluginToServerlessFile,To,True,PART,2
addPluginToServerlessFile,Server,True,PROPN,6
addPluginToServerlessFile,less,True,ADV,4
addPluginToServerlessFile,File,True,VERB,4
npmInstall,npm,False,PROPN,3
npmInstall,Install,True,VERB,7
requestManualUpdate,request,True,NOUN,7
requestManualUpdate,Manual,True,NOUN,6
requestManualUpdate,Update,True,VERB,6
exports,exports,True,NOUN,7
uninstallPlugin,uninstall,True,ADJ,9
uninstallPlugin,Plugin,True,VERB,6
removePluginFromServerlessFile,remove,True,VERB,6
removePluginFromServerlessFile,Plugin,True,VERB,6
removePluginFromServerlessFile,From,True,ADP,4
removePluginFromServerlessFile,Server,True,PROPN,6
removePluginFromServerlessFile,less,True,ADV,4
removePluginFromServerlessFile,File,True,VERB,4
npmUninstall,npm,False,PROPN,3
npmUninstall,Uninstall,True,ADJ,9
requestManualUpdate,request,True,NOUN,7
requestManualUpdate,Manual,True,NOUN,6
requestManualUpdate,Update,True,VERB,6
http,http,False,PROPN,4
helloWorldHandler,hello,True,INTJ,5
helloWorldHandler,World,True,NOUN,5
helloWorldHandler,Handler,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
normalizeSchemaObject,normalize,True,VERB,9
normalizeSchemaObject,Schema,True,PROPN,6
normalizeSchemaObject,Object,True,VERB,6
normalizeObject,normalize,True,VERB,9
normalizeObject,Object,True,VERB,6
normalizeUserConfig,normalize,True,VERB,9
normalizeUserConfig,User,True,NOUN,4
normalizeUserConfig,Config,False,PROPN,6
denormalizeUserConfig,denormalize,False,VERB,11
denormalizeUserConfig,User,True,NOUN,4
denormalizeUserConfig,Config,False,PROPN,6
addPropertiesToSchema,add,True,VERB,3
addPropertiesToSchema,Properties,True,NOUN,10
addPropertiesToSchema,To,True,PART,2
addPropertiesToSchema,Schema,True,PROPN,6
deepFreeze,deep,True,ADV,4
deepFreeze,Freeze,True,VERB,6
filterIrreleventEventConfigurationErrors,filter,True,VERB,6
filterIrreleventEventConfigurationErrors,Irrelevent,False,VERB,10
filterIrreleventEventConfigurationErrors,Event,True,NOUN,5
filterIrreleventEventConfigurationErrors,Configuration,True,NOUN,13
filterIrreleventEventConfigurationErrors,Errors,True,NOUN,6
filterIrrelevantAnyOfErrors,filter,True,VERB,6
filterIrrelevantAnyOfErrors,Irrelevant,True,ADJ,10
filterIrrelevantAnyOfErrors,Any,True,PRON,3
filterIrrelevantAnyOfErrors,Of,True,ADP,2
filterIrrelevantAnyOfErrors,Errors,True,NOUN,6
normalizeInstancePath,normalize,True,VERB,9
normalizeInstancePath,Instance,True,PROPN,8
normalizeInstancePath,Path,True,NOUN,4
improveMessages,improve,True,VERB,7
improveMessages,Messages,True,NOUN,8
filterDuplicateErrors,filter,True,VERB,6
filterDuplicateErrors,Duplicate,True,VERB,9
filterDuplicateErrors,Errors,True,NOUN,6
exports,exports,True,NOUN,7
usePattern,use,True,VERB,3
usePattern,Pattern,True,NOUN,7
getRegExp,get,True,VERB,3
getRegExp,Reg,True,NOUN,3
getRegExp,Exp,True,PROPN,3
getCacheDir,get,True,VERB,3
getCacheDir,Cache,True,PROPN,5
getCacheDir,Dir,True,PROPN,3
generate,generate,True,VERB,8
getValidate,get,True,VERB,3
getValidate,Validate,True,ADJ,8
resolveCommands,resolve,True,VERB,7
resolveCommands,Commands,True,NOUN,8
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
getCommandSuggestion,get,True,VERB,3
getCommandSuggestion,Command,True,NOUN,7
getCommandSuggestion,Suggestion,True,NOUN,10
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
getProviderLinkUid,get,True,VERB,3
getProviderLinkUid,Provider,True,NOUN,8
getProviderLinkUid,Link,True,NOUN,4
getProviderLinkUid,Uid,False,ADJ,3
awsAccessKeyIdInput,aws,False,NOUN,3
awsAccessKeyIdInput,Access,True,NOUN,6
awsAccessKeyIdInput,Key,True,ADJ,3
awsAccessKeyIdInput,Id,True,PROPN,2
awsAccessKeyIdInput,Input,True,NOUN,5
awsSecretAccessKeyInput,aws,False,NOUN,3
awsSecretAccessKeyInput,Secret,True,ADJ,6
awsSecretAccessKeyInput,Access,True,NOUN,6
awsSecretAccessKeyInput,Key,True,ADJ,3
awsSecretAccessKeyInput,Input,True,NOUN,5
formatProviderName,format,True,NOUN,6
formatProviderName,Provider,True,NOUN,8
formatProviderName,Name,True,NOUN,4
credentialsSetupChoice,credentials,True,NOUN,11
credentialsSetupChoice,Setup,True,NOUN,5
credentialsSetupChoice,Choice,True,NOUN,6
loginOrRegisterQuestion,login,True,VERB,5
loginOrRegisterQuestion,Or,True,CCONJ,2
loginOrRegisterQuestion,Register,True,NOUN,8
loginOrRegisterQuestion,Question,True,NOUN,8
orgUpdateConfirm,org,True,NOUN,3
orgUpdateConfirm,Update,True,VERB,6
orgUpdateConfirm,Confirm,True,VERB,7
appUpdateConfirm,app,True,PROPN,3
appUpdateConfirm,Update,True,VERB,6
appUpdateConfirm,Confirm,True,VERB,7
orgsChoice,orgs,False,VERB,4
orgsChoice,Choice,True,NOUN,6
appNameChoice,app,True,PROPN,3
appNameChoice,Name,True,NOUN,4
appNameChoice,Choice,True,NOUN,6
appNameInput,app,True,PROPN,3
appNameInput,Name,True,NOUN,4
appNameInput,Input,True,NOUN,5
printMessage,print,True,NOUN,5
printMessage,Message,True,NOUN,7
isMissingFileError,is,True,AUX,2
isMissingFileError,Missing,True,VERB,7
isMissingFileError,File,True,VERB,4
isMissingFileError,Error,True,NOUN,5
throwDotenvError,throw,True,VERB,5
throwDotenvError,Dot,True,NOUN,3
throwDotenvError,env,False,NOUN,3
throwDotenvError,Error,True,NOUN,5
loadDotenvFrom,load,True,NOUN,4
loadDotenvFrom,Dot,True,NOUN,3
loadDotenvFrom,env,False,NOUN,3
loadDotenvFrom,From,True,ADP,4
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
resolveArgsSchema,resolve,True,VERB,7
resolveArgsSchema,Args,False,PROPN,4
resolveArgsSchema,Schema,True,PROPN,6
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
reportEventualErrors,report,True,NOUN,6
reportEventualErrors,Eventual,True,ADJ,8
reportEventualErrors,Errors,True,NOUN,6
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
finalizeSource,finalize,True,VERB,8
finalizeSource,Source,True,NOUN,6
finalizeVariable,finalize,True,VERB,8
finalizeVariable,Variable,True,ADJ,8
registerVarEscape,register,True,VERB,8
registerVarEscape,Var,True,PROPN,3
registerVarEscape,Escape,True,VERB,6
registerSlashEscape,register,True,VERB,8
registerSlashEscape,Slash,True,VERB,5
registerSlashEscape,Escape,True,VERB,6
registerContext,register,True,VERB,8
registerContext,Context,True,NOUN,7
releaseContext,release,True,VERB,7
releaseContext,Context,True,NOUN,7
normalizeMetaVariables,normalize,True,VERB,9
normalizeMetaVariables,Meta,True,VERB,4
normalizeMetaVariables,Variables,True,NOUN,9
generateMeta,generate,True,VERB,8
generateMeta,Meta,True,VERB,4
parseString,parse,True,VERB,5
parseString,String,True,NOUN,6
parseLiteralSource,parse,True,VERB,5
parseLiteralSource,Literal,True,VERB,7
parseLiteralSource,Source,True,NOUN,6
exports,exports,True,NOUN,7
parseEntries,parse,True,VERB,5
parseEntries,Entries,True,NOUN,7
exports,exports,True,NOUN,7
processVariables,process,True,NOUN,7
processVariables,Variables,True,NOUN,9
exports,exports,True,NOUN,7
readFile,read,True,VERB,4
readFile,File,True,VERB,4
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
addCustomResourceToService,add,True,VERB,3
addCustomResourceToService,Custom,True,NOUN,6
addCustomResourceToService,Resource,True,NOUN,8
addCustomResourceToService,To,True,PART,2
addCustomResourceToService,Service,True,NOUN,7
handler,handler,True,NOUN,7
updateAccount,update,True,VERB,6
updateAccount,Account,True,NOUN,7
create,create,True,VERB,6
update,update,True,VERB,6
remove,remove,True,VERB,6
handler,handler,True,NOUN,7
create,create,True,VERB,6
update,update,True,VERB,6
remove,remove,True,VERB,6
getStatementId,get,True,VERB,3
getStatementId,Statement,True,NOUN,9
getStatementId,Id,True,PROPN,2
addPermission,add,True,VERB,3
addPermission,Permission,True,NOUN,10
removePermission,remove,True,VERB,6
removePermission,Permission,True,NOUN,10
getUpdateConfigFromCurrentSetup,get,True,VERB,3
getUpdateConfigFromCurrentSetup,Update,True,VERB,6
getUpdateConfigFromCurrentSetup,Config,False,PROPN,6
getUpdateConfigFromCurrentSetup,From,True,ADP,4
getUpdateConfigFromCurrentSetup,Current,True,ADJ,7
getUpdateConfigFromCurrentSetup,Setup,True,NOUN,5
recursiveFind,recursive,True,VERB,9
recursiveFind,Find,True,VERB,4
findUserPoolByName,find,True,VERB,4
findUserPoolByName,User,True,NOUN,4
findUserPoolByName,Pool,True,NOUN,4
findUserPoolByName,By,True,ADP,2
findUserPoolByName,Name,True,NOUN,4
getConfiguration,get,True,VERB,3
getConfiguration,Configuration,True,NOUN,13
updateConfiguration,update,True,VERB,6
updateConfiguration,Configuration,True,NOUN,13
removeConfiguration,remove,True,VERB,6
removeConfiguration,Configuration,True,NOUN,13
removeExistingLambdas,remove,True,VERB,6
removeExistingLambdas,Existing,True,VERB,8
removeExistingLambdas,Lambdas,True,NOUN,7
handler,handler,True,NOUN,7
create,create,True,VERB,6
update,update,True,VERB,6
remove,remove,True,VERB,6
createEventBus,create,True,VERB,6
createEventBus,Event,True,NOUN,5
createEventBus,Bus,True,NOUN,3
deleteEventBus,delete,True,VERB,6
deleteEventBus,Event,True,NOUN,5
deleteEventBus,Bus,True,NOUN,3
updateRuleConfiguration,update,True,VERB,6
updateRuleConfiguration,Rule,True,VERB,4
updateRuleConfiguration,Configuration,True,NOUN,13
removeRuleConfiguration,remove,True,VERB,6
removeRuleConfiguration,Rule,True,VERB,4
removeRuleConfiguration,Configuration,True,NOUN,13
updateTargetConfiguration,update,True,VERB,6
updateTargetConfiguration,Target,True,VERB,6
updateTargetConfiguration,Configuration,True,NOUN,13
removeTargetConfiguration,remove,True,VERB,6
removeTargetConfiguration,Target,True,VERB,6
removeTargetConfiguration,Configuration,True,NOUN,13
getStatementId,get,True,VERB,3
getStatementId,Statement,True,NOUN,9
getStatementId,Id,True,PROPN,2
addPermission,add,True,VERB,3
addPermission,Permission,True,NOUN,10
removePermission,remove,True,VERB,6
removePermission,Permission,True,NOUN,10
getEventBusName,get,True,VERB,3
getEventBusName,Event,True,NOUN,5
getEventBusName,Bus,True,NOUN,3
getEventBusName,Name,True,NOUN,4
getEventBusTargetId,get,True,VERB,3
getEventBusTargetId,Event,True,NOUN,5
getEventBusTargetId,Bus,True,NOUN,3
getEventBusTargetId,Target,True,VERB,6
getEventBusTargetId,Id,True,PROPN,2
handler,handler,True,NOUN,7
create,create,True,VERB,6
update,update,True,VERB,6
remove,remove,True,VERB,6
generateId,generate,True,VERB,8
generateId,Id,True,PROPN,2
createFilter,create,True,VERB,6
createFilter,Filter,True,PROPN,6
getConfiguration,get,True,VERB,3
getConfiguration,Configuration,True,NOUN,13
updateConfiguration,update,True,VERB,6
updateConfiguration,Configuration,True,NOUN,13
removeConfiguration,remove,True,VERB,6
removeConfiguration,Configuration,True,NOUN,13
getStatementId,get,True,VERB,3
getStatementId,Statement,True,NOUN,9
getStatementId,Id,True,PROPN,2
addPermission,add,True,VERB,3
addPermission,Permission,True,NOUN,10
removePermission,remove,True,VERB,6
removePermission,Permission,True,NOUN,10
response,response,True,NOUN,8
getLambdaArn,get,True,VERB,3
getLambdaArn,Lambda,True,NOUN,6
getLambdaArn,Arn,False,NOUN,3
getEnvironment,get,True,VERB,3
getEnvironment,Environment,True,NOUN,11
handlerWrapper,handler,True,NOUN,7
handlerWrapper,Wrapper,True,NOUN,7
wait,wait,True,VERB,4
getServiceInstance,get,True,VERB,3
getServiceInstance,Service,True,NOUN,7
getServiceInstance,Instance,True,PROPN,8
callAws,call,True,VERB,4
callAws,Aws,False,VERB,3
awsRequest,aws,False,NOUN,3
awsRequest,Request,True,NOUN,7
callWithRetry,call,True,VERB,4
callWithRetry,With,True,ADP,4
callWithRetry,Retry,True,NOUN,5
callWithRetry,call,True,VERB,4
callWithRetry,With,True,ADP,4
callWithRetry,Retry,True,NOUN,5
didVpcChange,did,True,VERB,3
didVpcChange,Vpc,False,NOUN,3
didVpcChange,Change,True,VERB,6
resourceTypeToErrorCodePostfix,resource,True,NOUN,8
resourceTypeToErrorCodePostfix,Type,True,NOUN,4
resourceTypeToErrorCodePostfix,To,True,PART,2
resourceTypeToErrorCodePostfix,Error,True,NOUN,5
resourceTypeToErrorCodePostfix,Code,True,NOUN,4
resourceTypeToErrorCodePostfix,Postfix,True,VERB,7
callWithRetry,call,True,VERB,4
callWithRetry,With,True,ADP,4
callWithRetry,Retry,True,NOUN,5
getMetrics,get,True,VERB,3
getMetrics,Metrics,True,NOUN,7
getDatapointsByLabel,get,True,VERB,3
getDatapointsByLabel,Data,True,NOUN,4
getDatapointsByLabel,points,True,VERB,6
getDatapointsByLabel,By,True,ADP,2
getDatapointsByLabel,Label,True,PROPN,5
samePriority,same,True,ADJ,4
samePriority,Priority,True,NOUN,8
sameFunction,same,True,ADJ,4
sameFunction,Function,True,NOUN,8
sameListener,same,True,ADJ,4
sameListener,Listener,True,PROPN,8
caseInsensitive,case,True,NOUN,4
caseInsensitive,Insensitive,True,VERB,11
createApiKeyResource,create,True,VERB,6
createApiKeyResource,Api,False,PROPN,3
createApiKeyResource,Key,True,ADJ,3
createApiKeyResource,Resource,True,NOUN,8
resolveAccountInfo,resolve,True,VERB,7
resolveAccountInfo,Account,True,NOUN,7
