Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
webpackUniversalModuleDefinition,5,True,True,True,False,False
attributeChanged,2,True,True,True,True,False
attributeChanged,2,True,True,True,True,False
dispatch,1,True,True,True,True,False
dispatch,1,True,True,True,True,False
attributesObserver,2,True,False,True,True,False
_unsupportedIterableToArray,4,True,True,True,True,False
_arrayLikeToArray,4,True,True,True,True,False
F,1,True,False,False,False,False
_createForOfIteratorHelper,5,True,True,True,True,False
loop,1,True,False,True,True,False
loop,1,True,False,True,True,False
observe,1,True,True,True,True,False
notify,1,True,True,True,True,False
notify,1,True,True,True,True,False
elements,1,True,False,True,True,False
elements,1,True,False,True,True,False
drop,1,True,False,True,True,False
drop,1,True,False,True,True,False
flush,1,True,False,True,True,False
flush,1,True,False,True,True,False
matches,1,True,False,True,True,False
matches,1,True,False,True,True,False
notifier,1,True,False,True,True,False
notifier,1,True,False,True,True,False
parse,1,True,True,True,True,False
parse,1,True,True,True,True,False
attachShadow,2,True,True,True,True,False
qsaObserver,2,False,False,True,True,False
expando,3,False,True,True,False,False
expando,3,False,True,True,False,False
HTMLBuiltIn,3,False,True,True,False,False
HTMLBuiltIn,3,False,True,True,False,False
handle,1,True,True,True,True,False
handle,1,True,True,True,True,False
whenDefined,2,True,True,True,True,False
whenDefined,2,True,True,True,True,False
define,1,True,True,True,True,False
get,1,True,True,True,True,False
value,1,True,False,True,True,False
get,1,True,True,True,True,False
LI,1,True,False,True,False,False
LI,1,True,False,True,False,False
value,1,True,False,True,True,False
parseShadow,2,True,True,True,True,False
parseShadow,2,True,True,True,True,False
construct,1,True,True,True,True,False
getCE,2,False,True,True,True,False
getCE,2,False,True,True,True,False
_handle,1,True,True,True,True,False
_handle,1,True,True,True,True,False
handle,1,True,True,True,True,False
attachShadow,2,True,True,True,True,False
_whenDefined2,3,True,True,False,False,False
_whenDefined2,3,True,True,False,False,False
HTMLBuiltIn,3,False,True,True,False,False
value,1,True,False,True,True,False
value,1,True,False,True,True,False
value,1,True,False,True,True,False
anArray,2,True,True,True,True,False
numtype,2,False,False,True,False,False
numtype,2,False,False,True,False,False
getLens,2,True,True,True,True,False
byteLength,2,True,False,True,True,False
_byteLength,2,True,False,True,True,False
toByteArray,3,True,True,True,True,False
tripletToBase64,3,True,True,True,True,False
encodeChunk,2,True,False,True,True,False
fromByteArray,3,True,True,True,True,False
exports,1,True,False,True,True,False
typedArraySupport,3,True,True,True,True,False
createBuffer,2,True,True,True,True,False
Buffer,1,True,False,True,False,False
from,1,True,False,True,True,False
from,1,True,False,True,True,False
assertSize,2,True,False,True,True,False
alloc,1,False,False,True,True,False
alloc,1,False,False,True,True,False
allocUnsafe,2,False,False,True,True,False
allocUnsafe,2,False,False,True,True,False
allocUnsafeSlow,3,False,False,True,True,False
fromString,2,True,False,True,True,False
fromArrayLike,3,True,True,True,True,False
fromArrayView,3,True,True,True,True,False
fromArrayBuffer,3,True,True,True,True,False
fromObject,2,True,True,True,True,False
checked,1,True,True,True,True,False
SlowBuffer,2,True,False,True,False,False
isBuffer,2,True,False,True,True,False
isBuffer,2,True,False,True,True,False
compare,1,True,True,True,True,False
compare,1,True,True,True,True,False
isEncoding,2,True,True,True,True,False
isEncoding,2,True,True,True,True,False
concat,1,False,False,True,True,False
concat,1,False,False,True,True,False
byteLength,2,True,False,True,True,False
slowToString,3,True,False,True,True,False
swap,1,True,True,True,True,False
swap16,1,True,True,True,True,False
swap16,1,True,True,True,True,False
swap32,1,True,False,True,True,False
swap32,1,True,False,True,True,False
swap64,1,True,True,True,True,False
swap64,1,True,True,True,True,False
toString,2,True,False,True,True,False
toString,2,True,False,True,True,False
equals,1,True,True,True,True,False
equals,1,True,True,True,True,False
inspect,1,True,True,True,True,False
inspect,1,True,True,True,True,False
compare,1,True,True,True,True,False
compare,1,True,True,True,True,False
bidirectionalIndexOf,3,True,False,True,True,False
read,1,True,True,True,True,False
arrayIndexOf,3,True,True,True,True,False
includes,1,True,True,True,True,False
includes,1,True,True,True,True,False
indexOf,2,True,False,True,True,False
indexOf,2,True,False,True,True,False
lastIndexOf,3,True,False,True,True,False
lastIndexOf,3,True,False,True,True,False
hexWrite,2,True,True,True,True,False
utf8Write,2,True,True,True,True,False
asciiWrite,2,False,True,True,True,False
base64Write,2,True,True,True,True,False
ucs2Write,3,False,True,False,False,False
write,1,True,True,True,True,False
write,1,True,True,True,True,False
toJSON,2,False,False,True,True,False
toJSON,2,False,False,True,True,False
base64Slice,2,True,False,True,True,False
utf8Slice,2,True,False,True,True,False
decodeCodePointsArray,4,True,True,True,True,False
asciiSlice,2,False,False,True,True,False
latin1Slice,3,True,False,False,False,False
hexSlice,2,True,False,True,True,False
utf16leSlice,3,False,False,True,False,False
slice,1,True,True,True,True,False
slice,1,True,True,True,True,False
checkOffset,2,True,True,True,True,False
readUIntLE,4,False,True,False,True,False
readUIntLE,4,False,True,False,True,False
readUIntBE,4,True,True,False,True,False
readUIntBE,4,True,True,False,True,False
readUInt8,2,True,True,True,True,False
readUInt8,2,True,True,True,True,False
readUInt16LE,3,False,True,True,True,False
readUInt16LE,3,False,True,True,True,False
readUInt16BE,3,True,True,True,True,False
readUInt16BE,3,True,True,True,True,False
readUInt32LE,3,False,True,True,True,False
readUInt32LE,3,False,True,True,True,False
readUInt32BE,3,True,True,True,True,False
readUInt32BE,3,True,True,True,True,False
readBigUInt64LE,4,False,True,True,True,False
readBigUInt64BE,4,True,True,True,True,False
readIntLE,3,False,True,True,True,False
readIntLE,3,False,True,True,True,False
readIntBE,3,True,True,True,True,False
readIntBE,3,True,True,True,True,False
readInt8,2,True,True,True,True,False
readInt8,2,True,True,True,True,False
readInt16LE,3,False,True,True,True,False
readInt16LE,3,False,True,True,True,False
readInt16BE,3,True,True,True,True,False
readInt16BE,3,True,True,True,True,False
readInt32LE,3,False,True,True,True,False
readInt32LE,3,False,True,True,True,False
readInt32BE,3,True,True,True,True,False
readInt32BE,3,True,True,True,True,False
readBigInt64LE,4,False,True,True,True,False
readBigInt64BE,4,True,True,True,True,False
readFloatLE,3,False,True,True,True,False
readFloatLE,3,False,True,True,True,False
readFloatBE,3,True,True,True,True,False
readFloatBE,3,True,True,True,True,False
readDoubleLE,3,False,True,True,True,False
readDoubleLE,3,False,True,True,True,False
readDoubleBE,3,True,True,True,True,False
readDoubleBE,3,True,True,True,True,False
checkInt,2,True,True,True,True,False
writeUIntLE,4,False,True,False,True,False
writeUIntLE,4,False,True,False,True,False
writeUIntBE,4,True,True,False,True,False
writeUIntBE,4,True,True,False,True,False
writeUInt8,2,True,True,True,True,False
writeUInt8,2,True,True,True,True,False
writeUInt16LE,3,False,True,True,True,False
writeUInt16LE,3,False,True,True,True,False
writeUInt16BE,3,True,True,True,True,False
writeUInt16BE,3,True,True,True,True,False
writeUInt32LE,3,False,True,True,True,False
writeUInt32LE,3,False,True,True,True,False
writeUInt32BE,3,True,True,True,True,False
writeUInt32BE,3,True,True,True,True,False
wrtBigUInt64LE,4,False,False,True,True,False
wrtBigUInt64BE,4,False,False,True,True,False
writeBigUInt64LE,4,False,True,True,True,False
writeBigUInt64BE,4,True,True,True,True,False
writeIntLE,3,False,True,True,True,False
writeIntLE,3,False,True,True,True,False
writeIntBE,3,True,True,True,True,False
writeIntBE,3,True,True,True,True,False
writeInt8,2,True,True,True,True,False
writeInt8,2,True,True,True,True,False
writeInt16LE,3,False,True,True,True,False
writeInt16LE,3,False,True,True,True,False
writeInt16BE,3,True,True,True,True,False
writeInt16BE,3,True,True,True,True,False
writeInt32LE,3,False,True,True,True,False
writeInt32LE,3,False,True,True,True,False
writeInt32BE,3,True,True,True,True,False
writeInt32BE,3,True,True,True,True,False
writeBigInt64LE,4,False,True,True,True,False
writeBigInt64BE,4,True,True,True,True,False
checkIEEE754,3,False,True,True,False,False
writeFloat,2,True,True,True,True,False
writeFloatLE,3,False,True,True,True,False
writeFloatLE,3,False,True,True,True,False
writeFloatBE,3,True,True,True,True,False
writeFloatBE,3,True,True,True,True,False
writeDouble,2,True,True,True,True,False
writeDoubleLE,3,False,True,True,True,False
writeDoubleLE,3,False,True,True,True,False
writeDoubleBE,3,True,True,True,True,False
writeDoubleBE,3,True,True,True,True,False
copy,1,True,False,True,True,False
copy,1,True,False,True,True,False
fill,1,True,True,True,True,False
fill,1,True,True,True,True,False
E,1,True,False,False,False,False
addNumericalSeparator,3,True,True,True,True,False
checkBounds,2,True,True,True,True,False
checkIntBI,3,True,True,True,True,False
validateNumber,2,True,True,True,True,False
boundsError,2,True,False,True,True,False
base64clean,2,True,True,True,False,False
utf8ToBytes,3,True,False,True,True,False
asciiToBytes,3,False,False,True,True,False
utf16leToBytes,4,False,False,True,False,False
base64ToBytes,3,True,False,True,True,False
blitBuffer,3,True,True,False,False,False
isInstance,2,True,False,True,True,False
numberIsNaN,4,False,False,False,True,False
defineBigIntMethod,4,True,True,True,True,False
BufferBigIntNotDefined,5,True,True,True,False,False
toString,2,True,False,True,True,False
toString,2,True,False,True,True,False
i,1,True,False,False,True,False
i,1,True,False,False,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
preventDefault,2,True,True,True,True,False
CustomEvent,2,True,False,True,False,False
useColors,2,True,True,True,True,False
j,1,True,False,False,True,False
formatArgs,2,False,False,True,True,False
log,1,True,True,True,True,False
save,1,True,True,True,True,False
load,1,True,False,True,True,False
localstorage,2,True,False,True,False,False
selectColor,2,True,False,True,True,False
disabled,1,True,True,True,True,False
enabled,1,True,True,True,True,False
debug,1,True,False,True,True,False
enable,1,True,True,True,True,False
disable,1,True,False,True,True,False
enabled,1,True,True,True,True,False
coerce,1,True,False,True,True,False
toObject,2,True,True,True,True,False
assignKey,2,True,True,True,True,False
assign,1,True,True,True,True,False
deepAssign,2,True,True,True,True,False
deepAssign,2,True,True,True,True,False
exports,1,True,False,True,True,False
read,1,True,True,True,True,False
write,1,True,True,True,True,False
exports,1,True,False,True,True,False
isBuffer,2,True,False,True,True,False
isSlowBuffer,3,True,False,True,True,False
isFunction,2,True,False,True,True,False
exports,1,True,False,True,True,False
createLayout,2,True,True,True,True,False
createLayout,2,True,True,True,True,False
TextLayout,2,True,False,True,False,False
update,1,True,True,True,True,False
_setupSpaceGlyphs,3,True,False,True,True,False
getGlyph,2,True,True,True,True,False
computeMetrics,2,True,True,True,True,False
addGetter,2,True,True,True,True,False
wrapper,1,True,False,True,True,False
getGlyphById,4,False,True,True,True,False
getXHeight,3,True,True,False,True,False
getMGlyph,3,True,True,False,True,False
getCapHeight,3,True,True,True,True,False
getKerning,2,False,True,True,True,False
getAlignType,3,True,True,True,True,False
findChar,2,True,True,True,True,False
noop,1,False,False,True,True,False
hasXML2,3,False,True,False,False,False
exports,1,True,False,True,True,False
isArrayBuffer,3,True,True,True,True,False
getBinaryOpts,3,True,True,True,True,False
exports,1,True,False,True,True,False
toObject,2,True,True,True,True,False
shouldUseNative,3,True,True,True,True,False
parseBMFontAscii,4,False,True,True,True,False
parseBMFontAscii,4,False,True,True,True,False
splitLine,2,True,True,True,True,False
parseData,2,True,True,True,True,False
parseIntList,3,True,True,True,True,False
readBMFontBinary,4,False,True,True,True,False
readBMFontBinary,4,False,True,True,True,False
readBlock,2,True,True,True,True,False
readInfo,2,True,True,True,True,False
readCommon,2,True,True,True,True,False
readPages,2,True,True,True,True,False
readChars,2,True,True,True,True,False
readKernings,2,False,True,True,True,False
readNameNT,3,False,True,True,True,False
readStringNT,3,False,True,True,True,False
parse,1,True,True,True,True,False
parse,1,True,True,True,True,False
getAttribs,2,False,True,True,True,False
getAttribList,3,False,True,True,True,False
mapName,2,True,False,True,True,False
parseAttributes,2,True,True,True,True,False
parseAttributes,2,True,True,True,True,False
parseIntList,3,True,True,True,True,False
trim,1,True,True,True,True,False
isArray,2,True,True,True,True,False
exports,1,True,False,True,True,False
noConflict,2,True,False,True,True,False
conflict,1,True,False,True,True,False
defaultSetTimout,4,False,True,True,False,False
defaultClearTimeout,3,True,False,True,True,False
runTimeout,2,True,True,True,True,False
runClearTimeout,3,True,True,True,True,False
cleanUpNextTick,4,True,True,True,True,False
drainQueue,2,True,True,True,True,False
nextTick,2,True,True,True,True,False
Item,1,True,False,True,False,False
run,1,True,True,True,True,False
noop,1,False,False,True,True,False
listeners,1,True,False,True,True,False
binding,1,True,True,True,True,False
cwd,1,False,True,True,True,False
chdir,2,False,False,True,False,False
umask,2,True,False,False,False,False
bind,1,True,True,True,True,False
Promise,1,True,True,True,False,False
handle,1,True,True,True,True,False
resolve,1,True,True,True,True,False
reject,1,True,True,True,True,False
finale,1,True,False,True,True,False
Handler,1,True,False,True,False,False
doResolve,2,True,True,True,True,False
then,1,True,False,True,True,False
res,1,True,True,True,True,False
all,1,True,False,True,True,False
resolve,1,True,True,True,True,False
reject,1,True,True,True,True,False
race,1,True,False,True,True,False
_setImmediateFn,3,False,True,True,True,False
_setImmediateFn,3,False,True,True,True,False
createQuadElements,3,True,True,True,True,False
createQuadElements,3,True,True,True,True,False
minMax,2,True,False,True,True,False
stringContains,2,True,True,True,True,False
applyArguments,2,True,True,True,True,False
parseEasingParameters,3,True,True,True,True,False
solver,1,True,True,True,True,False
getDuration,2,True,True,True,True,False
spring,1,True,False,True,True,False
elastic,1,True,False,True,True,False
steps,1,True,False,True,True,False
A,1,True,False,False,False,False
B,1,True,False,False,False,False
C,1,True,False,False,False,False
calcBezier,2,False,False,True,True,False
