Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
exports,exports,True,NOUN,7
createRoot,create,True,VERB,6
createRoot,Root,True,VERB,4
createRoot,create,True,VERB,6
createRoot,Root,True,VERB,4
createRoot,create,True,VERB,6
createRoot,Root,True,VERB,4
createRoot,create,True,VERB,6
createRoot,Root,True,VERB,4
render,render,True,VERB,6
_random,random,True,ADJ,6
majorTask,major,True,ADJ,5
majorTask,Task,True,NOUN,4
afterFrameAsync,after,True,ADP,5
afterFrameAsync,Frame,True,NOUN,5
afterFrameAsync,Async,False,PROPN,5
measureMemory,measure,True,NOUN,7
measureMemory,Memory,True,NOUN,6
markRunStart,mark,True,NOUN,4
markRunStart,Run,True,VERB,3
markRunStart,Start,True,VERB,5
markRunEnd,mark,True,NOUN,4
markRunEnd,Run,True,VERB,3
markRunEnd,End,True,NOUN,3
getRowIdSel,get,True,VERB,3
getRowIdSel,Row,True,NOUN,3
getRowIdSel,Id,True,PROPN,2
getRowIdSel,Sel,False,INTJ,3
getRowLinkSel,get,True,VERB,3
getRowLinkSel,Row,True,NOUN,3
getRowLinkSel,Link,True,NOUN,4
getRowLinkSel,Sel,False,INTJ,3
getBySelector,get,True,VERB,3
getBySelector,By,True,ADP,2
getBySelector,Selector,True,NOUN,8
testElement,test,True,NOUN,4
testElement,Element,True,NOUN,7
testElementText,test,True,NOUN,4
testElementText,Element,True,NOUN,7
testElementText,Text,True,NOUN,4
testElementTextContains,test,True,NOUN,4
testElementTextContains,Element,True,NOUN,7
testElementTextContains,Text,True,NOUN,4
testElementTextContains,Contains,True,VERB,8
onmessage,on,True,ADP,2
onmessage,message,True,NOUN,7
nextTick,next,True,ADV,4
nextTick,Tick,True,VERB,4
mutateAndLayoutAsync,mutate,True,VERB,6
mutateAndLayoutAsync,And,True,CCONJ,3
mutateAndLayoutAsync,Layout,True,NOUN,6
mutateAndLayoutAsync,Async,False,PROPN,5
sleep,sleep,True,NOUN,5
createRoot,create,True,VERB,6
createRoot,Root,True,VERB,4
hydrateRoot,hydrate,True,VERB,7
hydrateRoot,Root,True,VERB,4
unstable_runWithPriority,unstable,True,ADJ,8
unstable_runWithPriority,run,True,VERB,3
unstable_runWithPriority,With,True,ADP,4
unstable_runWithPriority,Priority,True,NOUN,8
mapFn,map,True,NOUN,3
mapFn,Fn,False,PROPN,2
_diff,diff,True,NOUN,4
Forwarded,Forwarded,True,VERB,9
forwardRef,forward,True,ADV,7
forwardRef,Ref,True,VERB,3
createFactory,create,True,VERB,6
createFactory,Factory,True,NOUN,7
isValidElement,is,True,AUX,2
isValidElement,Valid,True,ADJ,5
isValidElement,Element,True,NOUN,7
isFragment,is,True,AUX,2
isFragment,Fragment,True,ADJ,8
cloneElement,clone,True,VERB,5
cloneElement,Element,True,NOUN,7
unmountComponentAtNode,unmount,False,PROPN,7
unmountComponentAtNode,Component,True,NOUN,9
unmountComponentAtNode,At,True,ADP,2
unmountComponentAtNode,Node,True,NOUN,4
findDOMNode,find,True,VERB,4
findDOMNode,DOM,True,NOUN,3
findDOMNode,Node,True,NOUN,4
unstable_batchedUpdates,unstable,True,ADJ,8
unstable_batchedUpdates,batched,True,VERB,7
unstable_batchedUpdates,Updates,True,NOUN,7
flushSync,flush,True,NOUN,5
flushSync,Sync,True,NOUN,4
startTransition,start,True,VERB,5
startTransition,Transition,True,NOUN,10
useDeferredValue,use,True,VERB,3
useDeferredValue,Deferred,True,VERB,8
useDeferredValue,Value,True,NOUN,5
useTransition,use,True,VERB,3
useTransition,Transition,True,NOUN,10
useSyncExternalStore,use,True,VERB,3
useSyncExternalStore,Sync,True,NOUN,4
useSyncExternalStore,External,True,ADJ,8
useSyncExternalStore,Store,True,NOUN,5
shouldUpdate,should,True,AUX,6
shouldUpdate,Update,True,VERB,6
Memoed,Memoed,False,PROPN,6
memo,memo,True,NOUN,4
getChildContext,get,True,VERB,3
getChildContext,Child,True,NOUN,5
getChildContext,Context,True,NOUN,7
ContextProvider,Context,True,NOUN,7
ContextProvider,Provider,True,NOUN,8
componentWillUnmount,component,True,NOUN,9
componentWillUnmount,Will,True,AUX,4
componentWillUnmount,Unmount,False,PROPN,7
Portal,Portal,True,ADJ,6
createPortal,create,True,VERB,6
createPortal,Portal,True,ADJ,6
PureComponent,Pure,True,VERB,4
PureComponent,Component,True,NOUN,9
shouldComponentUpdate,should,True,AUX,6
shouldComponentUpdate,Component,True,NOUN,9
shouldComponentUpdate,Update,True,VERB,6
onChangeInputType,on,True,ADP,2
onChangeInputType,Change,True,VERB,6
onChangeInputType,Input,True,NOUN,5
onChangeInputType,Type,True,NOUN,4
render,render,True,VERB,6
hydrate,hydrate,True,VERB,7
event,event,True,NOUN,5
empty,empty,True,ADJ,5
isPropagationStopped,is,True,AUX,2
isPropagationStopped,Propagation,True,NOUN,11
isPropagationStopped,Stopped,True,VERB,7
isDefaultPrevented,is,True,AUX,2
isDefaultPrevented,Default,True,NOUN,7
isDefaultPrevented,Prevented,True,VERB,9
handleDomVNode,handle,True,VERB,6
handleDomVNode,Dom,True,VERB,3
handleDomVNode,V,True,NOUN,1
handleDomVNode,Node,True,NOUN,4
vnode,v,True,X,1
vnode,node,True,PROPN,4
_render,render,True,VERB,6
diffed,diffed,True,VERB,6
SuspenseList,Suspense,True,NOUN,8
SuspenseList,List,True,NOUN,4
resolve,resolve,True,VERB,7
wrappedUnsuspend,wrapped,True,VERB,7
wrappedUnsuspend,Unsuspend,False,VERB,9
