Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
createInstance,2,True,True,True,True,False
createInstance,2,True,True,True,True,False
createInstance,2,True,True,True,True,False
isValidName,3,True,False,True,True,False
installBundler,2,True,True,True,True,False
bundlerIsInstalled,3,True,True,True,True,False
ensureInstall,2,True,True,True,True,False
getDefaultName,3,True,True,True,True,False
getBundler,2,True,True,True,True,False
createInstance,2,True,True,True,True,False
createInstance,2,True,True,True,True,False
createInstance,2,True,True,True,True,False
createInstance,2,True,True,True,True,False
createInstance,2,True,True,True,True,False
getSpawnOutput,3,True,True,True,True,False
safePkgInfo,3,True,False,True,True,False
print,1,True,False,True,True,False
createScript,2,True,True,True,True,False
isModeInstalled,3,True,True,True,True,False
addMode,2,True,True,True,True,False
removeMode,2,True,True,True,True,False
createManifest,2,True,True,True,True,False
copyBexAssets,3,False,False,True,True,False
isModeInstalled,3,True,True,True,True,False
addMode,2,True,True,True,True,False
removeMode,2,True,True,True,True,False
addPlatform,2,True,True,True,True,False
ensureWWW,2,False,True,True,True,False
ensureDeps,2,True,True,True,True,False
ensureConsistency,2,True,True,True,True,False
isModeInstalled,3,True,True,True,True,False
addMode,2,True,True,True,True,False
removeMode,2,True,True,True,True,False
addPlatform,2,True,True,True,True,False
quasarVitePluginDevCordovaPlatformInject,8,False,True,False,False,False
isModeInstalled,3,True,True,True,True,False
addMode,2,True,True,True,True,False
removeMode,2,True,True,True,True,False
isModeInstalled,3,True,True,True,True,False
addMode,2,True,True,True,True,False
removeMode,2,True,True,True,True,False
updateCache,2,True,True,True,True,False
quasarVitePluginPwaResources,6,False,True,False,False,False
isModeInstalled,3,True,True,True,True,False
addMode,2,True,True,True,True,False
removeMode,2,True,True,True,True,False
isModeInstalled,3,True,True,True,True,False
addMode,2,True,True,True,True,False
removeMode,2,True,True,True,True,False
parseIssue,2,True,True,True,True,False
quasarEsbuildESLintPlugin,6,False,True,True,False,False
quasarViteESLintPlugin,6,False,True,False,False,False
quasarViteIndexHtmlTransformPlugin,7,False,True,False,False,False
quasarViteStripFilenameHashesPlugin,7,True,True,False,False,False
appFilesValidations,3,True,False,True,True,False
encodeForDiff,3,True,False,True,True,False
ensureArgv,2,False,True,True,True,False
ensureElectronArgv,3,False,True,True,True,False
escapeRegexString,3,True,True,True,True,False
fixAndroidCleartext,4,True,True,True,False,False
getAppInfo,3,True,True,True,True,False
getRunType,3,True,True,True,True,False
getPrefixDir,3,False,True,True,True,False
getAppPaths,3,True,True,True,True,False
prepareStackTrace,3,True,True,True,True,False
getCallerPath,3,True,True,True,True,False
defineHiddenProp,3,True,True,True,True,False
getCtx,2,False,True,True,True,False
getExternalIP,3,False,True,True,True,False
getPackageJson,3,False,True,True,True,False
getMajorVersion,3,True,True,True,True,False
getPackageMajorVersion,4,True,True,True,True,False
readAppPackageJson,4,False,True,True,True,False
getPkg,2,True,True,True,True,False
successPill,2,True,False,True,True,False
infoPill,2,True,False,True,True,False
errorPill,2,True,False,True,True,False
warningPill,2,True,True,True,True,False
tip,1,True,False,True,True,False
log,1,True,True,True,True,False
