Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
transformer,1,True,False,True,True,False
transformer,1,True,False,True,True,False
attributeBelongsToReactVirtualizedElement,6,True,True,True,True,False
shouldAttributeBeRenamed,4,True,True,True,True,False
isAttributeInPropertyRenameMap,6,True,True,True,True,False
renameReactVirtualizedAttribute,4,True,True,True,True,False
transformer,1,True,False,True,True,False
transformer,1,True,False,True,True,False
rowRenderer,2,True,True,True,True,False
cellRenderer,2,True,False,True,True,False
rowRenderer,2,True,True,True,True,False
cellRenderer,2,True,False,True,True,False
cellRenderer,2,True,False,True,True,False
getColumnWidth,3,True,True,True,True,False
cellRenderer,2,True,False,True,True,False
loadStyle,2,True,False,True,True,False
loadScript,2,True,False,True,True,False
loadScriptsAndStyles,4,True,False,True,True,False
loadReact,2,True,True,True,True,False
cellRenderer,2,True,False,True,True,False
rowGetter,2,True,True,True,True,False
incrementScrollDown,3,True,False,True,True,False
incrementScrollUp,3,True,False,True,True,False
testCase,2,True,False,True,True,False
createScrollingTestCase,4,True,True,True,True,False
onClick,2,True,True,True,True,False
renderItem,2,True,True,True,True,False
getExpandedItemCount,4,True,True,True,True,False
setRef,2,True,True,True,True,False
cellRenderer,2,True,False,True,True,False
rowHeight,2,True,True,True,True,False
createRandomizedData,3,True,True,True,True,False
createRandomizedItem,3,True,True,True,True,False
getUrlParams,3,False,True,True,True,False
getUrlParam,3,False,True,True,True,False
renderTextContent,3,True,True,True,True,False
ChildComponent,2,True,False,True,False,False
renderHelper,2,True,True,True,True,False
assertCurrentScrollTo,4,True,False,True,True,False
onScrollToChange,4,True,True,True,True,False
DefaultChildComponent,3,True,False,True,False,False
getMarkup,2,True,True,True,True,False
mockOffsetSize,3,True,True,True,True,False
simulateResize,2,True,True,True,True,False
mockClientWidthAndHeight,5,True,False,True,True,False
createParent,2,True,True,True,True,False
renderHelper,2,True,True,True,True,False
helper,1,True,False,True,True,False
initSectionManager,3,False,False,True,True,False
verifySections,2,True,True,True,True,False
cellSizeAndPositionGetter,5,True,False,True,True,False
calculateSizeAndPositionData,5,True,True,True,True,False
cellRenderer,2,True,False,True,True,False
getMarkup,2,True,True,True,True,False
helper,1,True,False,True,True,False
ComponentLink,2,True,False,True,False,False
ContentBox,2,True,False,True,False,False
ContentBoxHeader,3,True,False,True,False,False
ContentBoxParagraph,3,True,False,True,False,False
Icon,1,True,False,True,False,False
getIconData,3,True,True,True,True,False
LabeledInput,2,True,True,True,False,False
InputRow,2,True,False,True,False,False
NavLink,2,True,False,True,False,False
generateRandomList,3,True,True,True,True,False
Generator,1,True,False,True,False,False
componentToString,3,True,False,True,True,False
getAutoSizer,3,True,True,True,True,False
getBaseComponent,3,True,True,True,True,False
getCellMeasurer,3,True,True,True,True,False
getCollectionMarkup,3,True,True,True,True,False
getTableMarkup,3,True,True,True,True,False
getGridMarkup,3,True,True,True,True,False
getListMarkup,3,True,True,True,True,False
indentationToSpaces,3,True,False,True,True,False
testHelper,2,True,False,True,True,False
testHelper,2,True,False,True,True,False
helper,1,True,False,True,True,False
getCellSizeAndPositionManager,6,True,True,True,True,False
getUpdatedOffsetForIndexHelper,6,True,True,True,True,False
init,1,False,False,True,True,False
getCellSizeAndPositionManager,6,True,True,True,True,False
updateScrollIndexCallback,4,True,True,True,True,False
helper,1,True,False,True,True,False
getScrollbarSize,3,True,True,True,True,False
overscanIndicesGetter,4,True,False,True,False,False
rowRenderer,2,True,True,True,True,False
getMarkup,2,True,True,True,True,False
onRowsRendered,3,True,True,True,True,False
onRowsRendered,3,True,True,True,True,False
rowHeight,2,True,True,True,True,False
rowRenderer,2,True,True,True,True,False
rowRenderer,2,True,True,True,True,False
rowRenderer,2,True,True,True,True,False
defaultCellRenderer,3,True,False,True,True,False
getMarkup,2,True,True,True,True,False
getScrollbarSize20,4,True,True,True,False,False
variableRowHeight,3,True,False,True,True,False
variableColumnWidth,3,True,False,True,True,False
cellRenderer,2,True,False,True,True,False
has,1,True,True,True,True,False
getDeferredMeasurementCache,4,True,True,True,True,False
getScrollbarSize20,4,True,True,True,False,False
hexToRgb,3,False,False,True,True,False
mixColors,2,True,True,True,True,False
ChildComponent,2,True,False,True,False,False
simulate,1,True,True,True,True,False
SortIndicator,2,True,False,True,False,False
render,1,True,True,True,True,False
unmount,1,True,False,True,True,False
OnRowsRendered,3,True,True,True,False,False
callback,1,True,False,True,True,False
callback,1,True,False,True,True,False
createCallbackMemoizer,3,False,True,True,True,False
testHelper,2,True,False,True,True,False
getUpdatedOffsetForIndex,5,True,True,True,True,False
initCellMetadata,3,False,False,True,True,False
getCellMetadata,3,True,True,True,True,False
_GEA,1,False,False,True,False,False
_GEP,1,False,False,True,False,False
dispatchBsearchGE,4,False,True,False,False,False
_GTA,1,False,False,True,False,False
_GTP,1,False,False,True,False,False
dispatchBsearchGT,4,True,True,False,False,False
_LTA,1,False,False,True,False,False
_LTP,1,False,False,True,False,False
dispatchBsearchLT,4,False,True,False,False,False
_LEA,1,True,False,True,False,False
_LEP,1,False,False,True,False,False
dispatchBsearchLE,4,False,True,False,False,False
_EQA,1,False,False,True,False,False
_EQP,1,False,False,True,False,False
dispatchBsearchEQ,4,False,True,False,False,False
resetTriggers,2,True,True,True,True,False
checkTriggers,2,True,True,True,True,False
scrollListener,2,True,False,True,True,False
createStyles,2,True,True,True,True,False
animationListener,2,True,False,True,True,False
animationListener,2,True,False,True,True,False
addResizeListener,3,True,True,True,True,False
removeResizeListener,3,True,True,True,True,False
createDetectElementResize,4,True,True,True,True,False
IntervalTreeNode,3,True,False,True,False,False
copy,1,True,False,True,True,False
rebuild,1,True,True,True,True,False
rebuildWithInterval,3,True,True,True,True,False
rebuildWithoutInterval,3,True,True,True,True,False
intervals,1,True,False,True,True,False
insert,1,True,False,True,True,False
remove,1,True,True,True,True,False
reportLeftRange,3,True,True,True,True,False
reportRightRange,3,True,False,True,True,False
reportRange,2,True,False,True,True,False
queryPoint,2,True,True,True,True,False
queryInterval,2,True,False,True,True,False
compareNumbers,2,True,True,True,True,False
compareBegin,2,True,True,True,True,False
