Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
exports,1,True,False,True,True,False
sign,1,True,True,True,True,False
getExpiration,2,True,True,True,True,False
generateSignatureIfSecret,4,True,True,True,True,False
getCache,2,True,True,True,True,False
sendMessageToAllClients,5,True,True,True,True,False
addFile,2,True,True,True,True,False
removeFile,2,True,True,True,True,False
getFiles,2,True,True,True,True,False
exports,1,True,False,True,True,False
PauseResumeButton,3,True,True,True,False,False
ProgressBar,2,True,True,True,False,False
SelectFiles,2,True,False,True,False,False
getTusFileReader,4,False,True,True,True,False
counter,1,True,True,True,True,False
getCounter,2,True,True,True,True,False
render,1,True,True,True,True,False
onclick,2,True,True,True,False,False
onclick,2,True,True,True,False,False
onclick,2,True,True,True,False,False
onclick,2,True,True,True,False,False
toExit,2,True,False,True,True,False
serve,1,True,True,True,True,False
formatSeconds,2,True,False,True,True,False
removeMimeParameters,3,True,True,True,True,False
isXml,2,False,True,True,True,False
createCanonicalRequest,3,True,True,True,True,False
digest,1,True,False,True,True,False
generateHmacKey,3,False,True,True,True,False
arrayBufferToHexString,5,True,True,True,True,False
hash,1,True,False,True,True,False
createSignedURL,3,False,True,True,True,False
Date,1,True,False,True,False,False
Date,1,True,False,True,False,False
now,1,True,False,True,True,False
now,1,True,False,True,True,False
setLoggerProcessName,4,True,True,True,True,False
app,1,True,False,True,True,False
exports,1,True,False,True,True,False
connect,1,True,True,True,True,False
connect,1,True,True,True,True,False
deauthCallback,2,False,False,True,True,False
getSize,2,True,True,True,True,False
download,1,True,False,True,True,False
onUnhandledError,3,True,True,True,True,False
get,1,True,True,True,True,False
list,1,True,False,True,True,False
oauthRedirect,2,False,True,True,True,False
oauthRedirect,2,False,True,True,True,False
preauth,1,False,False,True,True,False
htmlContent,2,False,False,True,True,False
sendToken,2,True,True,True,True,False
sendToken,2,True,True,True,True,False
thumbnail,1,True,False,True,True,False
downloadURL,2,False,False,True,True,False
meta,1,True,False,True,True,False
getSize,2,True,True,True,True,False
download,1,True,False,True,True,False
onUnhandledError,3,True,True,True,True,False
get,1,True,True,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
getPrefixedEventName,4,True,True,True,True,False
handleError,2,True,True,True,True,False
runWhenConnected,3,True,True,True,True,False
removeListener,2,True,True,True,True,False
actualHandler,2,True,False,True,True,False
addListener,2,True,True,True,True,False
on,1,True,False,True,True,False
off,1,True,False,True,True,False
once,1,True,False,True,True,False
emit,1,True,True,True,True,False
removeAllListeners,3,True,True,True,True,False
exports,1,True,False,True,True,False
generateToken,2,True,True,True,True,False
verifyToken,2,True,True,True,True,False
generateEncryptedToken,3,True,True,True,True,False
generateEncryptedAuthToken,4,True,True,True,True,False
verifyEncryptedToken,3,True,True,True,True,False
verifyEncryptedAuthToken,4,True,True,True,True,False
addToCookies,3,True,True,True,True,False
addToCookiesIfNeeded,5,True,True,True,True,False
removeFromCookies,3,True,True,True,True,False
setState,2,True,True,True,True,False
getState,2,True,True,True,True,False
generateState,2,True,True,True,True,False
addToState,3,True,True,True,True,False
getFromState,3,True,True,True,True,False
getDynamicStateFromRequest,5,True,True,True,True,False
startDownUpload,3,True,True,True,True,False
gte,1,False,False,True,True,False
setMaskables,3,False,True,True,False,False
maskMessage,2,True,False,True,True,False
setProcessName,3,True,True,True,True,False
msgToString,3,True,False,True,True,False
log,1,True,True,True,True,False
info,1,True,False,True,True,False
warn,1,True,True,True,True,False
error,1,True,False,True,True,False
debug,1,True,False,True,True,False
isFolder,2,True,False,True,True,False
getItemSize,3,True,True,True,True,False
getItemIcon,3,True,True,True,True,False
getItemSubList,4,True,True,True,True,False
getItemName,3,True,True,True,True,False
getMimeType,3,True,True,True,True,False
getItemId,3,False,True,True,True,False
getItemRequestPath,4,True,True,True,True,False
getItemModifiedDate,4,True,True,True,True,False
getItemThumbnailUrl,4,False,True,True,True,False
getNextPagePath,4,True,True,True,True,False
adaptData,2,True,True,True,True,False
adaptData,2,True,True,True,True,False
isFolder,2,True,False,True,True,False
getItemSize,3,True,True,True,True,False
getItemIcon,3,True,True,True,True,False
getItemSubList,4,True,True,True,True,False
getItemName,3,True,True,True,True,False
getMimeType,3,True,True,True,True,False
getItemId,3,False,True,True,True,False
getItemRequestPath,4,True,True,True,True,False
getItemModifiedDate,4,True,True,True,True,False
getItemThumbnailUrl,4,False,True,True,True,False
getNextPagePath,4,True,True,True,True,False
exports,1,True,False,True,True,False
errorToResponse,3,True,False,True,True,False
respondWithError,3,True,True,True,True,False
isFolder,2,True,False,True,True,False
getItemSize,3,True,True,True,True,False
getItemThumbnailUrl,4,False,True,True,True,False
getItemIcon,3,True,True,True,True,False
getItemSubList,4,True,True,True,True,False
getItemName,3,True,True,True,True,False
getMimeType,3,True,True,True,True,False
getItemId,3,False,True,True,True,False
getItemRequestPath,4,True,True,True,True,False
getItemModifiedDate,4,True,True,True,True,False
getNextPagePath,4,True,True,True,True,False
exports,1,True,False,True,True,False
isOAuthProvider,4,False,False,False,True,False
getErrorMessage,3,True,True,True,True,False
withProviderErrorHandling,4,True,True,True,True,False
sendProgress,2,True,True,True,True,False
exports,1,True,False,True,True,False
getSecret,2,True,True,True,True,False
generateSecret,2,True,True,True,True,False
hasProtocol,2,True,True,True,True,False
getCorsOrigins,3,False,True,True,True,False
defaultStandaloneGetKey,4,True,True,True,True,False
getConfigFromEnv,4,True,True,True,True,False
getConfigPath,3,True,True,True,True,False
getConfigFromFile,4,True,True,True,True,False
getCompanionOptions,3,True,True,True,True,False
buildHelpfulStartupMessage,4,True,True,True,True,False
censorQuery,2,True,False,True,True,False
server,1,True,False,True,True,False
server,1,True,False,True,True,False
nockGoogleDownloadFile,4,False,True,True,True,False
nockZoomRecordings,3,False,True,True,True,False
nockZoomRevoke,3,False,True,True,True,False
exports,1,True,False,True,True,False
connect,1,True,True,True,True,False
onProgress,2,True,False,True,True,False
onUploadSuccess,3,True,False,True,True,False
onUploadError,3,True,False,True,True,False
testWithMock,3,True,False,True,True,False
get,1,True,True,True,True,False
log,1,True,True,True,True,False
captureConsoleLog,3,True,True,True,True,False
thisOrThat,3,True,False,True,True,False
runTest,2,True,True,True,True,False
runTest,2,True,True,True,True,False
runTest,2,True,True,True,True,False
getName,2,True,True,True,True,False
setItem,2,True,True,True,True,False
getItem,2,True,True,True,True,False
removeItem,2,True,True,True,True,False
getFileName,3,True,True,True,True,False
supportsUploadProgress,3,True,True,True,True,False
magicCopyFailed,3,True,True,True,True,False
copyToClipboard,3,True,False,True,True,False
getActiveOverlayEl,4,False,True,True,True,False
ignoreEvent,2,True,False,True,True,False
focusOnFirstNode,4,True,True,True,True,False
focusOnLastNode,4,True,True,True,True,False
isFocusInOverlay,4,True,True,True,True,False
trapFocus,2,True,True,True,True,False
forInline,2,True,False,True,True,False
cleanup,1,True,False,True,True,False
getCanvasDataThatFitsPerfectlyIntoContainer,8,True,True,True,True,False
toRadians,2,True,False,True,True,False
getScaleFactorThatRemovesDarkCorners,7,True,True,True,True,False
pluralize,1,True,True,True,True,False
pluralize,1,True,True,True,True,False
pluralize,1,True,True,True,True,False
pluralize,1,True,True,True,True,False
pluralize,1,True,True,True,True,False
pluralize,1,True,True,True,True,False
getHTMLProps,3,False,True,True,True,False
nonHtmlPropsHaveChanged,5,False,True,True,True,False
selectDocumentWithExpo,4,True,False,True,True,False
selectImageWithExpo,4,True,False,True,True,False
takePictureWithExpo,4,True,True,True,True,False
listener,1,True,False,True,True,False
delay,1,True,False,True,True,False
mockFile,2,True,True,True,True,False
getFile,2,True,True,True,True,False
log,1,True,True,True,True,False
getState,2,True,True,True,True,False
setState,2,True,True,True,True,False
MockCore,2,True,False,True,False,False
add,1,True,True,True,True,False
setState,2,True,True,True,True,False
getState,2,True,True,True,True,False
resize,1,True,True,True,True,False
attemptDiff,2,True,False,True,True,False
validateParams,2,False,True,True,True,False
dedupe,1,False,False,True,True,False
getAssemblyOptions,3,True,True,True,True,False
defaultGetAssemblyOptions,4,True,True,True,True,False
createAssembly,2,True,True,True,True,False
isCordova,2,False,False,True,True,False
isReactNative,3,False,True,True,True,False
getFingerprint,2,True,True,True,True,False
forEachDroppedOrPastedUrl,6,False,True,True,True,False
createAbortError,3,True,True,True,True,False
flushInstantTimeouts,3,True,False,True,True,False
canvasToBlob,3,True,False,True,True,False
dataURItoFile,5,False,True,False,False,False
emaFilter,2,False,False,True,True,False
emitSocketProgress,3,True,True,True,True,False
fetchWithNetworkError,4,True,True,True,True,False
hasError,2,True,True,True,True,False
filterNonFailedFiles,4,False,True,True,True,False
filterFilesToEmitUploadStarted,6,True,True,True,True,False
findAllDOMElements,4,False,True,True,True,False
findDOMElement,3,False,True,True,True,False
getBytesRemaining,3,True,True,True,True,False
fallbackApi,2,False,False,True,True,False
getFilesAndDirectoriesFromDirectory,6,True,True,True,True,False
getETA,2,True,True,True,True,False
getFileNameAndExtension,5,True,True,True,True,False
getFileTypeExtension,4,True,True,True,True,False
getSocketHost,3,True,True,True,True,False
getSpeed,2,True,True,True,True,False
pad,1,True,False,True,True,False
getTimeStamp,3,True,True,True,True,False
has,1,True,True,True,True,False
isDragDropSupported,4,True,True,True,True,False
isMobileDevice,3,True,False,True,True,False
setUserAgent,3,True,True,True,True,False
isNetworkError,3,True,False,True,True,False
isObjectURL,3,False,True,True,True,False
isPreviewSupported,3,True,True,True,True,False
isTouchDevice,3,True,True,True,True,False
prettyETA,2,True,False,True,True,False
delay,1,True,False,True,True,False
fn,1,False,False,True,True,False
syncFn,2,False,False,True,True,False
secondsToTime,3,True,False,True,True,False
resolved,1,True,True,True,True,False
rejected,1,True,True,True,True,False
settle,1,True,True,True,True,False
truncateString,2,True,True,True,True,False
isVue2,3,False,False,False,False,False
formatSeconds,2,True,False,True,True,False
supportsMediaRecorder,3,True,True,True,True,False
getResponseData,3,True,True,True,True,False
sign,1,True,True,True,True,False
getExpiration,2,True,True,True,True,False
generateSignatureIfSecret,4,True,True,True,True,False
