Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
buildCMRulers,3,True,True,True,True,False
translateHotkey,3,True,True,True,False,False
changeHandler,2,True,True,True,True,False
highlightHandler,2,True,True,True,True,False
focusHandler,2,True,True,True,True,False
blurHandler,2,True,True,True,True,False
pasteHandler,2,True,False,True,True,False
loadStyleHandler,3,True,False,True,True,False
searchHandler,2,True,False,True,True,False
formatTable,2,True,False,True,True,False
contextMenuHandler,3,True,False,True,True,False
editorActivityHandler,3,True,False,True,True,False
makeOverlay,2,True,True,True,True,False
isURL,2,False,False,True,True,False
isInLinkTag,4,True,True,True,True,False
isInFencedCodeBlock,5,True,True,True,True,False
isImageReponse,3,False,False,True,True,False
replaceTaggedUrl,3,False,True,True,True,False
escapePipe,2,True,True,True,True,False
isNoteHandlerKey,4,True,True,True,True,False
getSourceLineNumberByElement,6,True,True,True,True,False
contextMenuHandler,3,True,False,True,True,False
mouseDownHandler,3,True,True,True,True,False
mouseUpHandler,3,True,True,True,True,False
DoubleClickHandler,3,True,True,True,False,False
checkboxClickHandler,3,True,True,True,True,False
saveAsTextHandler,4,True,True,True,True,False
saveAsMdHandler,4,False,True,True,True,False
saveAsHtmlHandler,4,False,True,True,True,False
saveAsPdfHandler,4,False,True,True,True,False
printHandler,2,True,False,True,True,False
onclick,2,True,True,True,False,False
onfinish,2,True,False,True,False,False
onclick,2,True,True,True,False,False
onclick,2,True,True,True,False,False
focus,1,True,True,True,True,False
reload,1,True,False,True,True,False
ModalEscButton,3,False,False,True,False,False
NavToggleButton,3,True,False,True,False,False
TagElement,2,True,True,True,False,False
TagElementList,3,True,True,True,False,False
NoteItem,2,True,True,True,False,False
NoteItemSimple,3,True,True,True,False,False
getRandomInt,3,True,True,True,True,False
getId,2,False,True,True,True,False
render,1,True,True,True,True,False
SideNavFilter,3,True,False,True,False,False
FolderIcon,2,True,False,True,False,False
StorageItem,2,True,False,True,False,False
StorageList,2,True,False,True,False,False
TagListItem,3,True,True,True,False,False
TodoListPercentage,3,False,True,True,False,False
TodoProcess,2,False,True,True,False,False
confirmDeleteNote,3,True,True,True,True,False
popup,1,True,False,True,True,False
buildEditorContextMenu,4,True,True,True,True,False
buildMarkdownPreviewContextMenu,5,True,True,True,True,False
convertModeName,3,True,True,True,True,False
formatDate,2,True,False,True,True,False
findNoteTitle,3,True,True,True,True,False
findStorage,2,True,True,True,True,False
getTodoStatus,3,False,True,True,True,False
getTodoPercentageOfCompleted,5,False,True,True,True,False
decodeEntities,2,True,False,True,True,False
encodeEntities,2,True,False,True,True,False
exports,1,True,False,True,True,False
skipMarker,2,True,True,True,True,False
markTightParagraphs,3,True,False,True,True,False
deflist,2,True,True,True,False,False
definitionListPlugin,3,True,True,True,True,False
definitionListPlugin,3,True,True,True,True,False
fence,1,True,False,True,True,False
exports,1,True,False,True,True,False
frontmatter,1,False,False,True,True,False
frontMatterPlugin,3,True,True,True,True,False
frontMatterPlugin,3,True,True,True,True,False
sanitizePlugin,2,True,True,True,True,False
sanitizePlugin,2,True,True,True,True,False
sanitizeInline,2,True,True,True,True,False
naughtyHRef,3,True,True,False,True,False
naughtyIFrame,3,False,False,False,True,False
uniqueSlug,2,True,True,True,True,False
linkify,1,False,True,True,True,False
updateExistingToc,3,False,True,True,True,False
addTocAtCursorPosition,5,False,True,True,True,False
generateInEditor,3,True,True,True,True,False
tocExistsInEditor,4,False,True,True,True,False
generate,1,True,True,True,True,False
wrapTocWithEol,4,False,True,True,True,False
createGutter,2,True,True,True,True,False
toc_open,2,False,True,True,False,True
toc_close,2,False,True,True,False,True
plantUmlStripTrailingSlash,5,False,True,True,True,False
parsePlantUml,3,False,True,True,True,False
code_inline,2,True,False,True,False,True
render,1,True,True,True,True,False
strip,1,True,False,True,True,False
createMarkdownNote,3,True,True,True,True,False
createSnippetNote,3,True,True,True,True,False
normalizeEditorFontFamily,4,True,True,True,True,False
parse,1,True,True,True,True,False
searchFromNotes,3,True,False,True,True,False
findByWordOrTag,5,True,True,True,True,False
slugify,1,False,True,True,True,False
slugify,1,False,True,True,True,False
getAvailableDictionaries,3,True,True,True,True,False
setDictionaryForTestsOnly,5,True,True,True,True,False
setLanguage,2,True,True,True,True,False
checkWholeDocument,3,True,True,True,True,False
sortRange,2,True,True,True,True,False
checkMultiLineRange,4,True,True,True,True,False
checkWord,2,True,True,True,True,False
getStartAndEnd,4,True,True,True,True,False
checkChangeRange,3,True,True,True,True,False
saveLiveSpellCheckFrom,5,True,True,True,True,False
handleChange,2,True,True,True,True,False
getSpellingSuggestion,3,True,True,True,True,False
getCSSClassName,4,False,True,True,True,False
createTurndownService,3,False,True,True,True,False
lastFindInArray,4,True,True,True,True,False
replaceAt,2,True,True,True,True,False
escapeHtmlCharacters,3,False,True,True,True,False
isObjectEqual,3,True,True,True,True,False
isMarkdownTitleURL,4,False,False,True,True,False
humanFileSize,3,True,True,True,True,False
sendWakatimeHeartBeat,5,False,True,True,False,False
FullscreenButton,3,True,False,True,False,False
focusHandler,2,True,True,True,True,False
deleteHandler,2,True,True,True,True,False
InfoButton,2,True,False,True,False,False
InfoPanelTrashed,3,True,True,True,False,False
dispatchHandler,2,True,True,True,True,False
PermanentDeleteButton,3,True,False,True,False,False
RestoreButton,2,True,False,True,False,False
generateToc,2,False,True,True,True,False
dispatchHandler,2,True,True,True,True,False
easeOutCubic,3,True,False,True,True,False
