Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
configure,1,True,False,True,True,False
getAssignmentLeftHandSide,5,False,True,True,True,False
invert,1,True,False,True,True,False
mapKeys,2,True,False,True,True,False
pick,1,True,True,True,True,False
pickBy,2,True,True,True,True,False
chunk,1,True,True,True,True,False
times,1,True,False,True,True,False
Foo,1,True,False,True,False,False
Bar,1,True,True,True,False,False
assign,1,True,True,True,True,False
Foo,1,True,False,True,False,False
Bar,1,True,True,True,False,False
extend,1,True,True,True,True,False
isDate,2,True,False,True,True,False
isEmpty,2,True,False,True,True,False
travel,1,True,False,True,True,False
get,1,True,True,True,True,False
inRange,2,True,False,True,True,False
random,1,True,False,True,True,False
randomInt,2,True,True,True,True,False
uniq,1,False,False,True,True,False
clamp,1,True,True,True,True,False
upperFirst,2,True,False,True,True,False
isString,2,True,False,True,True,False
lowerFirst,2,True,False,True,True,False
throttle,1,True,True,True,True,False
isFunction,2,True,False,True,True,False
unionBy,2,True,False,True,True,False
capitalize,1,True,True,True,True,False
