Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
configure,configure,True,NOUN,9
getAssignmentLeftHandSide,get,True,VERB,3
getAssignmentLeftHandSide,Assignment,True,VERB,10
getAssignmentLeftHandSide,Left,True,VERB,4
getAssignmentLeftHandSide,Hand,True,VERB,4
getAssignmentLeftHandSide,Side,True,NOUN,4
invert,invert,True,NOUN,6
mapKeys,map,True,NOUN,3
mapKeys,Keys,True,NOUN,4
pick,pick,True,VERB,4
pickBy,pick,True,VERB,4
pickBy,By,True,ADP,2
chunk,chunk,True,VERB,5
times,times,True,NOUN,5
Foo,Foo,True,NOUN,3
Bar,Bar,True,VERB,3
assign,assign,True,VERB,6
Foo,Foo,True,NOUN,3
Bar,Bar,True,VERB,3
extend,extend,True,VERB,6
isDate,is,True,AUX,2
isDate,Date,True,NOUN,4
isEmpty,is,True,AUX,2
isEmpty,Empty,True,ADJ,5
travel,travel,True,NOUN,6
get,get,True,VERB,3
inRange,in,True,ADP,2
inRange,Range,True,NOUN,5
random,random,True,ADJ,6
randomInt,random,True,ADJ,6
randomInt,Int,True,VERB,3
uniq,uniq,False,ADJ,4
clamp,clamp,True,VERB,5
upperFirst,upper,True,ADJ,5
upperFirst,First,True,ADV,5
isString,is,True,AUX,2
isString,String,True,NOUN,6
lowerFirst,lower,True,ADV,5
lowerFirst,First,True,ADV,5
throttle,throttle,True,VERB,8
isFunction,is,True,AUX,2
isFunction,Function,True,NOUN,8
unionBy,union,True,NOUN,5
unionBy,By,True,ADP,2
capitalize,capitalize,True,VERB,10
