Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
exports,exports,True,NOUN,7
exports,exports,True,NOUN,7
formatStyle,format,True,NOUN,6
formatStyle,Style,True,NOUN,5
matchesSel,matches,True,NOUN,7
matchesSel,Sel,False,INTJ,3
sortStyleKeys,sort,True,VERB,4
sortStyleKeys,Style,True,NOUN,5
sortStyleKeys,Keys,True,NOUN,4
cmpCode,cmp,False,PROPN,3
cmpCode,Code,True,NOUN,4
transCode,trans,True,NOUN,5
transCode,Code,True,NOUN,4
formatNodeName,format,True,NOUN,6
formatNodeName,Node,True,NOUN,4
formatNodeName,Name,True,NOUN,4
_addListener,add,True,VERB,3
_addListener,Listener,True,PROPN,8
_showListener,show,True,VERB,4
_showListener,Listener,True,PROPN,8
exports,exports,True,NOUN,7
setScale,set,True,VERB,3
setScale,Scale,True,NOUN,5
setTheme,set,True,VERB,3
setTheme,Theme,True,NOUN,5
getCurTheme,get,True,VERB,3
getCurTheme,Cur,True,NOUN,3
getCurTheme,Theme,True,NOUN,5
getThemes,get,True,VERB,3
getThemes,Themes,True,NOUN,6
clear,clear,True,ADJ,5
remove,remove,True,VERB,6
resetStyles,reset,True,VERB,5
resetStyles,Styles,True,NOUN,6
resetStyle,reset,True,VERB,5
resetStyle,Style,True,NOUN,5
formatter,formatter,True,NOUN,9
micromark,mic,True,ADJ,3
micromark,ro,False,VERB,2
micromark,mark,True,NOUN,4
arrToMap,arr,True,PROPN,3
arrToMap,To,True,PART,2
arrToMap,Map,True,PROPN,3
createDarkTheme,create,True,VERB,6
createDarkTheme,Dark,True,PROPN,4
createDarkTheme,Theme,True,NOUN,5
createLightTheme,create,True,VERB,6
createLightTheme,Light,True,NOUN,5
createLightTheme,Theme,True,NOUN,5
isDarkTheme,is,True,AUX,2
isDarkTheme,Dark,True,PROPN,4
isDarkTheme,Theme,True,NOUN,5
hasSafeArea,has,True,VERB,3
hasSafeArea,Safe,True,ADJ,4
hasSafeArea,Area,True,NOUN,4
escapeJsonStr,escape,True,VERB,6
escapeJsonStr,Json,False,NOUN,4
escapeJsonStr,Str,True,NOUN,3
safeStorage,safe,True,ADJ,4
safeStorage,Storage,True,NOUN,7
getFileName,get,True,VERB,3
getFileName,File,True,VERB,4
getFileName,Name,True,NOUN,4
pxToNum,px,False,INTJ,2
pxToNum,To,True,PART,2
pxToNum,Num,False,PROPN,3
isErudaEl,is,True,AUX,2
isErudaEl,Eruda,False,ADJ,5
isErudaEl,El,True,NOUN,2
isChobitsuEl,is,True,AUX,2
isChobitsuEl,Chobitsu,False,PROPN,8
isChobitsuEl,El,True,NOUN,2
classPrefix,class,True,NOUN,5
classPrefix,Prefix,True,VERB,6
traverseTree,traverse,True,VERB,8
traverseTree,Tree,True,NOUN,4
processClass,process,True,NOUN,7
processClass,Class,True,NOUN,5
drag,drag,True,VERB,4
eventClient,event,True,NOUN,5
eventClient,Client,True,NOUN,6
eventPage,event,True,NOUN,5
eventPage,Page,True,NOUN,4
getType,get,True,VERB,3
getType,Type,True,NOUN,4
escapeStringWin,escape,True,VERB,6
escapeStringWin,String,True,NOUN,6
escapeStringWin,Win,True,NOUN,3
escapeCharacter,escape,True,VERB,6
escapeCharacter,Character,True,NOUN,9
escapeStringPosix,escape,True,VERB,6
escapeStringPosix,String,True,NOUN,6
escapeStringPosix,Posix,False,NOUN,5
curlStr,curl,True,PROPN,4
curlStr,Str,True,NOUN,3
showSources,show,True,VERB,4
showSources,Sources,True,NOUN,7
showSources,show,True,VERB,4
showSources,Sources,True,NOUN,7
linkFactory,link,True,VERB,4
linkFactory,Factory,True,NOUN,7
checkEl,check,True,VERB,5
checkEl,El,True,NOUN,2
getLowerCaseTagName,get,True,VERB,3
getLowerCaseTagName,Lower,True,ADV,5
getLowerCaseTagName,Case,True,NOUN,4
getLowerCaseTagName,Tag,True,VERB,3
getLowerCaseTagName,Name,True,NOUN,4
isImg,is,True,AUX,2
isImg,Img,False,PROPN,3
setState,set,True,VERB,3
setState,State,True,NOUN,5
getState,get,True,VERB,3
getState,State,True,NOUN,5
isSeparator,is,True,AUX,2
isSeparator,Separator,True,PROPN,9
search,search,True,NOUN,6
traverse,traverse,True,VERB,8
loadPlugin,load,True,NOUN,4
loadPlugin,Plugin,True,VERB,6
onload,on,True,ADP,2
onload,load,True,NOUN,4
onerror,on,True,ADP,2
onerror,error,True,NOUN,5
boot,boot,True,NOUN,4
loadJs,load,True,NOUN,4
loadJs,Js,False,PROPN,2
log,log,True,VERB,3
logs,logs,True,NOUN,4
add,add,True,VERB,3
noop,noop,False,NOUN,4
flat,flat,True,ADJ,4
defineProp,define,True,VERB,6
defineProp,Prop,True,PROPN,4
iteratee,iteratee,False,NOUN,8
shallowProperty,shallow,True,VERB,7
shallowProperty,Property,True,NOUN,8
isEqual,is,True,AUX,2
isEqual,Equal,True,ADJ,5
ctor,c,True,NOUN,1
ctor,tor,True,NOUN,3
extend,extend,True,VERB,6
inherits,inherits,True,NOUN,8
methods,methods,True,NOUN,7
statics,statics,True,NOUN,7
makeClass,make,True,VERB,4
makeClass,Class,True,NOUN,5
encodeCodePoint,encode,True,ADJ,6
encodeCodePoint,Code,True,NOUN,4
encodeCodePoint,Point,True,VERB,5
decodeCodePoint,decode,True,PROPN,6
decodeCodePoint,Code,True,NOUN,4
decodeCodePoint,Point,True,VERB,5
goBack,go,True,VERB,2
goBack,Back,True,ADV,4
decode,decode,True,PROPN,6
hexToInt,hex,True,PROPN,3
hexToInt,To,True,PART,2
hexToInt,Int,True,VERB,3
setCookie,set,True,VERB,3
setCookie,Cookie,True,PROPN,6
onreadystatechange,on,True,ADP,2
onreadystatechange,ready,True,ADJ,5
onreadystatechange,state,True,NOUN,5
onreadystatechange,change,True,VERB,6
get,get,True,VERB,3
post,post,True,NOUN,4
parseArgs,parse,True,VERB,5
parseArgs,Args,False,PROPN,4
iterateObj,iterate,True,NOUN,7
iterateObj,Obj,True,PROPN,3
wrapKey,wrap,True,VERB,4
wrapKey,Key,True,ADJ,3
wrapStr,wrap,True,VERB,4
wrapStr,Str,True,NOUN,3
escapeJsonStr,escape,True,VERB,6
escapeJsonStr,Json,False,NOUN,4
escapeJsonStr,Str,True,NOUN,3
parse,parse,True,VERB,5
correctReference,correct,True,ADJ,7
correctReference,Reference,True,NOUN,9
toString,to,True,PART,2
toString,String,True,NOUN,6
handleGetterSetter,handle,True,VERB,6
handleGetterSetter,Getter,True,NOUN,6
handleGetterSetter,Setter,True,PROPN,6
parse,parse,True,VERB,5
retTimeout,ret,False,PROPN,3
retTimeout,Timeout,True,NOUN,7
strToRegExp,str,True,PROPN,3
strToRegExp,To,True,PART,2
strToRegExp,Reg,True,NOUN,3
strToRegExp,Exp,True,PROPN,3
