Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
__webpack_require__,3,True,True,True,False,False
d,1,True,False,False,True,False
r,1,True,False,False,True,False
t,1,True,False,False,True,False
getDefault,2,True,True,True,True,False
getModuleExports,3,True,True,True,True,False
n,1,True,False,False,True,False
o,1,True,False,False,True,False
returnThis,2,True,True,True,True,False
keys,1,True,False,True,True,False
values,1,True,False,True,True,False
entries,1,True,False,True,True,False
getMethod,2,True,True,True,True,False
values,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
keys,1,True,False,True,True,False
defineProperties,2,True,True,True,True,False
exec,1,True,True,True,True,False
exec,1,True,True,True,True,False
SYMBOL,1,True,False,True,False,False
exec,1,True,True,True,True,False
SPECIES,1,True,False,True,False,False
maybeCallNative,3,True,True,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
tryGet,2,False,True,True,True,False
exports,1,True,False,True,True,False
inspectSource,2,True,True,True,True,False
exports,1,True,False,True,True,False
toString,2,True,False,True,True,False
Empty,1,True,False,True,False,False
createDict,2,True,True,True,True,False
create,1,True,True,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
includes,1,True,True,True,True,False
exports,1,True,False,True,True,False
keys,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exec,1,True,True,True,True,False
exports,1,True,False,True,True,False
$export,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
includes,1,True,True,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
assign,1,True,True,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
defineProperty,2,True,True,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
maybeToString,3,True,False,True,True,False
replace,1,True,True,True,True,False
getSubstitution,2,True,True,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
getConsole,2,True,True,True,True,False
cachedFn,2,False,True,True,True,False
cached,1,True,True,True,True,False
removeNode,2,True,True,True,True,False
insertNodeAt,3,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
startsWith,2,True,True,True,True,False
