Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
firstValue,2,True,False,True,True,False
arrayValue,2,True,True,True,True,False
getFromHeaders,3,True,True,True,True,False
meta,1,True,False,True,True,False
exports,1,True,False,True,True,False
notfound,2,True,True,True,False,False
exports,1,True,False,True,True,False
siteFile,2,True,True,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
methodName,2,True,False,True,True,False
wrapMethod,2,True,True,True,True,False
escapeHeaderValue,3,True,True,True,True,False
formatDnsLookupUrl,4,False,False,True,True,False
normalizeConfig,2,True,True,True,True,False
normalizeConfig,2,True,True,True,True,False
createLoggers,2,True,True,True,True,False
createLoggers,2,True,True,True,True,False
create,1,True,True,True,True,False
random,1,True,False,True,True,False
convertObject,2,True,True,True,True,False
convertValue,2,True,True,True,True,False
safeParseURL,3,False,True,True,True,False
cluster,1,True,False,True,True,False
delegate,1,True,False,True,True,False
abbr,1,True,False,True,True,False
create,1,True,True,True,True,False
exports,1,True,False,True,True,False
expectQuery,2,True,True,True,True,False
expectQueries,2,True,True,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
sleep,1,True,False,True,True,False
subThunk,2,True,True,True,True,False
exports,1,True,False,True,True,False
listener,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
initAgent,2,False,False,True,True,False
initAgent,2,False,False,True,True,False
exports,1,True,False,True,True,False
initApp,2,False,False,True,True,False
initApp,2,False,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
index,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
onClientError,3,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
task,1,True,False,True,True,False
exports,1,True,False,True,True,False
sleep,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
index,1,True,False,True,True,False
getClusterPort,3,True,True,True,True,False
getHosts,2,True,True,True,True,False
publish,1,True,True,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
index,1,True,False,True,True,False
