Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
isJson,is,True,AUX,2
isJson,Json,False,NOUN,4
isJson5,is,True,AUX,2
isJson5,Json,False,NOUN,4
isJson5,5,True,NUM,1
safeArray,safe,True,ADJ,4
safeArray,Array,True,VERB,5
json5_parse,json,False,NOUN,4
json5_parse,5,True,NUM,1
json5_parse,parse,True,VERB,5
json_parse,json,False,NOUN,4
json_parse,parse,True,VERB,5
deepCopyJson,deep,True,ADV,4
deepCopyJson,Copy,True,VERB,4
deepCopyJson,Json,False,NOUN,4
checkAuth,check,True,VERB,5
checkAuth,Auth,True,PROPN,4
formatTime,format,True,NOUN,6
formatTime,Time,True,NOUN,4
debounce,debounce,False,NOUN,8
pickRandomProperty,pick,True,VERB,4
pickRandomProperty,Random,True,ADJ,6
pickRandomProperty,Property,True,NOUN,8
getImgPath,get,True,VERB,3
getImgPath,Img,False,PROPN,3
getImgPath,Path,True,NOUN,4
trim,trim,True,VERB,4
handlePath,handle,True,VERB,6
handlePath,Path,True,NOUN,4
handleApiPath,handle,True,VERB,6
handleApiPath,Api,False,PROPN,3
handleApiPath,Path,True,NOUN,4
strLength,str,True,PROPN,3
strLength,Length,True,NOUN,6
nameLengthLimit,name,True,NOUN,4
nameLengthLimit,Length,True,NOUN,6
nameLengthLimit,Limit,True,VERB,5
htmlFilter,html,False,NOUN,4
htmlFilter,Filter,True,PROPN,6
entries,entries,True,NOUN,7
getMockText,get,True,VERB,3
getMockText,Mock,True,ADJ,4
getMockText,Text,True,NOUN,4
safeAssign,safe,True,ADJ,4
safeAssign,Assign,True,VERB,6
arrayChangeIndex,array,True,VERB,5
arrayChangeIndex,Change,True,VERB,6
arrayChangeIndex,Index,True,NOUN,5
mockData,mock,True,ADJ,4
mockData,Data,True,NOUN,4
handleJson,handle,True,VERB,6
handleJson,Json,False,NOUN,4
formatJson,format,True,NOUN,6
formatJson,Json,False,NOUN,4
handleData,handle,True,VERB,6
handleData,Data,True,NOUN,4
run,run,True,VERB,3
LogoSVG,Logo,True,PROPN,4
LogoSVG,SVG,False,PROPN,3
initCrossRequest,init,True,PROPN,4
initCrossRequest,Cross,True,VERB,5
initCrossRequest,Request,True,NOUN,7
CheckCrossInstall,Check,True,VERB,5
CheckCrossInstall,Cross,True,VERB,5
CheckCrossInstall,Install,True,VERB,7
jsonFormat,json,False,NOUN,4
jsonFormat,Format,True,PROPN,6
CaseReport,Case,True,NOUN,4
CaseReport,Report,True,NOUN,6
bindHook,bind,True,VERB,4
bindHook,Hook,True,VERB,4
emitHook,emit,True,VERB,4
emitHook,Hook,True,VERB,4
createStore,create,True,VERB,6
createStore,Store,True,NOUN,5
exports,exports,True,NOUN,7
json5_parse,json,False,NOUN,4
json5_parse,5,True,NUM,1
json5_parse,parse,True,VERB,5
diffText,diff,True,NOUN,4
diffText,Text,True,NOUN,4
diffJson,diff,True,NOUN,4
diffJson,Json,False,NOUN,4
