Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
insideMountpoint,inside,True,ADP,6
insideMountpoint,Mountpoint,False,PROPN,10
readdirMountpoints,read,True,VERB,4
readdirMountpoints,dir,True,PROPN,3
readdirMountpoints,Mount,True,PROPN,5
readdirMountpoints,points,True,VERB,6
translate,translate,True,VERB,9
cloneArgs,clone,True,VERB,5
cloneArgs,Args,False,PROPN,4
translateNth,translate,True,VERB,9
translateNth,Nth,True,PROPN,3
createMountpoint,create,True,VERB,6
createMountpoint,Mountpoint,False,PROPN,10
copyInChunks,copy,True,NOUN,4
copyInChunks,In,True,ADP,2
copyInChunks,Chunks,True,NOUN,6
copyFolderRecursiveSync,copy,True,NOUN,4
copyFolderRecursiveSync,Folder,True,PROPN,6
copyFolderRecursiveSync,Recursive,True,ADJ,9
copyFolderRecursiveSync,Sync,True,NOUN,4
createDirRecursively,create,True,VERB,6
createDirRecursively,Dir,True,PROPN,3
createDirRecursively,Recursively,True,ADV,11
replace,replace,True,VERB,7
findVirtualFileSystemKey,find,True,VERB,4
findVirtualFileSystemKey,Virtual,True,ADJ,7
findVirtualFileSystemKey,File,True,VERB,4
findVirtualFileSystemKey,System,True,NOUN,6
findVirtualFileSystemKey,Key,True,ADJ,3
toOriginal,to,True,PART,2
toOriginal,Original,True,ADJ,8
findVirtualFileSystemKeyAndFollowLinks,find,True,VERB,4
findVirtualFileSystemKeyAndFollowLinks,Virtual,True,ADJ,7
findVirtualFileSystemKeyAndFollowLinks,File,True,VERB,4
findVirtualFileSystemKeyAndFollowLinks,System,True,NOUN,6
findVirtualFileSystemKeyAndFollowLinks,Key,True,ADJ,3
findVirtualFileSystemKeyAndFollowLinks,And,True,CCONJ,3
findVirtualFileSystemKeyAndFollowLinks,Follow,True,VERB,6
findVirtualFileSystemKeyAndFollowLinks,Links,True,NOUN,5
realpathFromSnapshot,realpath,False,NOUN,8
realpathFromSnapshot,From,True,ADP,4
realpathFromSnapshot,Snapshot,True,NOUN,8
findVirtualFileSystemEntry,find,True,VERB,4
findVirtualFileSystemEntry,Virtual,True,ADJ,7
findVirtualFileSystemEntry,File,True,VERB,4
findVirtualFileSystemEntry,System,True,NOUN,6
findVirtualFileSystemEntry,Entry,True,NOUN,5
projectToFilesystem,project,True,NOUN,7
projectToFilesystem,To,True,PART,2
projectToFilesystem,File,True,VERB,4
projectToFilesystem,system,True,NOUN,6
projectToNearby,project,True,NOUN,7
projectToNearby,To,True,PART,2
projectToNearby,Nearby,True,ADV,6
findNativeAddonSyncFreeFromRequire,find,True,VERB,4
findNativeAddonSyncFreeFromRequire,Native,True,ADJ,6
findNativeAddonSyncFreeFromRequire,Add,True,VERB,3
findNativeAddonSyncFreeFromRequire,on,True,ADP,2
findNativeAddonSyncFreeFromRequire,Sync,True,NOUN,4
findNativeAddonSyncFreeFromRequire,Free,True,ADJ,4
findNativeAddonSyncFreeFromRequire,From,True,ADP,4
findNativeAddonSyncFreeFromRequire,Require,True,VERB,7
findNativeAddonSyncUnderRequire,find,True,VERB,4
findNativeAddonSyncUnderRequire,Native,True,ADJ,6
findNativeAddonSyncUnderRequire,Add,True,VERB,3
findNativeAddonSyncUnderRequire,on,True,ADP,2
findNativeAddonSyncUnderRequire,Sync,True,NOUN,4
findNativeAddonSyncUnderRequire,Under,True,ADP,5
findNativeAddonSyncUnderRequire,Require,True,VERB,7
asap,asap,True,PROPN,4
zalgoSafe,z,True,X,1
zalgoSafe,algo,False,ADV,4
zalgoSafe,Safe,True,ADJ,4
dezalgo,dezalgo,False,PROPN,7
rethrow,rethrow,False,PROPN,7
readPayload,read,True,VERB,4
readPayload,Payload,True,NOUN,7
readPayloadSync,read,True,VERB,4
readPayloadSync,Payload,True,NOUN,7
readPayloadSync,Sync,True,NOUN,4
payloadCopyUni,payload,True,NOUN,7
payloadCopyUni,Copy,True,VERB,4
payloadCopyUni,Uni,True,ADJ,3
payloadCopyMany,payload,True,NOUN,7
payloadCopyMany,Copy,True,VERB,4
payloadCopyMany,Many,True,ADJ,4
payloadCopyManySync,payload,True,NOUN,7
payloadCopyManySync,Copy,True,VERB,4
payloadCopyManySync,Many,True,ADJ,4
payloadCopyManySync,Sync,True,NOUN,4
payloadFile,payload,True,NOUN,7
payloadFile,File,True,VERB,4
payloadFileSync,payload,True,NOUN,7
payloadFileSync,File,True,VERB,4
payloadFileSync,Sync,True,NOUN,4
resolve,resolve,True,VERB,7
resolve,resolve,True,VERB,7
assertEncoding,assert,True,PROPN,6
assertEncoding,Encoding,True,VERB,8
maybeCallback,maybe,True,ADV,5
