Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
killProcess,2,True,True,True,True,False
abort,1,True,False,True,True,False
command,1,True,True,True,True,False
abortAll,2,True,False,True,True,False
getReleaseUrl,3,False,True,True,True,False
exports,1,True,False,True,True,False
setCustomLocalesPath,4,True,True,True,True,False
getLangPath,3,False,True,True,True,False
mapLang,2,False,False,True,True,False
loadPath,2,True,False,True,True,False
addPath,2,True,True,True,True,False
combineMessageAndSplat,4,True,True,True,True,False
createLogger,2,True,True,True,True,False
esc,1,True,False,True,True,False
exports,1,True,False,True,True,False
checkNewVersion,3,True,True,True,True,False
drawOnCanvas,3,True,True,True,True,False
pause,1,True,True,True,True,False
play,1,True,True,True,True,False
terminate,1,True,True,True,True,False
useSegColors,3,False,True,True,True,False
loadCsvSeconds,3,False,False,True,True,False
loadCsvFrames,3,False,False,True,True,False
loadXmeml,2,False,False,True,True,False
loadFcpXml,3,False,True,True,True,False
loadDvAnalyzerSummaryTxt,5,False,True,True,True,False
loadPbf,2,False,False,True,True,False
loadMplayerEdl,4,False,False,False,False,False
loadCue,2,True,False,True,True,False
saveCsv,2,False,True,True,True,False
saveCsvHuman,3,False,True,True,True,False
saveCsvFrames,3,False,True,True,True,False
saveTsv,2,False,True,True,True,False
saveLlcProject,3,False,True,True,True,False
loadLlcProject,3,False,False,True,True,False
readEdlFile,3,False,True,True,True,False
askForEdlImport,4,False,True,True,True,False
exportEdlFile,3,False,True,True,True,False
blackdetect,2,True,True,True,False,False
silencedetect,2,True,True,True,False,False
sceneChange,2,True,True,True,True,False
logStdoutStderr,3,True,True,True,True,False
isCuttingStart,3,True,True,True,True,False
isCuttingEnd,3,True,True,True,True,False
getIntervalAroundTime,4,True,True,True,True,False
readFrames,2,True,True,True,True,False
readFramesAroundTime,4,True,True,True,True,False
readKeyframesAroundTime,5,True,True,True,False,False
findKeyframeAtExactTime,6,True,True,True,False,False
findNextKeyframe,4,True,True,True,False,False
findPreviousKeyframe,4,True,True,True,False,False
findNearestKeyframe,4,False,True,True,False,False
findKeyframe,3,True,True,True,False,False
findKeyframeNearTime,5,True,True,True,False,False
isCloseTo,3,True,True,True,True,False
findReverseIndex,3,True,True,True,True,False
getSafeCutTime,4,True,True,True,True,False
findNearestKeyFrameTime,5,False,True,True,True,False
tryMapChaptersToEdl,5,False,True,True,True,False
createChaptersFromSegments,4,True,True,True,True,False
mapDefaultFormat,3,True,False,True,True,False
determineOutputFormat,3,True,True,True,True,False
getSmarterOutFormat,4,True,True,True,True,False
readFileMeta,3,True,True,True,True,False
getPreferredCodecFormat,4,True,True,True,True,False
extractNonAttachmentStreams,4,True,True,True,True,False
extractAttachmentStreams,3,True,True,True,True,False
extractStreams,2,True,True,True,True,False
renderThumbnail,2,True,True,True,True,False
extractSubtitleTrack,3,True,True,True,True,False
renderThumbnails,2,True,True,True,True,False
extractWaveform,2,True,True,True,True,False
isIphoneHevc,4,False,False,False,False,False
isProblematicAvc1,4,True,False,False,False,False
getStreamFps,3,True,True,True,True,False
parseTimecode,3,True,True,True,False,False
getTimecodeFromStreams,5,True,True,True,False,False
runFfmpegStartupCheck,4,False,True,True,True,False
getExperimentalArgs,3,False,True,True,True,False
getVideoTimescaleArgs,5,False,True,True,False,False
getVideoArgs,3,False,True,True,True,False
cutEncodeSmartPart,4,True,True,True,True,False
parseLevel,2,True,True,True,True,False
