Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
loadStatsConfig,load,True,NOUN,4
loadStatsConfig,Stats,True,NOUN,5
loadStatsConfig,Config,False,PROPN,6
parseField,parse,True,VERB,5
parseField,Field,True,NOUN,5
benchmarkUrl,benchmark,True,PROPN,9
benchmarkUrl,Url,False,NOUN,3
collectDiffs,collect,True,VERB,7
collectDiffs,Diffs,True,NOUN,5
collectDiffs,collect,True,VERB,7
collectDiffs,Diffs,True,NOUN,5
collectStats,collect,True,VERB,7
collectStats,Stats,True,NOUN,5
collectStats,collect,True,VERB,7
collectStats,Stats,True,NOUN,5
getDirSize,get,True,VERB,3
getDirSize,Dir,True,PROPN,3
getDirSize,Size,True,NOUN,4
logger,logger,True,VERB,6
json,json,False,NOUN,4
error,error,True,NOUN,5
warn,warn,True,VERB,4
Root,Root,True,VERB,4
page,page,True,NOUN,4
page,page,True,NOUN,4
getServerSideProps,get,True,VERB,3
getServerSideProps,Server,True,PROPN,6
getServerSideProps,Side,True,NOUN,4
getServerSideProps,Props,True,NOUN,5
GET,GET,True,VERB,3
Layout,Layout,True,NOUN,6
Page,Page,True,NOUN,4
handler,handler,True,NOUN,7
getServerSideProps,get,True,VERB,3
getServerSideProps,Server,True,PROPN,6
getServerSideProps,Side,True,NOUN,4
getServerSideProps,Props,True,NOUN,5
RootLayout,Root,True,VERB,4
RootLayout,Layout,True,NOUN,6
Home,Home,True,NOUN,4
Home,Home,True,NOUN,4
createSrcFolder,create,True,VERB,6
createSrcFolder,Src,False,NOUN,3
createSrcFolder,Folder,True,PROPN,6
test,test,True,NOUN,4
run,run,True,VERB,3
main,main,True,ADJ,4
test,test,True,NOUN,4
test,test,True,NOUN,4
items,items,True,NOUN,5
Root,Root,True,VERB,4
page,page,True,NOUN,4
page,page,True,NOUN,4
getServerSideProps,get,True,VERB,3
getServerSideProps,Server,True,PROPN,6
getServerSideProps,Side,True,NOUN,4
getServerSideProps,Props,True,NOUN,5
getPercentile,get,True,VERB,3
getPercentile,Percentile,True,VERB,10
getMetrics,get,True,VERB,3
getMetrics,Metrics,True,NOUN,7
round,round,True,ADV,5
getConfidenceInterval,get,True,VERB,3
getConfidenceInterval,Confidence,True,NOUN,10
getConfidenceInterval,Interval,True,NOUN,8
downsample,down,True,ADV,4
downsample,sample,True,NOUN,6
printBenchmarkResults,print,True,NOUN,5
printBenchmarkResults,Benchmark,True,PROPN,9
printBenchmarkResults,Results,True,NOUN,7
generatePackageJson,generate,True,VERB,8
generatePackageJson,Package,True,NOUN,7
generatePackageJson,Json,False,NOUN,4
packNextBuild,pack,True,VERB,4
packNextBuild,Next,True,ADV,4
packNextBuild,Build,True,VERB,5
getCurrentNextVersion,get,True,VERB,3
getCurrentNextVersion,Current,True,ADJ,7
getCurrentNextVersion,Next,True,ADV,4
getCurrentNextVersion,Version,True,NOUN,7
getCurrentRootReactPackagesVersions,get,True,VERB,3
getCurrentRootReactPackagesVersions,Current,True,ADJ,7
getCurrentRootReactPackagesVersions,Root,True,VERB,4
getCurrentRootReactPackagesVersions,React,True,VERB,5
getCurrentRootReactPackagesVersions,Packages,True,NOUN,8
getCurrentRootReactPackagesVersions,Versions,True,NOUN,8
generate,generate,True,VERB,8
Avatar,Avatar,True,NOUN,6
builderLoader,builder,True,NOUN,7
builderLoader,Loader,True,PROPN,6
BuilderImage,Builder,True,NOUN,7
BuilderImage,Image,True,NOUN,5
Container,Container,True,NOUN,9
CoverImage,Cover,True,NOUN,5
CoverImage,Image,True,NOUN,5
DateComponent,Date,True,NOUN,4
DateComponent,Component,True,NOUN,9
Footer,Footer,True,PROPN,6
Header,Header,True,NOUN,6
HeroPost,Hero,True,NOUN,4
HeroPost,Post,True,NOUN,4
Intro,Intro,True,PROPN,5
Meta,Meta,True,VERB,4
PostBody,Post,True,NOUN,4
PostBody,Body,True,NOUN,4
PostPreview,Post,True,NOUN,4
PostPreview,Preview,True,PROPN,7
PostTitle,Post,True,NOUN,4
PostTitle,Title,True,NOUN,5
SectionSeparator,Section,True,NOUN,7
SectionSeparator,Separator,True,PROPN,9
exit,exit,True,NOUN,4
preview,preview,True,NOUN,7
MyApp,My,True,PRON,2
MyApp,App,True,PROPN,3
AuthorCard,Author,True,NOUN,6
AuthorCard,Card,True,NOUN,4
Blog,Blog,True,NOUN,4
CategoriesWidget,Categories,True,NOUN,10
CategoriesWidget,Widget,True,NOUN,6
PostPreviewCondensed,Post,True,NOUN,4
PostPreviewCondensed,Preview,True,PROPN,7
PostPreviewCondensed,Condensed,True,VERB,9
PostsPreview,Posts,True,NOUN,5
PostsPreview,Preview,True,PROPN,7
PostsList,Posts,True,NOUN,5
PostsList,List,True,NOUN,4
SearchWidget,Search,True,NOUN,6
SearchWidget,Widget,True,NOUN,6
fixNavBar,fix,True,VERB,3
fixNavBar,Nav,True,NOUN,3
fixNavBar,Bar,True,VERB,3
HeaderSection,Header,True,NOUN,6
HeaderSection,Section,True,NOUN,7
HumanDate,Human,True,ADJ,5
HumanDate,Date,True,NOUN,4
Feature,Feature,True,NOUN,7
Features,Features,True,NOUN,8
Hero,Hero,True,NOUN,4
Testimonial,Testimonial,True,ADJ,11
Testimonials,Testimonials,True,NOUN,12
TwoColumnWithImage,Two,True,NUM,3
TwoColumnWithImage,Column,True,NOUN,6
TwoColumnWithImage,With,True,ADP,4
TwoColumnWithImage,Image,True,NOUN,5
MainMenuLink,Main,True,ADJ,4
MainMenuLink,Menu,True,PROPN,4
MainMenuLink,Link,True,NOUN,4
MissingTokenSection,Missing,True,VERB,7
MissingTokenSection,Token,True,PROPN,5
MissingTokenSection,Section,True,NOUN,7
Preloader,P,True,NOUN,1
Preloader,reloader,False,NOUN,8
MissingToken,Missing,True,VERB,7
MissingToken,Token,True,PROPN,5
getStaticProps,get,True,VERB,3
getStaticProps,Static,True,NOUN,6
getStaticProps,Props,True,NOUN,5
Document,Document,True,NOUN,8
Avatar,Avatar,True,NOUN,6
Container,Container,True,NOUN,9
Date,Date,True,NOUN,4
Footer,Footer,True,PROPN,6
Header,Header,True,NOUN,6
HeroPost,Hero,True,NOUN,4
HeroPost,Post,True,NOUN,4
Intro,Intro,True,PROPN,5
Meta,Meta,True,VERB,4
MoreStories,More,True,ADV,4
MoreStories,Stories,True,NOUN,7
PostBody,Post,True,NOUN,4
PostBody,Body,True,NOUN,4
PostPreview,Post,True,NOUN,4
PostPreview,Preview,True,PROPN,7
PostTitle,Post,True,NOUN,4
PostTitle,Title,True,NOUN,5
SectionSeparator,Section,True,NOUN,7
SectionSeparator,Separator,True,PROPN,9
markdownToHtml,markdown,True,ADJ,8
markdownToHtml,To,True,PART,2
markdownToHtml,Html,False,NOUN,4
exit,exit,True,NOUN,4
preview,preview,True,NOUN,7
MyApp,My,True,PRON,2
MyApp,App,True,PROPN,3
Document,Document,True,NOUN,8
Categories,Categories,True,NOUN,10
Container,Container,True,NOUN,9
Date,Date,True,NOUN,4
Footer,Footer,True,PROPN,6
Header,Header,True,NOUN,6
HeroPost,Hero,True,NOUN,4
HeroPost,Post,True,NOUN,4
Intro,Intro,True,PROPN,5
Meta,Meta,True,VERB,4
MoreStories,More,True,ADV,4
MoreStories,Stories,True,NOUN,7
PostBody,Post,True,NOUN,4
PostBody,Body,True,NOUN,4
PostPreview,Post,True,NOUN,4
PostPreview,Preview,True,PROPN,7
PostTitle,Post,True,NOUN,4
PostTitle,Title,True,NOUN,5
SectionSeparator,Section,True,NOUN,7
SectionSeparator,Separator,True,PROPN,9
Tags,Tags,True,NOUN,4
absoluteURL,absolute,True,VERB,8
absoluteURL,URL,True,NOUN,3
exit,exit,True,NOUN,4
Index,Index,True,NOUN,5
getStaticProps,get,True,VERB,3
getStaticProps,Static,True,NOUN,6
getStaticProps,Props,True,NOUN,5
MyApp,My,True,PRON,2
MyApp,App,True,PROPN,3
Document,Document,True,NOUN,8
exit,exit,True,NOUN,4
preview,preview,True,NOUN,7
Avatar,Avatar,True,NOUN,6
Container,Container,True,NOUN,9
CoverImage,Cover,True,NOUN,5
CoverImage,Image,True,NOUN,5
Date,Date,True,NOUN,4
Footer,Footer,True,PROPN,6
Header,Header,True,NOUN,6
HeroPost,Hero,True,NOUN,4
HeroPost,Post,True,NOUN,4
Intro,Intro,True,PROPN,5
Meta,Meta,True,VERB,4
MoreStories,More,True,ADV,4
MoreStories,Stories,True,NOUN,7
PostBody,Post,True,NOUN,4
PostBody,Body,True,NOUN,4
PostPreview,Post,True,NOUN,4
PostPreview,Preview,True,PROPN,7
PostTitle,Post,True,NOUN,4
PostTitle,Title,True,NOUN,5
SectionSeparator,Section,True,NOUN,7
SectionSeparator,Separator,True,PROPN,9
exit,exit,True,NOUN,4
preview,preview,True,NOUN,7
MyApp,My,True,PRON,2
MyApp,App,True,PROPN,3
Document,Document,True,NOUN,8
Avatar,Avatar,True,NOUN,6
Container,Container,True,NOUN,9
CoverImage,Cover,True,NOUN,5
CoverImage,Image,True,NOUN,5
Date,Date,True,NOUN,4
Footer,Footer,True,PROPN,6
Header,Header,True,NOUN,6
HeroPost,Hero,True,NOUN,4
HeroPost,Post,True,NOUN,4
Intro,Intro,True,PROPN,5
Meta,Meta,True,VERB,4
MoreStories,More,True,ADV,4
MoreStories,Stories,True,NOUN,7
PostPreview,Post,True,NOUN,4
PostPreview,Preview,True,PROPN,7
PostTitle,Post,True,NOUN,4
PostTitle,Title,True,NOUN,5
SectionSeparator,Section,True,NOUN,7
SectionSeparator,Separator,True,PROPN,9
fetchAPI,fetch,True,VERB,5
fetchAPI,API,True,NOUN,3
getPreviewPostBySlug,get,True,VERB,3
getPreviewPostBySlug,Preview,True,PROPN,7
getPreviewPostBySlug,Post,True,NOUN,4
getPreviewPostBySlug,By,True,ADP,2
