Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
addCategory,2,True,True,True,True,False
initData,2,False,False,True,True,False
getData,2,True,True,True,True,False
cityGuess,2,True,True,True,True,False
cityHot,2,True,False,True,True,False
cityGroup,2,True,False,True,True,False
getCityById,4,False,True,True,True,False
i,1,True,False,False,True,False
e,1,True,False,False,True,False
e,1,True,False,False,True,False
f,1,True,False,False,True,False
i,1,True,False,False,True,False
t,1,True,False,False,True,False
a,1,True,False,False,True,False
a,1,True,False,False,True,False
t,1,True,False,False,True,False
i,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
m,1,True,True,False,True,False
i,1,True,False,False,True,False
s,1,True,False,False,True,False
e,1,True,False,False,True,False
e,1,True,False,False,True,False
g,1,True,False,False,True,False
s,1,True,False,False,True,False
s,1,True,False,False,True,False
r,1,True,False,False,True,False
r,1,True,False,False,True,False
cityGuess,2,True,True,True,True,False
hotcity,2,True,False,True,False,False
groupcity,2,True,False,True,False,False
currentcity,2,True,False,True,False,False
searchplace,2,True,False,True,False,False
msiteAddress,3,True,True,False,False,False
msiteFoodTypes,4,True,True,False,False,False
shopList,2,True,False,True,True,False
searchRestaurant,2,True,False,True,True,False
foodCategory,2,True,False,True,True,False
foodDelivery,2,True,False,True,True,False
foodActivity,2,True,False,True,True,False
shopDetails,2,True,False,True,True,False
foodMenu,2,True,False,True,True,False
getRatingList,3,True,True,True,True,False
ratingScores,2,True,True,True,True,False
ratingTags,2,True,True,True,True,False
mobileCode,2,True,False,True,True,False
getcaptchas,4,False,True,True,False,False
checkExsis,3,False,True,True,False,False
sendMobile,2,True,True,True,True,False
checkout,1,True,False,True,True,False
getRemark,2,True,True,True,True,False
getAddress,2,True,True,True,True,False
searchNearby,2,True,False,True,True,False
postAddAddress,3,True,True,True,True,False
placeOrders,2,True,False,True,True,False
rePostVerify,3,False,True,True,True,False
validateOrders,2,True,True,True,True,False
payRequest,2,True,True,True,True,False
getService,2,True,True,True,True,False
vipCart,2,False,True,True,True,False
getHongbaoNum,3,False,True,True,True,False
getExpired,2,True,True,True,True,False
exChangeHongbao,3,False,True,True,True,False
getUser,2,True,True,True,True,False
getOrderList,3,True,True,True,True,False
getOrderDetail,3,True,True,True,True,False
getAddressList,3,True,True,True,True,False
getSearchAddress,3,True,True,True,True,False
deleteAddress,2,True,True,True,True,False
accountLogin,2,True,True,True,True,False
signout,2,True,True,True,False,False
changePassword,2,True,True,True,True,False
r,1,True,False,False,True,False
setStore,2,True,True,True,True,False
getStore,2,True,True,True,True,False
removeStore,2,True,True,True,True,False
getStyle,2,True,True,True,True,False
n,1,True,False,False,True,False
n,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
a,1,True,False,False,True,False
showBack,2,True,True,True,True,False
i,1,True,False,False,True,False
animate,1,True,True,True,True,False
r,1,True,False,False,True,False
r,1,True,False,False,True,False
onreadystatechange,4,True,True,True,False,False
t,1,True,False,False,True,False
a,1,True,False,False,True,False
r,1,True,False,False,True,False
i,1,True,False,False,True,False
s,1,True,False,False,True,False
c,1,True,False,False,True,False
u,1,True,False,False,True,False
l,1,True,False,False,True,False
d,1,True,False,False,True,False
f,1,True,False,False,True,False
h,1,True,False,False,True,False
v,1,True,False,False,True,False
p,1,True,False,False,True,False
m,1,True,True,False,True,False
g,1,True,False,False,True,False
S,1,True,False,False,False,False
y,1,True,False,False,True,False
A,1,True,False,False,False,False
E,1,True,False,False,False,False
b,1,True,False,False,True,False
M,1,True,False,False,False,False
z,1,True,False,False,True,False
R,1,True,True,False,False,False
w,1,True,False,False,True,False
D,1,True,False,False,False,False
x,1,True,True,False,True,False
O,1,True,False,False,False,False
C,1,True,False,False,False,False
L,1,True,False,False,False,False
T,1,True,False,False,False,False
I,1,True,False,False,False,False
k,1,True,False,False,True,False
H,1,True,False,False,False,False
B,1,True,False,False,False,False
V,1,True,False,False,False,False
F,1,True,False,False,False,False
P,1,True,False,False,False,False
N,1,True,False,False,False,False
U,1,True,False,False,False,False
G,1,True,False,False,False,False
j,1,True,False,False,True,False
q,1,True,False,False,True,False
X,1,True,False,False,False,False
Y,1,True,False,False,False,False
J,1,True,False,False,False,False
K,1,True,False,False,False,False
r,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
r,1,True,False,False,True,False
r,1,True,False,False,True,False
a,1,True,False,False,True,False
a,1,True,False,False,True,False
n,1,True,False,False,True,False
n,1,True,False,False,True,False
o,1,True,False,False,True,False
o,1,True,False,False,True,False
e,1,True,False,False,True,False
s,1,True,False,False,True,False
e,1,True,False,False,True,False
s,1,True,False,False,True,False
n,1,True,False,False,True,False
o,1,True,False,False,True,False
t,1,True,False,False,True,False
e,1,True,False,False,True,False
t,1,True,False,False,True,False
i,1,True,False,False,True,False
s,1,True,False,False,True,False
n,1,True,False,False,True,False
o,1,True,False,False,True,False
r,1,True,False,False,True,False
a,1,True,False,False,True,False
l,1,True,False,False,True,False
c,1,True,False,False,True,False
h,1,True,False,False,True,False
d,1,True,False,False,True,False
i,1,True,False,False,True,False
s,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
i,1,True,False,False,True,False
i,1,True,False,False,True,False
i,1,True,False,False,True,False
s,1,True,False,False,True,False
e,1,True,False,False,True,False
o,1,True,False,False,True,False
o,1,True,False,False,True,False
A,1,True,False,False,False,False
A,1,True,False,False,False,False
i,1,True,False,False,True,False
exports,1,True,False,True,True,False
i,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
a,1,True,False,False,True,False
a,1,True,False,False,True,False
n,1,True,False,False,True,False
n,1,True,False,False,True,False
n,1,True,False,False,True,False
n,1,True,False,False,True,False
e,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
r,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
g,1,True,False,False,True,False
r,1,True,False,False,True,False
r,1,True,False,False,True,False
r,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
r,1,True,False,False,True,False
e,1,True,False,False,True,False
e,1,True,False,False,True,False
e,1,True,False,False,True,False
r,1,True,False,False,True,False
e,1,True,False,False,True,False
a,1,True,False,False,True,False
i,1,True,False,False,True,False
e,1,True,False,False,True,False
e,1,True,False,False,True,False
u,1,True,False,False,True,False
exports,1,True,False,True,True,False
i,1,True,False,False,True,False
i,1,True,False,False,True,False
r,1,True,False,False,True,False
r,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
n,1,True,False,False,True,False
e,1,True,False,False,True,False
n,1,True,False,False,True,False
o,1,True,False,False,True,False
s,1,True,False,False,True,False
t,1,True,False,False,True,False
e,1,True,False,False,True,False
t,1,True,False,False,True,False
i,1,True,False,False,True,False
n,1,True,False,False,True,False
o,1,True,False,False,True,False
s,1,True,False,False,True,False
r,1,True,False,False,True,False
a,1,True,False,False,True,False
l,1,True,False,False,True,False
c,1,True,False,False,True,False
h,1,True,False,False,True,False
p,1,True,False,False,True,False
i,1,True,False,False,True,False
n,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
i,1,True,False,False,True,False
i,1,True,False,False,True,False
i,1,True,False,False,True,False
n,1,True,False,False,True,False
s,1,True,False,False,True,False
e,1,True,False,False,True,False
s,1,True,False,False,True,False
o,1,True,False,False,True,False
n,1,True,False,False,True,False
t,1,True,False,False,True,False
e,1,True,False,False,True,False
t,1,True,False,False,True,False
i,1,True,False,False,True,False
s,1,True,False,False,True,False
o,1,True,False,False,True,False
n,1,True,False,False,True,False
a,1,True,False,False,True,False
r,1,True,False,False,True,False
l,1,True,False,False,True,False
h,1,True,False,False,True,False
c,1,True,False,False,True,False
p,1,True,False,False,True,False
i,1,True,False,False,True,False
s,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
i,1,True,False,False,True,False
i,1,True,False,False,True,False
i,1,True,False,False,True,False
s,1,True,False,False,True,False
e,1,True,False,False,True,False
a,1,True,False,False,True,False
a,1,True,False,False,True,False
i,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
v,1,True,False,False,True,False
i,1,True,False,False,True,False
e,1,True,False,False,True,False
e,1,True,False,False,True,False
i,1,True,False,False,True,False
i,1,True,False,False,True,False
n,1,True,False,False,True,False
n,1,True,False,False,True,False
n,1,True,False,False,True,False
n,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
a,1,True,False,False,True,False
webpackJsonp,3,False,True,True,False,False
e,1,True,False,False,True,False
i,1,True,False,False,True,False
e,1,True,False,False,True,False
e,1,True,False,False,True,False
f,1,True,False,False,True,False
i,1,True,False,False,True,False
i,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
i,1,True,False,False,True,False
t,1,True,False,False,True,False
i,1,True,False,False,True,False
swiper,1,False,False,True,True,False
e,1,True,False,False,True,False
n,1,True,False,False,True,False
o,1,True,False,False,True,False
l,1,True,False,False,True,False
p,1,True,False,False,True,False
d,1,True,False,False,True,False
c,1,True,False,False,True,False
m,1,True,True,False,True,False
u,1,True,False,False,True,False
g,1,True,False,False,True,False
f,1,True,False,False,True,False
getActiveBreakpoint,3,True,True,True,True,False
setBreakpoint,2,True,True,True,True,False
isHorizontal,2,True,False,True,True,False
lockSwipeToNext,4,False,True,True,True,False
lockSwipeToPrev,4,False,True,True,True,False
lockSwipes,2,True,True,True,True,False
unlockSwipeToNext,4,True,True,True,True,False
unlockSwipeToPrev,4,False,True,True,True,False
unlockSwipes,2,True,True,True,True,False
setGrabCursor,3,True,True,True,True,False
unsetGrabCursor,3,True,True,True,True,False
n,1,True,False,False,True,False
loadImage,2,True,False,True,True,False
e,1,True,False,False,True,False
preloadImages,2,True,False,True,True,False
startAutoplay,3,False,True,True,False,False
stopAutoplay,3,False,True,True,False,False
pauseAutoplay,3,False,True,True,False,False
minTranslate,2,True,True,True,True,False
maxTranslate,2,True,True,True,True,False
updateAutoHeight,3,True,True,True,True,False
updateContainerSize,3,True,True,True,True,False
updateSlidesSize,3,True,True,True,True,False
updateSlidesOffset,3,True,True,True,True,False
currentSlidesPerView,4,True,False,True,True,False
updateSlidesProgress,3,True,True,True,True,False
updateProgress,2,True,True,True,True,False
updateActiveIndex,3,True,True,True,True,False
updateRealIndex,3,True,True,True,True,False
updateClasses,2,True,True,True,True,False
updatePagination,2,True,True,True,True,False
t,1,True,False,False,True,False
update,1,True,True,True,True,False
onResize,2,True,False,True,True,False
initEvents,2,False,False,True,True,False
attachEvents,2,True,True,True,True,False
detachEvents,2,True,False,True,True,False
preventClicks,2,True,True,True,True,False
