Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
isSelected,is,True,AUX,2
isSelected,Selected,True,VERB,8
getTime,get,True,VERB,3
getTime,Time,True,NOUN,4
formatMonthTitle,format,True,NOUN,6
formatMonthTitle,Month,True,NOUN,5
formatMonthTitle,Title,True,NOUN,5
compareMonth,compare,True,VERB,7
compareMonth,Month,True,NOUN,5
compareDay,compare,True,VERB,7
compareDay,Day,True,NOUN,3
getDayByOffset,get,True,VERB,3
getDayByOffset,Day,True,NOUN,3
getDayByOffset,By,True,ADP,2
getDayByOffset,Offset,True,VERB,6
getPrevDay,get,True,VERB,3
getPrevDay,Prev,False,PROPN,4
getPrevDay,Day,True,NOUN,3
getNextDay,get,True,VERB,3
getNextDay,Next,True,ADV,4
getNextDay,Day,True,NOUN,3
getToday,get,True,VERB,3
getToday,Today,True,NOUN,5
calcDateNum,calc,False,NOUN,4
calcDateNum,Date,True,NOUN,4
calcDateNum,Num,False,PROPN,3
copyDates,copy,True,NOUN,4
copyDates,Dates,True,NOUN,5
getMonthEndDay,get,True,VERB,3
getMonthEndDay,Month,True,NOUN,5
getMonthEndDay,End,True,NOUN,3
getMonthEndDay,Day,True,NOUN,3
getMonths,get,True,VERB,3
getMonths,Months,True,NOUN,6
emit,emit,True,VERB,4
adaptor,adaptor,False,NOUN,7
format,format,True,NOUN,6
run,run,True,VERB,3
useAnimation,use,True,VERB,3
useAnimation,Animation,True,NOUN,9
setContentAnimate,set,True,VERB,3
setContentAnimate,Content,True,NOUN,7
setContentAnimate,Animate,True,VERB,7
mapKeys,map,True,NOUN,3
mapKeys,Keys,True,NOUN,4
VantComponent,V,True,NOUN,1
VantComponent,ant,True,ADJ,3
VantComponent,Component,True,NOUN,9
useParent,use,True,VERB,3
useParent,Parent,True,NOUN,6
useChildren,use,True,VERB,3
useChildren,Children,True,NOUN,8
range,range,True,NOUN,5
nextTick,next,True,ADV,4
nextTick,Tick,True,VERB,4
addUnit,add,True,VERB,3
addUnit,Unit,True,NOUN,4
requestAnimationFrame,request,True,NOUN,7
requestAnimationFrame,Animation,True,NOUN,9
requestAnimationFrame,Frame,True,NOUN,5
pickExclude,pick,True,VERB,4
pickExclude,Exclude,True,VERB,7
getRect,get,True,VERB,3
getRect,Rect,True,VERB,4
getAllRect,get,True,VERB,3
getAllRect,All,True,PRON,3
getAllRect,Rect,True,VERB,4
groupSetData,group,True,NOUN,5
groupSetData,Set,True,VERB,3
groupSetData,Data,True,NOUN,4
toPromise,to,True,PART,2
toPromise,Promise,True,VERB,7
addNumber,add,True,VERB,3
addNumber,Number,True,NOUN,6
clamp,clamp,True,VERB,5
getCurrentPage,get,True,VERB,3
getCurrentPage,Current,True,ADJ,7
getCurrentPage,Page,True,NOUN,4
isFunction,is,True,AUX,2
isFunction,Function,True,NOUN,8
isPlainObject,is,True,AUX,2
isPlainObject,Plain,True,VERB,5
isPlainObject,Object,True,VERB,6
isPromise,is,True,AUX,2
isPromise,Promise,True,VERB,7
isDef,is,True,AUX,2
isDef,Def,True,VERB,3
isObj,is,True,AUX,2
isObj,Obj,True,PROPN,3
isNumber,is,True,AUX,2
isNumber,Number,True,NOUN,6
isBoolean,is,True,AUX,2
isBoolean,Boolean,True,ADJ,7
isImageUrl,is,True,AUX,2
isImageUrl,Image,True,NOUN,5
isImageUrl,Url,False,NOUN,3
isVideoUrl,is,True,AUX,2
isVideoUrl,Video,True,NOUN,5
isVideoUrl,Url,False,NOUN,3
getSystemInfoSync,get,True,VERB,3
getSystemInfoSync,System,True,NOUN,6
getSystemInfoSync,Info,True,NOUN,4
getSystemInfoSync,Sync,True,NOUN,4
compareVersion,compare,True,VERB,7
compareVersion,Version,True,NOUN,7
gte,gte,False,NOUN,3
canIUseModel,can,True,AUX,3
canIUseModel,I,True,PRON,1
canIUseModel,Use,True,VERB,3
canIUseModel,Model,True,PROPN,5
canIUseFormFieldButton,can,True,AUX,3
canIUseFormFieldButton,I,True,PRON,1
canIUseFormFieldButton,Use,True,VERB,3
canIUseFormFieldButton,Form,True,VERB,4
canIUseFormFieldButton,Field,True,NOUN,5
canIUseFormFieldButton,Button,True,PROPN,6
canIUseAnimate,can,True,AUX,3
canIUseAnimate,I,True,PRON,1
canIUseAnimate,Use,True,VERB,3
canIUseAnimate,Animate,True,VERB,7
canIUseGroupSetData,can,True,AUX,3
canIUseGroupSetData,I,True,PRON,1
canIUseGroupSetData,Use,True,VERB,3
canIUseGroupSetData,Group,True,PROPN,5
canIUseGroupSetData,Set,True,VERB,3
canIUseGroupSetData,Data,True,NOUN,4
canIUseNextTick,can,True,AUX,3
canIUseNextTick,I,True,PRON,1
canIUseNextTick,Use,True,VERB,3
canIUseNextTick,Next,True,ADV,4
canIUseNextTick,Tick,True,VERB,4
canIUseCanvas2d,can,True,AUX,3
canIUseCanvas2d,I,True,PRON,1
canIUseCanvas2d,Use,True,VERB,3
canIUseCanvas2d,Canvas,True,NOUN,6
canIUseCanvas2d,2,True,NUM,1
canIUseCanvas2d,d,True,X,1
canIUseGetUserProfile,can,True,AUX,3
canIUseGetUserProfile,I,True,PRON,1
canIUseGetUserProfile,Use,True,VERB,3
canIUseGetUserProfile,Get,True,VERB,3
canIUseGetUserProfile,User,True,NOUN,4
canIUseGetUserProfile,Profile,True,VERB,7
simpleTick,simple,True,ADJ,6
simpleTick,Tick,True,VERB,4
padZero,pad,True,NOUN,3
padZero,Zero,True,NUM,4
parseTimeData,parse,True,VERB,5
parseTimeData,Time,True,NOUN,4
