Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
close,close,True,VERB,5
Toast,Toast,True,VERB,5
useAPI,use,True,VERB,3
useAPI,API,True,NOUN,3
useAuth,use,True,VERB,3
useAuth,Auth,True,PROPN,4
AuthContext,Auth,True,PROPN,4
AuthContext,Context,True,NOUN,7
Billing,Billing,True,NOUN,7
ColorPicker,Color,True,NOUN,5
ColorPicker,Picker,True,NOUN,6
ConfirmButton,Confirm,True,VERB,7
ConfirmButton,Button,True,PROPN,6
toIFrame,to,True,PART,2
toIFrame,I,True,PRON,1
toIFrame,Frame,True,NOUN,5
toURL,to,True,PART,2
toURL,URL,True,NOUN,3
replaceAsterisks,replace,True,VERB,7
replaceAsterisks,Asterisks,True,NOUN,9
CopyButton,Copy,True,VERB,4
CopyButton,Button,True,PROPN,6
CopyEmbed,Copy,True,VERB,4
CopyEmbed,Embed,True,VERB,5
useClipboardSupport,use,True,VERB,3
useClipboardSupport,Clipboard,True,PROPN,9
useClipboardSupport,Support,True,NOUN,7
CopyMenu,Copy,True,VERB,4
CopyMenu,Menu,True,PROPN,4
preventDefault,prevent,True,VERB,7
preventDefault,Default,True,NOUN,7
handleExportSizeChange,handle,True,VERB,6
handleExportSizeChange,Export,True,NOUN,6
handleExportSizeChange,Size,True,NOUN,4
handleExportSizeChange,Change,True,VERB,6
handleExport,handle,True,VERB,6
handleExport,Export,True,NOUN,6
ExportMenu,Export,True,NOUN,6
ExportMenu,Menu,True,PROPN,4
FontFace,Font,True,PROPN,4
FontFace,Face,True,VERB,4
Font,Font,True,PROPN,4
onChange,on,True,ADP,2
onChange,Change,True,VERB,6
onFiles,on,True,ADP,2
onFiles,Files,True,NOUN,5
FontSelect,Font,True,PROPN,4
FontSelect,Select,True,PROPN,6
Footer,Footer,True,PROPN,6
Header,Header,True,NOUN,6
userTiming,user,True,NOUN,4
userTiming,Timing,True,VERB,6
usePerformanceMeasurement,use,True,VERB,3
usePerformanceMeasurement,Performance,True,NOUN,11
usePerformanceMeasurement,Measurement,True,PROPN,11
Drawer,Drawer,True,NOUN,6
LoginButton,Login,True,VERB,5
LoginButton,Button,True,PROPN,6
Link,Link,True,NOUN,4
StylesheetLink,Stylesheet,False,VERB,10
StylesheetLink,Link,True,NOUN,4
CodeMirrorLink,Code,True,NOUN,4
CodeMirrorLink,Mirror,True,NOUN,6
CodeMirrorLink,Link,True,NOUN,4
Meta,Meta,True,VERB,4
Overlay,Overlay,True,VERB,7
PhotoCredit,Photo,True,NOUN,5
PhotoCredit,Credit,True,NOUN,6
ReferralLink,Referral,True,NOUN,8
ReferralLink,Link,True,NOUN,4
ShareMenu,Share,True,NOUN,5
ShareMenu,Menu,True,PROPN,4
Spinner,Spinner,True,PROPN,7
Font,Font,True,PROPN,4
Reset,Reset,True,VERB,5
Typography,Typography,True,NOUN,10
Up,Up,True,ADV,2
Down,Down,True,ADV,4
Right,Right,True,INTJ,5
Checkmark,Check,True,VERB,5
Checkmark,mark,True,NOUN,4
Controls,Controls,True,NOUN,8
ControlsBW,Controls,True,NOUN,8
ControlsBW,BW,False,VERB,2
ControlsBoxy,Controls,True,NOUN,8
ControlsBoxy,Boxy,True,ADJ,4
Copy,Copy,True,VERB,4
Language,Language,True,NOUN,8
Logo,Logo,True,PROPN,4
Remove,Remove,True,VERB,6
Settings,Settings,True,NOUN,8
Theme,Theme,True,NOUN,5
Watermark,Watermark,True,NOUN,9
Sharp,Sharp,True,ADJ,5
BW,BW,False,VERB,2
None,None,True,NOUN,4
Boxy,Boxy,True,ADJ,4
GlobalHighlights,Global,True,ADJ,6
GlobalHighlights,Highlights,True,NOUN,10
HighlightPicker,Highlight,True,NOUN,9
HighlightPicker,Picker,True,NOUN,6
ThemeCreate,Theme,True,NOUN,5
ThemeCreate,Create,True,VERB,6
off,off,True,ADV,3
Toast,Toast,True,VERB,5
ToastContainer,Toast,True,VERB,5
ToastContainer,Container,True,NOUN,9
Toolbar,Toolbar,True,NOUN,7
clamp,clamp,True,VERB,5
handleMouseMove,handle,True,VERB,6
handleMouseMove,Mouse,True,NOUN,5
handleMouseMove,Move,True,VERB,4
handleMouseUp,handle,True,VERB,6
handleMouseUp,Mouse,True,NOUN,5
handleMouseUp,Up,True,ADV,2
WidthHandler,Width,True,PROPN,5
WidthHandler,Handler,True,NOUN,7
CopyButton,Copy,True,VERB,4
CopyButton,Button,True,PROPN,6
TitleBar,Title,True,NOUN,5
TitleBar,Bar,True,VERB,3
WindowControls,Window,True,NOUN,6
WindowControls,Controls,True,NOUN,8
WindowPointer,Window,True,NOUN,6
WindowPointer,Pointer,True,NOUN,7
openPicker,open,True,VERB,4
openPicker,Picker,True,NOUN,6
closePicker,close,True,VERB,5
closePicker,Picker,True,NOUN,6
themeDropdown,theme,True,NOUN,5
themeDropdown,Drop,True,VERB,4
themeDropdown,down,True,ADV,4
pickTheme,pick,True,VERB,4
pickTheme,Theme,True,NOUN,5
exports,exports,True,NOUN,7
editorVisible,editor,True,NOUN,6
editorVisible,Visible,True,ADJ,7
logout,logout,True,VERB,6
login,login,True,VERB,5
loginGitHub,login,True,VERB,5
loginGitHub,Git,True,NOUN,3
loginGitHub,Hub,True,VERB,3
getOption,get,True,VERB,3
getOption,Option,True,NOUN,6
ensureBound,ensure,True,VERB,6
ensureBound,Bound,True,VERB,5
handler,handler,True,NOUN,7
getConfig,get,True,VERB,3
getConfig,Config,False,PROPN,6
handleBackspace,handle,True,VERB,6
handleBackspace,Backspace,True,NOUN,9
handleEnter,handle,True,VERB,6
handleEnter,Enter,True,VERB,5
moveSel,move,True,VERB,4
moveSel,Sel,False,INTJ,3
contractSelection,contract,True,NOUN,8
contractSelection,Selection,True,NOUN,9
handleChar,handle,True,VERB,6
handleChar,Char,True,PROPN,4
charsAround,chars,True,NOUN,5
charsAround,Around,True,ADV,6
stringStartsAfter,string,True,PROPN,6
stringStartsAfter,Starts,True,NOUN,6
stringStartsAfter,After,True,ADP,5
wordRegexp,word,True,NOUN,4
wordRegexp,Regexp,True,PROPN,6
tokenBase,token,True,VERB,5
tokenBase,Base,True,NOUN,4
