Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
n,n,True,CCONJ,1
t,t,True,NOUN,1
e,e,True,X,1
i,i,True,PRON,1
n,n,True,CCONJ,1
r,r,True,X,1
initEngine,init,True,PROPN,4
initEngine,Engine,True,NOUN,6
n,n,True,CCONJ,1
_logToWebPage,log,True,VERB,3
_logToWebPage,To,True,PART,2
_logToWebPage,Web,True,NOUN,3
_logToWebPage,Page,True,NOUN,4
assertID,assert,True,PROPN,6
assertID,ID,True,PROPN,2
error,error,True,NOUN,5
assert,assert,True,PROPN,6
warn,warn,True,VERB,4
info,info,True,NOUN,4
error,error,True,NOUN,5
assert,assert,True,PROPN,6
warn,warn,True,VERB,4
log,log,True,VERB,3
info,info,True,NOUN,4
assertID,assert,True,PROPN,6
assertID,ID,True,PROPN,2
_initDebugSetting,init,True,PROPN,4
_initDebugSetting,Debug,True,INTJ,5
_initDebugSetting,Setting,True,VERB,7
_throw,throw,True,VERB,5
speed,speed,True,NOUN,5
follow,follow,True,VERB,6
n,n,True,CCONJ,1
r,r,True,X,1
cardinalSplineAt,cardinal,True,PROPN,8
cardinalSplineAt,Spline,True,NOUN,6
cardinalSplineAt,At,True,ADP,2
getControlPointAt,get,True,VERB,3
getControlPointAt,Control,True,VERB,7
getControlPointAt,Point,True,VERB,5
getControlPointAt,At,True,ADP,2
cardinalSplineTo,cardinal,True,PROPN,8
cardinalSplineTo,Spline,True,NOUN,6
cardinalSplineTo,To,True,PART,2
cardinalSplineBy,cardinal,True,PROPN,8
cardinalSplineBy,Spline,True,NOUN,6
cardinalSplineBy,By,True,ADP,2
catmullRomTo,catmull,False,VERB,7
catmullRomTo,Rom,True,NOUN,3
catmullRomTo,To,True,PART,2
catmullRomBy,catmull,False,VERB,7
catmullRomBy,Rom,True,NOUN,3
catmullRomBy,By,True,ADP,2
actionEase,action,True,NOUN,6
actionEase,Ease,True,NOUN,4
easeRateAction,ease,True,NOUN,4
easeRateAction,Rate,True,VERB,4
easeRateAction,Action,True,NOUN,6
easeIn,ease,True,NOUN,4
easeIn,In,True,ADP,2
easeOut,ease,True,NOUN,4
easeOut,Out,True,ADV,3
easeInOut,ease,True,NOUN,4
easeInOut,In,True,ADP,2
easeInOut,Out,True,ADV,3
easeExponentialIn,ease,True,NOUN,4
easeExponentialIn,Exponential,True,NOUN,11
easeExponentialIn,In,True,ADP,2
easeExponentialOut,ease,True,NOUN,4
easeExponentialOut,Exponential,True,NOUN,11
easeExponentialOut,Out,True,ADV,3
easeExponentialInOut,ease,True,NOUN,4
easeExponentialInOut,Exponential,True,NOUN,11
easeExponentialInOut,In,True,ADP,2
easeExponentialInOut,Out,True,ADV,3
easeSineIn,ease,True,NOUN,4
easeSineIn,Sine,True,VERB,4
easeSineIn,In,True,ADP,2
easeSineOut,ease,True,NOUN,4
easeSineOut,Sine,True,VERB,4
easeSineOut,Out,True,ADV,3
easeSineInOut,ease,True,NOUN,4
easeSineInOut,Sine,True,VERB,4
easeSineInOut,In,True,ADP,2
easeSineInOut,Out,True,ADV,3
easeElasticIn,ease,True,NOUN,4
easeElasticIn,Elastic,True,ADJ,7
easeElasticIn,In,True,ADP,2
easeElasticOut,ease,True,NOUN,4
easeElasticOut,Elastic,True,ADJ,7
easeElasticOut,Out,True,ADV,3
easeElasticInOut,ease,True,NOUN,4
easeElasticInOut,Elastic,True,ADJ,7
easeElasticInOut,In,True,ADP,2
easeElasticInOut,Out,True,ADV,3
