Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
t,1,True,False,False,True,False
n,1,True,False,False,True,False
o,1,True,False,False,True,False
i,1,True,False,False,True,False
r,1,True,False,False,True,False
s,1,True,False,False,True,False
a,1,True,False,False,True,False
l,1,True,False,False,True,False
d,1,True,False,False,True,False
c,1,True,False,False,True,False
u,1,True,False,False,True,False
e,1,True,False,False,True,False
i,1,True,False,False,True,False
h,1,True,False,False,True,False
p,1,True,False,False,True,False
f,1,True,False,False,True,False
m,1,True,True,False,True,False
g,1,True,False,False,True,False
b,1,True,False,False,True,False
v,1,True,False,False,True,False
t,1,True,False,False,True,False
n,1,True,False,False,True,False
o,1,True,False,False,True,False
y,1,True,False,False,True,False
w,1,True,False,False,True,False
x,1,True,True,False,True,False
E,1,True,False,False,False,False
C,1,True,False,False,False,False
t,1,True,False,False,True,False
toString,2,True,False,True,True,False
R,1,True,True,False,False,False
F,1,True,False,False,False,False
e,1,True,False,False,True,False
e,1,True,False,False,True,False
e,1,True,False,False,True,False
D,1,True,False,False,False,False
V,1,True,False,False,False,False
e,1,True,False,False,True,False
recalculateRGB,2,False,True,True,True,False
recalculateHSV,2,False,True,True,True,False
e,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
o,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
i,1,True,False,False,True,False
r,1,True,False,False,True,False
s,1,True,False,False,True,False
t,1,True,False,False,True,False
s,1,True,False,False,True,False
l,1,True,False,False,True,False
d,1,True,False,False,True,False
c,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
o,1,True,False,False,True,False
i,1,True,False,False,True,False
r,1,True,False,False,True,False
s,1,True,False,False,True,False
a,1,True,False,False,True,False
c,1,True,False,False,True,False
u,1,True,False,False,True,False
t,1,True,False,False,True,False
ne,1,True,False,True,True,False
e,1,True,False,False,True,False
t,1,True,False,False,True,False
t,1,True,False,False,True,False
__resizeHandler,2,True,True,True,True,False
e,1,True,False,False,True,False
e,1,True,False,False,True,False
toggleHide,2,True,True,True,True,False
_keydownHandler,3,True,False,True,False,False
pointerPrototype,2,True,False,True,True,False
getWebGLContext,4,False,True,True,True,False
getSupportedFormat,3,True,True,True,True,False
supportRenderTextureFormat,4,True,True,True,True,False
startGUI,2,False,True,True,True,False
isMobile,2,True,False,True,True,False
captureScreenshot,2,True,False,True,True,False
framebufferToTexture,4,False,True,True,False,False
normalizeTexture,2,True,True,True,True,False
clamp01,2,True,True,True,False,False
textureToCanvas,3,True,False,True,True,False
downloadURI,2,False,False,True,True,False
createProgram,2,True,True,True,True,False
getUniforms,2,True,True,True,True,False
compileShader,2,True,False,True,True,False
addKeywords,2,True,True,True,True,False
CHECK_FRAMEBUFFER_STATUS,4,True,False,True,False,False
initFramebuffers,3,False,False,True,False,False
initBloomFramebuffers,4,False,False,True,False,False
initSunraysFramebuffers,4,False,False,True,False,False
createFBO,2,False,True,True,True,False
createDoubleFBO,3,False,True,True,True,False
resizeFBO,2,False,True,True,True,False
resizeDoubleFBO,3,False,True,True,True,False
onload,2,True,False,True,False,False
createTextureAsync,3,False,True,True,True,False
updateKeywords,2,True,True,True,True,False
update,1,True,True,True,True,False
calcDeltaTime,3,False,False,True,True,False
resizeCanvas,2,True,True,True,True,False
updateColors,2,True,True,True,True,False
applyInputs,2,True,True,True,True,False
step,1,True,False,True,True,False
render,1,True,True,True,True,False
drawColor,2,True,True,True,True,False
drawCheckerboard,2,True,True,True,True,False
drawDisplay,2,True,True,True,True,False
applyBloom,2,True,True,True,True,False
applySunrays,2,False,True,True,True,False
blur,1,True,True,True,True,False
splatPointer,2,True,False,True,True,False
multipleSplats,2,True,False,True,True,False
splat,1,True,False,True,True,False
correctRadius,2,True,False,True,True,False
updatePointerDownData,4,True,True,True,True,False
updatePointerMoveData,4,True,True,True,True,False
updatePointerUpData,4,True,True,True,True,False
correctDeltaX,3,True,False,False,True,False
correctDeltaY,3,True,False,False,True,False
generateColor,2,True,True,True,True,False
HSVtoRGB,4,False,False,False,False,False
normalizeColor,2,True,True,True,True,False
wrap,1,True,True,True,True,False
getResolution,2,True,True,True,True,False
getTextureScale,3,True,True,True,True,False
scaleByPixelRatio,4,True,False,True,True,False
hashCode,2,True,False,True,True,False
