Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
exports,exports,True,NOUN,7
gtag,g,True,PROPN,1
gtag,tag,True,VERB,3
calculatePlateScale,calculate,True,VERB,9
calculatePlateScale,Plate,True,NOUN,5
calculatePlateScale,Scale,True,NOUN,5
translateMirror,translate,True,VERB,9
translateMirror,Mirror,True,NOUN,6
calcOffset,calc,False,NOUN,4
calcOffset,Offset,True,VERB,6
triggerMouseUpOnESC,trigger,True,NOUN,7
triggerMouseUpOnESC,Mouse,True,NOUN,5
triggerMouseUpOnESC,Up,True,ADV,2
triggerMouseUpOnESC,On,True,ADP,2
triggerMouseUpOnESC,ESC,False,PROPN,3
DragEvents,Drag,True,VERB,4
DragEvents,Events,True,NOUN,6
UniqueDropzone,Unique,True,ADJ,6
UniqueDropzone,Drop,True,VERB,4
UniqueDropzone,zone,True,NOUN,4
Home,Home,True,NOUN,4
PluginsCollidable,Plugins,True,NOUN,7
PluginsCollidable,Coll,True,NOUN,4
PluginsCollidable,id,True,PROPN,2
PluginsCollidable,able,True,ADJ,4
PluginsSnappable,Plugins,True,NOUN,7
PluginsSnappable,Snappable,False,ADJ,9
SortAnimation,Sort,True,ADV,4
SortAnimation,Animation,True,NOUN,9
PluginsSwapAnimation,Plugins,True,NOUN,7
PluginsSwapAnimation,Swap,True,VERB,4
PluginsSwapAnimation,Animation,True,NOUN,9
MultipleContainers,Multiple,True,ADJ,8
MultipleContainers,Containers,True,NOUN,10
SimpleList,Simple,True,ADJ,6
SimpleList,List,True,NOUN,4
Transformed,Transformed,True,VERB,11
Flexbox,Flex,True,ADJ,4
Flexbox,box,True,PROPN,3
Floated,Floated,True,VERB,7
GridLayout,Grid,True,PROPN,4
GridLayout,Layout,True,NOUN,6
debounce,debounce,False,NOUN,8
flipSign,flip,True,VERB,4
flipSign,Sign,True,VERB,4
reloadServer,reload,True,ADV,6
reloadServer,Server,True,PROPN,6
startServer,start,True,VERB,5
startServer,Server,True,PROPN,6
scripts,scripts,True,NOUN,7
styles,styles,True,NOUN,6
views,views,True,NOUN,5
reportWatchStats,report,True,NOUN,6
reportWatchStats,Watch,True,VERB,5
reportWatchStats,Stats,True,NOUN,5
watch,watch,True,VERB,5
initPlugins,init,True,PROPN,4
initPlugins,Plugins,True,NOUN,7
createConfig,create,True,VERB,6
createConfig,Config,False,PROPN,6
runner,runner,True,NOUN,6
requestAnimationFrame,request,True,NOUN,7
requestAnimationFrame,Animation,True,NOUN,9
requestAnimationFrame,Frame,True,NOUN,5
cancelAnimationFrame,cancel,True,VERB,6
cancelAnimationFrame,Animation,True,NOUN,9
cancelAnimationFrame,Frame,True,NOUN,5
createSandbox,create,True,VERB,6
createSandbox,Sandbox,True,PROPN,7
elementFromPoint,element,True,NOUN,7
elementFromPoint,From,True,ADP,4
elementFromPoint,Point,True,VERB,5
withElementFromPoint,with,True,ADP,4
withElementFromPoint,Element,True,NOUN,7
withElementFromPoint,From,True,ADP,4
withElementFromPoint,Point,True,VERB,5
waitForRequestAnimationFrame,wait,True,VERB,4
waitForRequestAnimationFrame,For,True,ADP,3
waitForRequestAnimationFrame,Request,True,NOUN,7
waitForRequestAnimationFrame,Animation,True,NOUN,9
waitForRequestAnimationFrame,Frame,True,NOUN,5
waitForPromisesToResolve,wait,True,VERB,4
waitForPromisesToResolve,For,True,ADP,3
waitForPromisesToResolve,Promises,True,NOUN,8
waitForPromisesToResolve,To,True,PART,2
waitForPromisesToResolve,Resolve,True,VERB,7
triggerEvent,trigger,True,NOUN,7
triggerEvent,Event,True,NOUN,5
drag,drag,True,VERB,4
toHaveDefaultPrevented,to,True,PART,2
toHaveDefaultPrevented,Have,True,VERB,4
toHaveDefaultPrevented,Default,True,NOUN,7
toHaveDefaultPrevented,Prevented,True,VERB,9
toHaveStoppedPropagation,to,True,PART,2
toHaveStoppedPropagation,Have,True,VERB,4
toHaveStoppedPropagation,Stopped,True,VERB,7
toHaveStoppedPropagation,Propagation,True,NOUN,11
toHaveBeenCalledWithEvent,to,True,PART,2
toHaveBeenCalledWithEvent,Have,True,VERB,4
toHaveBeenCalledWithEvent,Been,True,AUX,4
toHaveBeenCalledWithEvent,Called,True,VERB,6
toHaveBeenCalledWithEvent,With,True,ADP,4
toHaveBeenCalledWithEvent,Event,True,NOUN,5
toHaveBeenCalledWithEventProperties,to,True,PART,2
toHaveBeenCalledWithEventProperties,Have,True,VERB,4
toHaveBeenCalledWithEventProperties,Been,True,AUX,4
toHaveBeenCalledWithEventProperties,Called,True,VERB,6
toHaveBeenCalledWithEventProperties,With,True,ADP,4
toHaveBeenCalledWithEventProperties,Event,True,NOUN,5
toHaveBeenCalledWithEventProperties,Properties,True,NOUN,10
toHaveOrder,to,True,PART,2
toHaveOrder,Have,True,VERB,4
toHaveOrder,Order,True,NOUN,5
callback,callback,True,NOUN,8
toHaveTriggeredSensorEvent,to,True,PART,2
toHaveTriggeredSensorEvent,Have,True,VERB,4
toHaveTriggeredSensorEvent,Triggered,True,VERB,9
toHaveTriggeredSensorEvent,Sensor,True,PROPN,6
toHaveTriggeredSensorEvent,Event,True,NOUN,5
callback,callback,True,NOUN,8
toHaveCanceledSensorEvent,to,True,PART,2
toHaveCanceledSensorEvent,Have,True,VERB,4
toHaveCanceledSensorEvent,Canceled,True,VERB,8
toHaveCanceledSensorEvent,Sensor,True,PROPN,6
toHaveCanceledSensorEvent,Event,True,NOUN,5
expectation,expectation,True,NOUN,11
preventNativeDragStart,prevent,True,VERB,7
preventNativeDragStart,Native,True,ADJ,6
preventNativeDragStart,Drag,True,VERB,4
preventNativeDragStart,Start,True,VERB,5
onContextMenu,on,True,ADP,2
onContextMenu,Context,True,NOUN,7
onContextMenu,Menu,True,PROPN,4
