Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
n,n,True,CCONJ,1
t,t,True,NOUN,1
r,r,True,X,1
i,i,True,PRON,1
a,a,True,PRON,1
o,o,True,X,1
r,r,True,X,1
u,u,True,NOUN,1
a,a,True,PRON,1
r,r,True,X,1
o,o,True,X,1
u,u,True,NOUN,1
c,c,True,NOUN,1
c,c,True,NOUN,1
n,n,True,CCONJ,1
t,t,True,NOUN,1
c,c,True,NOUN,1
r,r,True,X,1
s,s,True,NOUN,1
o,o,True,X,1
u,u,True,NOUN,1
c,c,True,NOUN,1
g,g,True,PROPN,1
h,h,True,NOUN,1
p,p,True,NOUN,1
d,d,True,X,1
b,b,True,X,1
v,v,True,X,1
m,m,True,VERB,1
l,l,True,NOUN,1
f,f,True,X,1
g,g,True,PROPN,1
h,h,True,NOUN,1
p,p,True,NOUN,1
d,d,True,X,1
b,b,True,X,1
v,v,True,X,1
m,m,True,VERB,1
N,N,True,NOUN,1
R,R,True,VERB,1
C,C,True,NOUN,1
getRandom,get,True,VERB,3
getRandom,Random,True,ADJ,6
getUpdateData,get,True,VERB,3
getUpdateData,Update,True,VERB,6
getUpdateData,Data,True,NOUN,4
shuffle,shuffle,True,VERB,7
getRandomBias,get,True,VERB,3
getRandomBias,Random,True,ADJ,6
getRandomBias,Bias,True,PROPN,4
clone,clone,True,VERB,5
timestampSec,timestamp,True,NOUN,9
timestampSec,Sec,True,PROPN,3
timestampToMidnight,timestamp,True,NOUN,9
timestampToMidnight,To,True,PART,2
timestampToMidnight,Midnight,True,NOUN,8
addDays,add,True,VERB,3
addDays,Days,True,NOUN,4
formatTooltipX,format,True,NOUN,6
formatTooltipX,Tooltip,False,NOUN,7
formatTooltipX,X,True,NOUN,1
formatTooltipY,format,True,NOUN,6
formatTooltipY,Tooltip,False,NOUN,7
formatTooltipY,Y,True,NOUN,1
formatTooltipX,format,True,NOUN,6
formatTooltipX,Tooltip,False,NOUN,7
formatTooltipX,X,True,NOUN,1
formatTooltipY,format,True,NOUN,6
formatTooltipY,Tooltip,False,NOUN,7
formatTooltipY,Y,True,NOUN,1
getRandom,get,True,VERB,3
getRandom,Random,True,ADJ,6
getRandom,get,True,VERB,3
getRandom,Random,True,ADJ,6
getUpdateData,get,True,VERB,3
getUpdateData,Update,True,VERB,6
getUpdateData,Data,True,NOUN,4
getUpdateData,get,True,VERB,3
getUpdateData,Update,True,VERB,6
getUpdateData,Data,True,NOUN,4
getChartByType,get,True,VERB,3
getChartByType,Chart,True,PROPN,5
getChartByType,By,True,ADP,2
getChartByType,Type,True,NOUN,4
scaleAll,scale,True,NOUN,5
scaleAll,All,True,PRON,3
groupBy,group,True,NOUN,5
groupBy,By,True,ADP,2
generateCumulative,generate,True,VERB,8
generateCumulative,Cumulative,True,ADJ,10
boundDrawFn,bound,True,VERB,5
boundDrawFn,Draw,True,VERB,4
boundDrawFn,Fn,False,PROPN,2
animateMultipleElements,animate,True,VERB,7
animateMultipleElements,Multiple,True,ADJ,8
animateMultipleElements,Elements,True,NOUN,8
getComponent,get,True,VERB,3
getComponent,Component,True,NOUN,9
translate,translate,True,VERB,9
translateVertLine,translate,True,VERB,9
translateVertLine,Vert,True,ADJ,4
translateVertLine,Line,True,NOUN,4
translateHoriLine,translate,True,VERB,9
translateHoriLine,H,True,NOUN,1
translateHoriLine,ori,False,VERB,3
translateHoriLine,Line,True,NOUN,4
animateRegion,animate,True,VERB,7
