Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
foo,1,True,False,True,True,False
print,1,True,False,True,True,False
main,1,True,False,True,True,False
getProfile,2,True,True,True,True,False
User,1,True,False,True,False,False
getProfile,2,True,True,True,True,False
User,1,True,False,True,False,False
f,1,True,False,False,True,False
Vehicle,1,True,False,True,False,False
Vehicle,1,True,False,True,False,False
foo,1,True,False,True,True,False
superAob,2,False,False,True,True,False
